Gene_ID	subject_id	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
WUAT02006433.1	Potri.009G020900.1	5312	7072	6000	4280	8278	7240	6444	7134
WUAT02006435.1	Potri.005G203200.1	21248	24578	26332	23874	23760	21598	14732	19682
WUAT02006436.1	Potri.006G216400.1	53080	53380	21938	15732	125852	61806	70676	90802
WUAT02006440.1	Potri.008G081600.2	28930	24658	16102	12314	17930	16098	13656	13934
WUAT02006441.1	Potri.016G133300.1	4336	6494	3174	2440	3096	3314	2836	2508
WUAT02006442.1	Potri.007G053000.2	3006	4298	4886	3462	4562	3792	3238	3226
WUAT02006448.1	Potri.019G129740.2	4374	4542	4338	2448	3914	4266	2232	2294
WUAT02006449.1	Potri.002G257900.2	480124	520684	138506	52080	164938	132666	3816	10044
WUAT02006450.1	Potri.010G070600.5	38472	43096	35480	30148	44862	39592	36078	36132
WUAT02006454.1	Potri.007G009100.1	58308	80068	114848	63752	88250	77642	168602	146440
WUAT02006458.1	Potri.012G039200.7	65382	88742	102006	91936	77444	76024	112728	112186
WUAT02006459.1	Potri.013G047100.11	6160	7508	7128	5342	8876	7254	8416	9374
WUAT02006460.1	Potri.004G125150.1	850	1078	680	620	2006	2202	1350	1856
WUAT02006463.1	Potri.001G313900.1	1630	2000	2452	1630	1928	1896	2182	3066
WUAT02006467.1	Potri.013G143400.2	10	14	10	2	14	32	6	22
WUAT02006468.1	Potri.006G254900.7	7484	12416	8448	6666	14440	12536	19916	19386
WUAT02006472.1	Potri.005G188400.2	14240	19650	22068	16388	19562	20300	16200	18106
WUAT02006473.1	Potri.018G049600.1	3830	4216	5846	2470	2480	3720	734	2814
WUAT02006476.1	Potri.007G104000.4	16324	17214	7976	7346	7270	8020	3134	3500
WUAT02006481.1	Potri.014G143500.1	1262	3252	2232	1750	8390	1964	4498	4598
WUAT02006490.1	Potri.001G383600.7	51646	55232	59398	53340	72034	56700	101794	98452
WUAT02006491.1	Potri.005G180500.1	26272	29506	30026	22456	27244	24852	21716	23964
WUAT02006494.1	Potri.009G011800.3	41392	55606	39206	21460	37394	28644	26344	33068
WUAT02006499.1	Potri.003G060500.1	21294	23640	25206	16606	27584	24170	28406	29682
WUAT02006500.1	Potri.003G133500.1	6	0	12	2	6	0	4	10
WUAT02006502.1	Potri.005G076200.7	222	164	304	270	194	376	418	358
WUAT02006503.1	Potri.002G224100.1	33818	28506	21002	15230	13642	12844	13096	20558
WUAT02006504.1	Potri.001G312800.9	2984	3474	2686	2676	4030	3798	4124	3858
WUAT02006513.1	Potri.013G133550.2	25422	21958	11952	7760	21354	18454	9416	11808
WUAT02006515.1	Potri.013G143400.2	8	4	18	22	20	12	32	22
WUAT02006518.1	Potri.008G130100.1	278	280	106	252	50	138	424	92
WUAT02006527.1	Potri.015G112900.2	7064	10284	12592	12564	7082	8288	10536	9266
WUAT02006529.1	Potri.011G103301.1	20364	17106	16462	9712	5100	11232	3458	6556
WUAT02006535.1	Potri.002G027900.1	17228	21502	17728	14666	15400	17100	22150	16690
WUAT02006536.1	Potri.008G224701.2	6546	6812	7478	4916	8464	6540	7042	6298
WUAT02006541.1	Potri.013G010900.2	13430	15680	14796	12602	14826	14020	20048	19482
WUAT02006542.1	Potri.013G143400.2	522	372	512	412	626	500	916	852
WUAT02006544.1	Potri.004G134000.1	21572	26808	17100	14928	18148	19074	9474	11918
WUAT02006548.1	Potri.001G173700.1	10676	11496	16164	14008	14816	15074	12536	17056
WUAT02006550.1	Potri.006G088000.2	2080	1264	1830	1390	1798	1818	1484	1314
WUAT02006551.1	Potri.011G075051.1	6	4	2	0	10	0	0	2
WUAT02006553.1	Potri.014G185804.1	2944	4822	4536	3484	4944	7452	6190	5944
WUAT02006557.1	Potri.017G086300.3	20944	18940	15878	11656	41688	31750	13500	22920
WUAT02006558.1	Potri.003G078900.1	7864	10340	8524	6012	8668	8466	7648	8738
WUAT02006559.1	Potri.007G126700.5	10748	10554	11750	12466	13572	16404	35846	33408
WUAT02006562.1	Potri.013G141912.1	1204	1708	1478	2790	2480	2142	2412	1734
WUAT02006563.1	Potri.001G383500.1	56026	64392	46618	37054	54072	54390	37322	37672
WUAT02006566.1	Potri.019G054000.1	10418	11978	8154	6560	10332	11352	8696	9722
WUAT02006567.1	Potri.006G117400.1	73600	63520	72356	35588	62940	64906	27814	40558
WUAT02006571.1	Potri.007G067600.1	57538	73186	72564	60280	68584	66528	77202	81390
WUAT02006575.1	Potri.009G093000.8	9408	10854	14482	13066	10088	12176	16128	14232
WUAT02006580.1	Potri.007G062242.2	43606	36098	48718	40368	48276	73222	58128	77562
WUAT02006581.1	Potri.016G002100.5	2	12	12	12	4	12	46	24
WUAT02006584.1	Potri.010G066000.2	40850	41434	76220	62972	38182	45434	39110	44326
WUAT02006588.1	Potri.013G142760.3	0	16	0	0	6	2	4	2
WUAT02006592.1	Potri.004G163800.1	9132	10836	7664	9044	9390	9012	15894	7940
WUAT02006593.1	Potri.008G192200.11	3806	6360	5440	4022	5388	7536	4970	6284
WUAT02006598.1	Potri.018G105401.1	20468	23500	25668	21282	33618	30160	37316	50332
WUAT02006599.1	Potri.010G120950.1	3370	5378	3638	3408	6872	4118	3906	5642
WUAT02006604.1	Potri.010G067500.2	56410	74264	100304	86970	56564	64792	67452	63008
WUAT02006607.1	Potri.015G003100.4	461616	437270	188516	80352	222074	189570	54276	58350
WUAT02006611.1	Potri.006G123600.2	11252	12194	14084	12756	13294	11522	17698	15678
WUAT02006612.1	Potri.001G050400.2	61958	65430	68106	48884	74766	71838	68426	77514
WUAT02006613.1	Potri.011G036600.2	1150	1254	696	552	1168	1170	2018	986
WUAT02006614.1	Potri.016G000200.1	9988	11074	13468	9678	12972	11850	11192	13406
WUAT02006616.1	Potri.005G093000.5	6974	6828	8836	6436	8264	6764	9320	11024
WUAT02006620.1	Potri.011G075051.1	16928	21358	27026	18342	18998	21328	17406	18430
WUAT02006621.1	Potri.019G020000.1	3410	3486	3942	3016	3710	4038	2692	5466
WUAT02006625.1	Potri.014G145000.7	27358	34342	33752	22966	29742	32216	27718	34902
WUAT02006629.1	Potri.012G031250.1	442	442	782	518	686	508	716	884
WUAT02006630.1	Potri.002G243600.8	90470	120860	110054	124260	140236	84204	82452	113318
WUAT02006631.1	Potri.011G074150.1	1182	1282	1784	1944	2494	2372	1778	1846
WUAT02006633.1	Potri.002G145200.1	10016	11960	11838	11142	10896	9582	19228	20060
WUAT02006634.1	Potri.003G107400.1	4114	4866	4392	4006	4474	5512	3788	4630
WUAT02006635.1	Potri.013G136466.1	6	2	12	14	6	6	0	12
WUAT02006643.1	Potri.008G044500.1	9402	11820	11706	10144	14350	13006	15912	18194
WUAT02006644.1	Potri.007G058500.1	1930	2244	2756	1954	3296	3146	4558	4184
WUAT02006648.1	Potri.011G123700.2	6688	6770	4468	5070	9234	5788	11176	11216
WUAT02006652.1	Potri.019G014344.1	26786	24560	28774	17326	26904	26706	21870	22910
WUAT02006657.1	Potri.012G043000.7	3772	3914	3554	1738	5864	2648	2664	2956
WUAT02006661.1	Potri.003G110800.2	14276	16854	15324	10800	16054	16598	11698	11994
WUAT02006666.1	Potri.013G142124.1	8164	7212	8142	5474	7806	6130	7276	7540
WUAT02006671.1	Potri.004G043500.3	33362	16972	38180	32696	25550	28222	20484	35468
WUAT02006672.1	Potri.013G143400.2	738	724	826	710	566	638	712	620
WUAT02006675.1	Potri.011G068100.1	18432	22234	14792	15506	17776	16680	13150	14702
WUAT02006676.1	Potri.013G140260.3	64	34	20	14	98	8	2	2
WUAT02006679.1	Potri.008G075800.11	8854	11266	10062	10550	12108	11160	11450	11466
WUAT02006682.1	Potri.010G196000.1	2058	3126	2490	8	46	622	64	164
WUAT02006683.1	Potri.015G065800.2	18136	16686	19878	12694	23862	18866	13498	20684
WUAT02006684.1	Potri.018G063000.5	196	190	282	410	1018	1098	936	778
WUAT02006688.1	Potri.006G250400.2	91676	110264	105702	74450	69568	83186	48950	50426
WUAT02006691.1	Potri.012G100600.2	1022	1282	1062	1094	1544	1058	1396	1340
WUAT02006692.1	Potri.006G179900.3	6898	9584	6904	3142	5710	7736	1462	2534
WUAT02006697.1	Potri.017G072340.1	144828	152858	221490	206804	122964	103566	204914	154284
WUAT02006699.1	Potri.010G146000.1	2784	3226	4574	4198	4146	3638	6104	6816
WUAT02006701.1	Potri.002G058700.1	18188	24858	15346	16660	14424	17540	15034	18732
WUAT02006706.1	Potri.017G101500.1	24640	20388	30524	18454	26202	23324	28464	30232
WUAT02006707.1	Potri.014G153700.2	16988	16740	9914	7946	12326	11722	7440	8768
WUAT02006711.1	Potri.005G257800.3	988	624	560	272	626	604	302	814
WUAT02006714.1	Potri.004G175800.11	23792	26634	33268	21352	29928	27418	29108	34166
WUAT02006715.1	Potri.017G086600.3	4216	7118	4804	3358	6856	4026	7038	7626
WUAT02006716.1	Potri.002G205400.1	14312	23096	21282	14484	14126	13692	14190	12482
WUAT02006721.1	Potri.001G403400.3	20658	23062	14756	11836	13080	15258	10912	10086
WUAT02006731.1	Potri.006G216900.6	11446	13144	9128	7520	9830	10674	10596	9578
WUAT02006733.1	Potri.001G369100.1	16204	16670	21126	11828	27352	16886	27336	22404
WUAT02006734.1	Potri.006G175300.5	4596	4440	4886	3916	4976	4878	5656	6284
WUAT02006737.1	Potri.006G040100.1	11452	13318	12456	9288	16988	12816	11544	14556
WUAT02006738.1	Potri.009G137200.3	34648	29810	38674	47080	41666	38538	49282	59488
WUAT02006742.1	Potri.008G078900.4	66876	87702	66876	61602	116506	80118	98288	103654
WUAT02006744.1	Potri.009G043200.1	5348	6244	5448	4368	5172	5464	3376	4136
WUAT02006750.1	Potri.003G173900.3	38	92	6	8	14	12	12	10
WUAT02006752.1	Potri.002G191400.2	238044	256010	450918	479784	246538	286348	316838	370230
WUAT02006753.1	Potri.011G030200.1	1608	14	10	272	2348	26	1404	522
WUAT02006755.1	Potri.001G234200.1	15250	16112	17260	13452	28966	14704	27176	28126
WUAT02006760.1	Potri.013G140850.1	664	756	812	632	700	1392	582	1814
WUAT02006764.1	Potri.013G162200.1	276	252	158	126	946	554	2322	806
WUAT02006770.1	Potri.T124704.1	998	834	1354	1004	1158	1016	1198	1116
WUAT02006773.1	Potri.001G312800.7	7560	7800	7158	4264	7170	7196	6780	5584
WUAT02006774.1	Potri.013G139080.1	276	288	302	262	312	224	158	262
WUAT02006775.1	Potri.002G026100.1	6640	6270	11658	5986	14626	8272	10318	13990
WUAT02006778.1	Potri.013G137077.1	30816	32794	40438	22308	39258	30306	35186	36470
WUAT02006782.1	Potri.013G029300.2	158	196	56	66	442	76	50	38
WUAT02006783.1	Potri.010G000301.1	6	30	54	56	52	44	34	42
WUAT02006784.1	Potri.010G252900.1	20018	24092	19682	15454	21346	21050	19346	20742
WUAT02006785.1	Potri.017G123700.1	33630	33010	15810	14846	27066	16494	17190	15070
WUAT02006786.1	Potri.015G071800.3	2476	4798	1982	2428	36604	22896	25740	39192
WUAT02006787.1	Potri.014G042200.1	41322	41996	27418	20096	30802	26674	32204	33568
WUAT02006791.1	Potri.008G101500.3	7480	7838	5254	7394	10296	8654	7838	9446
WUAT02006796.1	Potri.013G139112.2	22570	28932	25378	20760	23698	24174	19916	18786
WUAT02006801.1	Potri.001G097500.2	44160	55932	39386	21310	24324	30530	22520	24644
WUAT02006805.1	Potri.009G139700.1	52472	52628	73254	79428	28462	29862	43514	45924
WUAT02006806.1	Potri.009G146100.3	1842	1830	2894	1980	2886	2150	2242	2468
WUAT02006807.1	Potri.014G049200.1	1130	1738	1528	1250	1700	1798	2330	2264
WUAT02006809.1	Potri.011G074700.2	54	76	6	36	22	6	176	128
WUAT02006810.1	Potri.001G239600.2	6084	6884	6958	6158	5936	5178	6230	4566
WUAT02006813.1	Potri.003G159500.1	0	36	0	0	4	4	8	0
WUAT02006814.1	Potri.005G003300.1	374	776	560	564	400	440	240	518
WUAT02006816.1	Potri.018G087700.1	7780	9200	5818	5590	7714	6130	5138	6526
WUAT02006818.1	Potri.005G247600.1	2730	3216	450	1240	21698	4278	17534	7848
WUAT02006823.1	Potri.008G221801.2	15108	18896	18780	13726	18216	19530	16272	19432
WUAT02006828.1	Potri.006G188700.1	58	80	86	132	120	68	32	98
WUAT02006832.1	Potri.013G141912.1	18080	18018	15918	13562	19220	16920	18792	18232
WUAT02006836.1	Potri.013G013700.3	62014	71576	71368	49406	97884	72908	159348	180036
WUAT02006837.1	Potri.014G185948.1	2414	2460	2594	3282	3800	5120	5834	6130
WUAT02006842.1	Potri.005G190700.1	22696	26968	32392	28170	30638	27416	41330	50196
WUAT02006845.1	Potri.001G123500.10	114760	137852	126610	97666	126998	123850	147634	155228
WUAT02006848.1	Potri.002G143000.8	20008	21534	18404	15384	17430	18768	18832	19246
WUAT02006854.1	Potri.002G132300.1	6456	5358	2718	3820	2228	3540	1034	1036
WUAT02006855.1	Potri.001G312800.9	53634	63616	54644	39814	56938	54688	49652	58132
WUAT02006859.1	Potri.001G091001.1	1828	3256	3532	3686	3418	2620	2834	3588
WUAT02006860.1	Potri.003G220300.1	116086	109230	108100	111892	69442	82092	74446	75538
WUAT02006864.1	Potri.017G106300.3	39122	39324	36622	22786	26186	24926	23498	28198
WUAT02006865.1	Potri.004G132300.1	10274	11562	4224	2352	7180	6078	3114	2402
WUAT02006868.1	Potri.013G039100.2	870	428	1014	728	878	732	1684	1162
WUAT02006869.1	Potri.001G256000.2	3348	3538	3918	3604	3196	3566	2490	3734
WUAT02006873.1	Potri.006G134450.1	460	798	1114	994	1268	1166	2724	2126
WUAT02006874.1	Potri.003G124200.2	4812	5108	4690	3496	4634	4450	3408	3988
WUAT02006877.1	Potri.013G133550.2	6748	7714	8498	6646	15598	13506	18040	18954
WUAT02006881.1	Potri.011G074201.1	13194	17382	19882	13382	18394	15602	16306	19870
WUAT02006886.1	Potri.012G031250.1	768	654	938	560	462	546	1222	798
WUAT02006887.1	Potri.017G134900.1	4132	8914	2842	2842	4838	4066	5730	4460
WUAT02006890.1	Potri.014G115700.1	520	832	1608	1168	2838	1606	716	1272
WUAT02006891.1	Potri.008G167600.3	22352	22234	21400	14208	30110	21418	35260	35530
WUAT02006895.1	Potri.001G101300.3	4312	8188	4514	3470	5456	5826	4302	3806
WUAT02006899.1	Potri.013G074800.1	2202	2464	2430	2252	2864	2502	2240	2152
WUAT02006904.1	Potri.006G189300.4	91852	99492	69376	48258	67200	61724	59530	60248
WUAT02006906.1	Potri.002G140000.1	6126	7698	7026	5640	7246	6748	7820	7956
WUAT02006913.1	Potri.003G117500.1	46480	52572	78064	70978	51742	40128	67068	102186
WUAT02006914.1	Potri.006G122100.1	4278	5474	6646	7952	8064	6142	10066	8908
WUAT02006922.1	Potri.011G074067.1	1500	2450	3908	626	20224	10726	5804	5862
WUAT02006926.1	Potri.012G126500.4	4616	6022	5184	3598	4586	4822	5514	6884
WUAT02006928.1	Potri.011G049600.4	14204	14940	17118	10430	17306	13006	13526	16238
WUAT02006929.1	Potri.013G133550.2	68	8	86	10	0	12	2	62
WUAT02006931.1	Potri.013G133550.2	252	306	262	260	464	312	674	410
WUAT02006939.1	Potri.006G238200.2	36546	41514	37486	45866	49104	41274	61288	71176
WUAT02006940.1	Potri.002G093500.5	65034	72262	67866	51966	66382	63530	65404	70528
WUAT02006942.1	Potri.015G023500.2	16344	22834	22378	17162	20022	20120	19980	24816
WUAT02006944.1	Potri.002G117200.1	9264	12496	12070	9250	11154	11728	13416	15764
WUAT02006948.1	Potri.013G142124.1	10	270	76	78	96	78	0	244
WUAT02006949.1	Potri.001G362300.3	13846	16746	14370	11302	50294	21918	50558	51610
WUAT02006953.1	Potri.007G052700.3	2624	2652	2634	1734	1986	1744	1186	1380
WUAT02006958.1	Potri.013G142760.3	16420	18528	17804	14896	21176	17782	18968	20678
WUAT02006960.1	Potri.010G114000.1	16	36	32	18	14	14	8	24
WUAT02006961.1	Potri.013G136466.1	542	748	1162	674	590	756	290	1130
WUAT02006963.1	Potri.006G258100.5	28218	29246	32508	20398	30170	31576	24458	29110
WUAT02006966.1	Potri.007G061881.1	0	0	34	0	4	16	4	16
WUAT02006967.1	Potri.003G129600.3	6096	6882	8510	7386	6828	6312	8534	10848
WUAT02006968.1	Potri.012G031250.1	4	84	140	6	294	176	306	254
WUAT02006971.1	Potri.001G462700.1	6944	10724	10546	7934	10922	8158	9020	11092
WUAT02006972.1	Potri.005G063300.4	1544	1136	1204	1764	2118	3136	1836	1972
WUAT02006973.1	Potri.011G074067.1	1872	3272	3760	3462	2150	2986	5228	2624
WUAT02006974.1	Potri.005G186900.2	24380	27888	31958	25680	25358	26790	28490	26958
WUAT02006976.1	Potri.014G074200.2	24770	26030	27446	19270	27718	25450	33104	34000
WUAT02006977.1	Potri.019G018400.2	5410	7924	7760	5444	4378	5186	3318	4236
WUAT02006979.1	Potri.018G121100.3	9216	6266	3158	2326	5626	3586	3356	4184
WUAT02006980.1	Potri.005G089200.9	14714	17586	10258	10190	12124	14228	8238	11484
WUAT02006981.1	Potri.008G225001.1	68	26	272	170	36	198	34	252
WUAT02006985.1	Potri.007G062242.1	29526	34608	32474	24490	50606	43836	51074	56318
WUAT02006989.1	Potri.004G168400.1	2872	2834	4382	3358	3488	2856	3916	4800
WUAT02006990.1	Potri.012G031250.1	17366	14996	19558	10786	9948	8878	9896	14120
WUAT02006994.1	Potri.013G133550.2	10196	10392	12306	8152	15898	11854	13436	16206
WUAT02006995.1	Potri.015G074700.1	880	600	1704	1072	1486	1482	1756	2000
WUAT02006998.1	Potri.014G094900.2	16338	19524	11186	9088	10542	11242	8272	9682
WUAT02007003.1	Potri.005G172200.3	5724	6944	4914	2652	10526	7306	5534	11078
WUAT02007009.1	Potri.011G068200.1	282	248	224	220	266	222	236	274
WUAT02007012.1	Potri.006G048900.1	25372	27670	41246	24524	33534	29198	28798	31836
WUAT02007031.1	Potri.002G164601.1	6016	6970	8416	6286	7138	7472	7386	8374
WUAT02007034.1	Potri.004G167400.1	35624	36540	39598	21814	35864	26806	24854	29626
WUAT02007035.1	Potri.013G133550.2	154	330	224	288	196	234	44	270
WUAT02007038.1	Potri.001G470900.1	142	168	68	18	114	46	88	58
WUAT02007039.1	Potri.006G054800.3	4744	6016	3802	3222	5304	5434	4586	4960
WUAT02007042.1	Potri.001G441040.1	26	60	42	78	134	80	106	74
WUAT02007044.1	Potri.011G139100.1	1510	1850	2236	1692	1644	1512	1568	1834
WUAT02007045.1	Potri.012G058400.2	2034	3658	2558	2996	2984	3892	6788	8750
WUAT02007047.1	Potri.017G099900.1	2760	2994	2290	1814	2416	2600	1968	1758
WUAT02007048.1	Potri.016G073100.1	72558	88708	79356	52948	96754	79370	93738	99468
WUAT02007049.1	Potri.009G062200.5	472	644	554	348	666	646	686	752
WUAT02007053.1	Potri.007G008000.5	8664	10636	11774	8802	11582	13250	8210	9450
WUAT02007057.1	Potri.013G138900.1	2456	3406	3148	2820	3346	3272	4124	3832
WUAT02007061.1	Potri.010G052500.1	35194	41496	44692	36942	46196	45326	48562	54628
WUAT02007068.1	Potri.004G125150.1	4432	5572	7740	3304	4682	8370	5246	6944
WUAT02007069.1	Potri.006G222000.1	6988	6326	5282	4864	7174	6132	10314	13952
WUAT02007070.1	Potri.013G133550.2	1446	2374	1972	1902	2730	2034	1868	2194
WUAT02007071.1	Potri.005G260400.1	26430	29332	30882	22192	34276	30564	40634	36718
WUAT02007073.1	Potri.007G147300.3	142800	155608	88174	47370	82744	86472	20346	32966
WUAT02007075.1	Potri.006G249200.2	42408	58664	45550	44100	42912	57334	52624	47858
WUAT02007080.1	Potri.013G143400.2	86	278	488	250	270	278	130	1314
WUAT02007084.1	Potri.006G165700.3	323070	338690	478776	207290	270246	246546	155378	183544
WUAT02007088.1	Potri.013G133550.2	129978	130484	190948	97200	201790	126592	131136	205246
WUAT02007090.1	Potri.004G165800.1	146	310	318	298	544	424	210	320
WUAT02007094.1	Potri.001G457700.1	2690	2998	1836	3342	3244	3032	3508	4070
WUAT02007097.1	Potri.013G143400.2	2452	1396	2014	1916	1038	1252	1704	1848
WUAT02007100.1	Potri.005G075800.5	556	670	478	426	796	472	590	740
WUAT02007103.1	Potri.001G312800.7	5730	8370	6752	5250	9046	10178	12082	12558
WUAT02007107.1	Potri.015G047500.6	3132	3962	3954	3480	3208	3066	4584	4986
WUAT02007111.1	Potri.001G312800.7	9988	12232	11700	9650	11592	12626	10798	13654
WUAT02007115.1	Potri.003G031900.4	22178	21118	17024	6190	17318	13724	8452	18544
WUAT02007116.1	Potri.010G067700.2	14486	15880	20368	13760	17742	14190	17286	19074
WUAT02007120.1	Potri.008G059600.3	39376	47236	62368	54198	47492	54756	64450	77456
WUAT02007121.1	Potri.002G260600.1	9952	10428	7228	7668	8508	8408	6474	7490
WUAT02007126.1	Potri.005G145900.1	37350	47664	48138	42830	45722	48208	59476	59442
WUAT02007129.1	Potri.014G095400.1	48	150	148	110	80	124	74	120
WUAT02007131.1	Potri.008G054700.4	144426	199034	135462	105922	121668	213662	85088	116118
WUAT02007133.1	Potri.004G030400.1	1880	2312	3194	2052	3048	3530	4692	4642
WUAT02007134.1	Potri.001G066700.4	34554	37146	38142	26304	36982	35144	27978	30752
WUAT02007138.1	Potri.006G160600.2	10536	10890	11254	7704	11570	9972	8250	11758
WUAT02007143.1	Potri.005G154836.1	2190	2600	1740	1282	2872	2178	918	1156
WUAT02007147.1	Potri.010G071500.4	5836	5868	5376	4768	5676	5258	5382	6108
WUAT02007148.1	Potri.001G200500.10	80316	96052	75338	56912	127888	107682	127618	127738
WUAT02007150.1	Potri.015G115701.2	0	44	152	60	40	18	30	114
WUAT02007152.1	Potri.002G110000.1	1176	1166	1104	950	1134	746	1152	1614
WUAT02007154.1	Potri.018G069200.3	994	1098	672	1140	2170	880	246	1008
WUAT02007156.1	Potri.003G119800.6	20382	23402	21382	18662	26518	26656	24560	29992
WUAT02007162.1	Potri.010G202200.5	5384	5724	5300	4138	4090	5506	4996	6794
WUAT02007165.1	Potri.001G312800.7	10904	16636	8582	9098	13814	10848	11576	12962
WUAT02007169.1	Potri.001G264900.1	2956	4776	8618	5458	9754	9234	25848	33490
WUAT02007170.1	Potri.009G003500.5	18748	24338	8792	5656	9412	11218	3952	7482
WUAT02007174.1	Potri.009G114300.1	38568	36944	34294	19596	28938	36990	16500	22756
WUAT02007175.1	Potri.007G016100.2	8694	10832	3314	1234	3076	3596	510	496
WUAT02007177.1	Potri.007G020100.1	4	16	24	14	50	42	124	64
WUAT02007178.1	Potri.008G003300.1	2610	2812	3380	2202	3834	3152	4258	4346
WUAT02007179.1	Potri.003G142100.1	98678	125552	31392	18284	32830	35836	8926	12680
WUAT02007182.1	Potri.005G257800.3	94648	128148	118110	76168	106642	98870	82924	95576
WUAT02007183.1	Potri.017G046200.1	26090	26314	27318	21888	24826	17666	42256	41794
WUAT02007188.1	Potri.014G057000.1	8624	11082	11722	11090	10452	10598	9232	11910
WUAT02007189.1	Potri.012G088700.3	9014	10572	11930	6980	9392	9420	8060	8866
WUAT02007191.1	Potri.001G312800.7	0	0	0	4	2	14	2	0
WUAT02007192.1	Potri.008G177900.3	8678	7842	15324	5912	7834	12876	4340	3866
WUAT02007205.1	Potri.010G052500.1	35540	41068	41034	36848	48772	47234	50384	57492
WUAT02007207.1	Potri.014G081100.8	34776	45880	44798	39286	47690	44448	69254	68550
WUAT02007209.1	Potri.013G133550.2	0	0	0	0	0	0	0	0
WUAT02007215.1	Potri.004G133420.1	12422	16058	20308	15802	26500	20912	35420	47652
WUAT02007217.1	Potri.011G075200.2	0	6	14	6	2	6	8	2
WUAT02007219.1	Potri.013G138000.1	15918	6464	14500	10660	19630	15514	17662	20050
WUAT02007225.1	Potri.017G007400.1	26222	31102	37938	34188	27850	31046	32658	36272
WUAT02007228.1	Potri.003G080900.2	65178	66172	73604	42128	57122	58312	53236	58482
WUAT02007233.1	Potri.005G017600.1	3126	3464	4264	2960	3602	3826	3784	4114
WUAT02007237.1	Potri.008G059100.1	7882	8288	7426	6260	10308	8820	6954	8524
WUAT02007247.1	Potri.013G133550.2	2896	3804	6418	3488	10080	4526	3946	10110
WUAT02007253.1	Potri.002G103800.1	12	16	18	14	32	18	46	70
WUAT02007264.1	Potri.006G145700.7	22248	24462	18922	16036	22918	20770	21976	24880
WUAT02007268.1	Potri.005G049100.5	35906	39230	37624	30682	39238	37102	31418	30610
WUAT02007269.1	Potri.017G101100.5	1036	1090	2262	1020	1642	1546	1066	1396
WUAT02007272.1	Potri.005G131300.2	2174	1898	716	684	1196	900	452	470
WUAT02007273.1	Potri.019G087000.6	80962	100776	102300	80924	99496	98616	94812	91912
WUAT02007277.1	Potri.001G467300.1	7688	11088	9050	6034	8088	10150	12562	9340
WUAT02007282.1	Potri.001G385300.3	1074	1594	1122	2302	6044	4118	3930	5436
WUAT02007284.1	Potri.004G097900.1	154	132	206	274	312	68	410	190
WUAT02007286.1	Potri.013G161900.1	1412	1866	2310	1800	1708	1934	976	1326
WUAT02007287.1	Potri.001G312800.9	2788	3064	2462	2894	7380	4242	2956	10778
WUAT02007289.1	Potri.009G081200.1	1498	1422	856	1046	1732	1336	1546	2272
WUAT02007294.1	Potri.013G142124.1	368	402	804	838	580	988	370	486
WUAT02007296.1	Potri.012G137800.1	1608	2152	2772	1790	2260	1664	1038	1508
WUAT02007299.1	Potri.010G126900.12	20360	22084	26484	22680	28618	28880	43898	40488
WUAT02007300.1	Potri.004G212600.3	22396	22352	26500	17466	27004	22510	20074	27222
WUAT02007301.1	Potri.010G026100.2	24650	29318	38750	26330	27816	30840	32628	35094
WUAT02007302.1	Potri.014G179700.1	8	0	2	0	4	0	16	4
WUAT02007303.1	Potri.002G139700.4	21700	25054	26192	19518	27970	26274	32428	28600
WUAT02007305.1	Potri.016G093200.2	27944	33590	35592	28684	36378	40198	47612	48128
WUAT02007306.1	Potri.012G058400.2	3690	4418	5206	5360	5756	5684	7164	7594
WUAT02007309.1	Potri.019G036500.1	1594	934	1276	1510	3390	1794	2428	2540
WUAT02007318.1	Potri.014G060100.3	27956	33176	32630	25328	34602	31844	38600	43424
WUAT02007322.1	Potri.014G002400.1	17296	22432	25706	17368	31060	21490	31466	29470
WUAT02007327.1	Potri.012G031250.1	6672	7292	8072	3958	12778	7680	6972	11368
WUAT02007330.1	Potri.010G004200.4	1902	1206	2882	6940	2034	2262	328	4790
WUAT02007335.1	Potri.008G182766.1	24238	30228	19912	14860	17378	21374	8988	7750
WUAT02007336.1	Potri.006G249000.1	8154	8890	11698	7670	10638	10516	9702	11826
WUAT02007338.1	Potri.013G143400.2	132	54	106	194	122	44	6	18
WUAT02007340.1	Potri.001G312800.7	92	82	84	50	158	64	438	280
WUAT02007345.1	Potri.002G187000.7	14218	15820	12664	9646	19280	14594	21282	17050
WUAT02007348.1	Potri.007G090600.1	54	64	60	120	256	186	216	354
WUAT02007349.1	Potri.014G143600.1	7060	6354	6816	5758	7944	6770	4724	5724
WUAT02007350.1	Potri.004G213400.1	18356	24476	30472	21968	24728	26190	22534	20286
WUAT02007352.1	Potri.013G143400.2	992	818	1894	1296	19836	11116	18224	20038
WUAT02007353.1	Potri.014G112266.2	2196	2066	1784	2070	2552	2708	2552	2330
WUAT02007356.1	Potri.005G045100.1	8	14	10	10	6	12	6	50
WUAT02007359.1	Potri.002G201500.8	39862	53738	51996	41078	58916	40966	50138	73178
WUAT02007363.1	Potri.012G096500.1	1144	1730	2304	958	1494	1816	1946	2232
WUAT02007372.1	Potri.005G063400.1	52256	50554	54814	38120	71446	70608	65252	75324
WUAT02007375.1	Potri.011G157000.2	10	14	2	2	30	34	4	20
