Gene_ID	subject_id	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4
WUAT02006873.1	Potri.006G134450.1	882	610	1090	854	1666	2630	3036	1510
WUAT02006874.1	Potri.003G124200.2	5438	4172	4992	7270	3450	5348	4592	4768
WUAT02006877.1	Potri.013G133550.2	8004	12116	9336	13792	15728	15592	14238	9496
WUAT02006881.1	Potri.011G074201.1	15100	16376	16436	22398	17960	18378	18726	15028
WUAT02006886.1	Potri.012G031250.1	804	880	608	1396	450	814	890	764
WUAT02006887.1	Potri.017G134900.1	5462	3162	6296	7934	4088	6716	5734	6250
WUAT02006890.1	Potri.014G115700.1	1670	814	704	1514	1856	1700	1048	3078
WUAT02006891.1	Potri.008G167600.3	26736	25992	22858	33882	31548	34112	33696	27906
WUAT02006895.1	Potri.001G101300.3	6026	3550	7226	11072	4176	5942	4998	5652
WUAT02006899.1	Potri.013G074800.1	3204	1448	2192	3342	2536	2690	2396	2486
WUAT02006904.1	Potri.006G189300.4	93208	79144	71910	117026	62216	62182	70780	68814
WUAT02006906.1	Potri.002G140000.1	7530	7292	8178	10526	6596	8150	9144	7672
WUAT02006913.1	Potri.003G117500.1	49232	38320	68304	75204	70722	87042	119252	64804
WUAT02006914.1	Potri.006G122100.1	5018	6852	7466	7970	6108	12612	11938	9796
WUAT02006922.1	Potri.011G074067.1	1262	13998	2094	7168	7416	6152	3186	932
WUAT02006926.1	Potri.012G126500.4	5820	5396	5668	7454	3624	6566	5774	5406
WUAT02006928.1	Potri.011G049600.4	16232	10644	15098	17588	12938	17042	17130	14202
WUAT02006929.1	Potri.013G133550.2	4	2	4	4	32	0	2	8
WUAT02006931.1	Potri.013G133550.2	328	328	380	736	400	530	454	340
WUAT02006939.1	Potri.006G238200.2	38764	40838	48834	55976	63814	76012	104342	72418
WUAT02006940.1	Potri.002G093500.5	72772	58716	69208	97024	57396	65994	74642	67866
WUAT02006942.1	Potri.015G023500.2	23040	17680	21422	32772	27508	22598	24956	21620
WUAT02006944.1	Potri.002G117200.1	9942	9606	13184	14660	10490	17468	14840	13830
WUAT02006948.1	Potri.013G142124.1	76	18	234	164	6	136	8	140
WUAT02006949.1	Potri.001G362300.3	13292	34386	16522	40468	51756	74342	33536	11388
WUAT02006953.1	Potri.007G052700.3	2988	1656	3582	3770	1916	2512	1908	2564
WUAT02006958.1	Potri.013G142760.3	19812	18400	19482	26050	16102	20006	20764	24892
WUAT02006960.1	Potri.010G114000.1	4	10	8	18	8	10	8	6
WUAT02006961.1	Potri.013G136466.1	644	736	480	732	448	344	806	386
WUAT02006963.1	Potri.006G258100.5	31618	26494	31350	38246	25066	28920	36972	26530
WUAT02006966.1	Potri.007G061881.1	6	10	8	0	18	12	8	8
WUAT02006967.1	Potri.003G129600.3	7488	6028	9690	9796	9716	12672	10572	9004
WUAT02006968.1	Potri.012G031250.1	14	130	294	180	10	10	8	36
WUAT02006971.1	Potri.001G462700.1	9282	7554	9684	12594	9448	11706	11440	8532
WUAT02006972.1	Potri.005G063300.4	1878	1840	1576	1124	2648	2814	3428	4604
WUAT02006973.1	Potri.011G074067.1	2884	2512	3936	3442	2156	5044	3336	4730
WUAT02006974.1	Potri.005G186900.2	29186	28740	28610	34406	24286	31454	31940	29260
WUAT02006976.1	Potri.014G074200.2	25540	31744	27304	33562	27996	31944	30634	24724
WUAT02006977.1	Potri.019G018400.2	8470	5308	8288	11412	2722	4698	4132	7102
WUAT02006979.1	Potri.018G121100.3	9510	7980	4030	8762	3300	5634	4392	4566
WUAT02006980.1	Potri.005G089200.9	14714	15896	16052	22078	8280	11104	13332	14350
WUAT02006981.1	Potri.008G225001.1	34	186	46	76	22	70	46	80
WUAT02006985.1	Potri.007G062242.1	31112	42820	36730	51108	49854	53106	46808	29280
WUAT02006989.1	Potri.004G168400.1	3750	2750	4222	5118	4750	6728	4848	3506
WUAT02006990.1	Potri.012G031250.1	16310	11152	16350	17410	13018	13500	16440	13324
WUAT02006994.1	Potri.013G133550.2	11528	10184	12710	14720	15312	16574	15818	9248
WUAT02006995.1	Potri.015G074700.1	1164	1744	1214	1826	2562	1586	1924	1494
WUAT02006998.1	Potri.014G094900.2	16576	10738	14824	27160	9054	11114	11622	9014
WUAT02007003.1	Potri.005G172200.3	7632	3594	3802	10892	6248	9314	5318	2840
WUAT02007009.1	Potri.011G068200.1	238	244	236	218	240	298	246	268
WUAT02007012.1	Potri.006G048900.1	27842	27224	32510	34324	34628	36898	39834	32784
WUAT02007031.1	Potri.002G164601.1	7080	6762	8698	9842	6588	8200	7578	5860
WUAT02007034.1	Potri.004G167400.1	39336	30144	29160	51214	28798	27206	26858	21792
WUAT02007035.1	Potri.013G133550.2	148	238	246	124	196	194	358	148
WUAT02007038.1	Potri.001G470900.1	64	86	134	236	56	206	10	132
WUAT02007039.1	Potri.006G054800.3	5210	5948	5532	8712	3922	5440	5316	4758
WUAT02007042.1	Potri.001G441040.1	58	46	14	144	150	102	88	154
WUAT02007044.1	Potri.011G139100.1	1592	1564	1604	2616	1672	1624	1792	1912
WUAT02007045.1	Potri.012G058400.2	3956	4252	4982	4964	2948	9656	5194	4808
WUAT02007047.1	Potri.017G099900.1	3252	2192	2600	4308	1594	2322	1658	2370
WUAT02007048.1	Potri.016G073100.1	97684	73246	72736	114898	73470	99572	97092	80080
WUAT02007049.1	Potri.009G062200.5	666	564	636	910	434	696	610	548
WUAT02007053.1	Potri.007G008000.5	9498	12038	9794	14954	10036	10198	10434	7162
WUAT02007057.1	Potri.013G138900.1	2938	3122	3614	3994	3188	4616	5274	4586
WUAT02007061.1	Potri.010G052500.1	38746	40802	48748	53880	55462	56638	54270	54018
WUAT02007068.1	Potri.004G125150.1	4092	3678	6336	5824	5434	6394	13808	5430
WUAT02007069.1	Potri.006G222000.1	7136	6578	6836	9208	11134	12284	10504	9340
WUAT02007070.1	Potri.013G133550.2	2728	1436	2794	2688	1730	2494	2072	3844
WUAT02007071.1	Potri.005G260400.1	28390	36450	33164	39376	36368	39762	37008	31712
WUAT02007073.1	Potri.007G147300.3	157498	106398	87336	207930	46858	38644	53028	59694
WUAT02007075.1	Potri.006G249200.2	53264	39222	43714	78294	48054	53252	55788	65510
WUAT02007080.1	Potri.013G143400.2	168	268	360	236	374	482	142	208
WUAT02007084.1	Potri.006G165700.3	341270	338126	318492	314056	168776	139858	212190	196754
WUAT02007088.1	Potri.013G133550.2	107748	69680	131790	138964	203840	220148	180682	63282
WUAT02007090.1	Potri.004G165800.1	338	432	374	410	256	298	476	338
WUAT02007094.1	Potri.001G457700.1	3818	1632	3238	3034	1596	2626	2654	2950
WUAT02007097.1	Potri.013G143400.2	2160	1254	1556	1924	2630	1098	2472	1722
WUAT02007100.1	Potri.005G075800.5	648	598	600	870	428	820	806	582
WUAT02007103.1	Potri.001G312800.7	6566	9700	10174	10110	7892	12308	14464	9028
WUAT02007107.1	Potri.015G047500.6	4034	3118	3956	4760	4878	4616	4362	5164
WUAT02007111.1	Potri.001G312800.7	12450	11432	12854	17054	10290	13332	13330	12150
WUAT02007115.1	Potri.003G031900.4	18740	19590	21860	20522	10792	12440	20048	17950
WUAT02007116.1	Potri.010G067700.2	16784	16144	20480	21752	15390	19516	19624	17346
WUAT02007120.1	Potri.008G059600.3	47606	46956	67672	52072	58350	76070	82476	82464
WUAT02007121.1	Potri.002G260600.1	10652	9558	9768	13928	4908	7570	8138	7918
WUAT02007126.1	Potri.005G145900.1	42144	43678	61258	58308	51174	66758	65440	64232
WUAT02007129.1	Potri.014G095400.1	260	70	154	114	68	64	72	114
WUAT02007131.1	Potri.008G054700.4	148940	213134	125310	282092	134444	115234	142320	97938
WUAT02007133.1	Potri.004G030400.1	2678	2946	2072	2374	2290	4302	8552	3462
WUAT02007134.1	Potri.001G066700.4	37172	38544	36634	42814	28488	41474	32470	31318
WUAT02007138.1	Potri.006G160600.2	11482	10584	11140	15552	9794	12556	12030	11578
WUAT02007143.1	Potri.005G154836.1	1792	1530	2332	6592	1094	1504	2486	1632
WUAT02007147.1	Potri.010G071500.4	6574	4272	6194	7916	5738	6464	6844	5506
WUAT02007148.1	Potri.001G200500.10	79104	107828	92916	130056	110708	132138	152786	73058
WUAT02007150.1	Potri.015G115701.2	40	28	116	28	104	42	44	60
WUAT02007152.1	Potri.002G110000.1	1780	890	1080	1222	1182	1196	1398	812
WUAT02007154.1	Potri.018G069200.3	902	516	684	1186	658	330	400	350
WUAT02007156.1	Potri.003G119800.6	23844	20824	25084	30326	25260	30996	28424	29088
WUAT02007162.1	Potri.010G202200.5	6242	6032	6222	6644	2870	5954	5392	9326
WUAT02007165.1	Potri.001G312800.7	12094	8484	14764	22392	19820	14510	17654	11672
WUAT02007169.1	Potri.001G264900.1	4368	4066	11118	7468	18220	33848	43506	14468
WUAT02007170.1	Potri.009G003500.5	22022	15602	14126	28726	5310	6180	6232	12230
WUAT02007174.1	Potri.009G114300.1	39000	20922	31088	37498	21356	24956	26878	30278
WUAT02007175.1	Potri.007G016100.2	9984	8872	5830	9766	538	1008	526	4738
WUAT02007177.1	Potri.007G020100.1	12	12	14	10	4	26	46	12
WUAT02007178.1	Potri.008G003300.1	3456	3032	3312	3266	3762	5482	5530	2870
WUAT02007179.1	Potri.003G142100.1	108402	100016	76656	125480	7362	8624	6392	75146
WUAT02007182.1	Potri.005G257800.3	139878	106342	106842	177282	93918	106964	106134	80064
WUAT02007183.1	Potri.017G046200.1	32164	21548	25918	38654	23642	44994	34776	30112
WUAT02007188.1	Potri.014G057000.1	13252	9720	12164	14272	9296	14576	13834	11634
WUAT02007189.1	Potri.012G088700.3	9972	9202	9876	13360	11454	10614	10302	9342
WUAT02007191.1	Potri.001G312800.7	0	0	0	2	2	12	12	0
WUAT02007192.1	Potri.008G177900.3	9210	7600	12972	11888	7704	6880	5136	7976
WUAT02007205.1	Potri.010G052500.1	37114	42774	45514	61122	49964	60518	54658	45044
WUAT02007207.1	Potri.014G081100.8	42394	43828	55412	60674	38170	67456	73154	57088
WUAT02007209.1	Potri.013G133550.2	4	0	0	8	0	4	0	4
WUAT02007215.1	Potri.004G133420.1	17096	20406	24364	21614	31352	35252	46422	17582
WUAT02007217.1	Potri.011G075200.2	0	0	38	2	6	14	8	14
WUAT02007219.1	Potri.013G138000.1	10996	10170	13306	10990	15566	17550	9002	16906
WUAT02007225.1	Potri.017G007400.1	32666	35156	42516	35516	32810	37730	40516	46882
WUAT02007228.1	Potri.003G080900.2	69708	51626	72558	87220	56492	65642	56232	53168
WUAT02007233.1	Potri.005G017600.1	3982	3490	4064	4734	3698	4880	4768	3950
WUAT02007237.1	Potri.008G059100.1	9150	6776	8448	12342	8342	10016	6440	7874
WUAT02007247.1	Potri.013G133550.2	5902	4004	4250	9322	5062	13798	6844	7432
WUAT02007253.1	Potri.002G103800.1	40	42	100	490	78	448	130	278
WUAT02007264.1	Potri.006G145700.7	25882	22258	22292	33968	18530	24476	22534	22838
WUAT02007268.1	Potri.005G049100.5	45814	36872	36302	56028	28264	46856	38616	31714
WUAT02007269.1	Potri.017G101100.5	1346	1128	1808	2170	1432	1974	2056	1462
WUAT02007272.1	Potri.005G131300.2	1332	1324	1452	2142	442	476	736	1322
WUAT02007273.1	Potri.019G087000.6	88384	91562	99832	134480	93478	107492	115442	82834
WUAT02007277.1	Potri.001G467300.1	7156	10304	9118	13206	4524	8730	10750	10194
WUAT02007282.1	Potri.001G385300.3	1710	5680	1586	2696	4812	5230	8140	2116
WUAT02007284.1	Potri.004G097900.1	162	130	254	280	124	212	270	184
WUAT02007286.1	Potri.013G161900.1	2106	1642	1732	2914	1214	2034	1944	1524
WUAT02007287.1	Potri.001G312800.9	3870	2474	2738	8044	3364	5952	27304	8490
WUAT02007289.1	Potri.009G081200.1	934	1168	1488	1438	1216	2592	1964	1672
WUAT02007294.1	Potri.013G142124.1	288	458	450	572	928	498	1190	1050
WUAT02007296.1	Potri.012G137800.1	2640	1726	1960	6086	1270	1078	1510	1744
WUAT02007299.1	Potri.010G126900.12	21394	26936	30834	32998	26302	41386	51706	26562
WUAT02007300.1	Potri.004G212600.3	27998	25118	31320	38294	11972	25834	16308	49288
WUAT02007301.1	Potri.010G026100.2	32296	24834	33372	45830	27776	35390	35626	34514
WUAT02007302.1	Potri.014G179700.1	18	0	0	0	0	10	0	6
WUAT02007303.1	Potri.002G139700.4	24942	25552	24576	36534	25814	30472	37206	27200
WUAT02007305.1	Potri.016G093200.2	31464	36086	39334	42134	37158	53742	48914	42416
WUAT02007306.1	Potri.012G058400.2	4690	4904	6916	5602	11060	7550	8276	9308
WUAT02007309.1	Potri.019G036500.1	916	988	2740	2020	3788	2144	4756	1250
WUAT02007318.1	Potri.014G060100.3	32248	28482	34576	42218	37906	40254	36726	37684
WUAT02007322.1	Potri.014G002400.1	18066	23466	19258	31666	29798	37652	39540	18186
WUAT02007327.1	Potri.012G031250.1	8896	8276	8314	9298	5306	7544	7298	7048
WUAT02007330.1	Potri.010G004200.4	2846	2550	1162	2684	1914	2408	5484	1266
WUAT02007335.1	Potri.008G182766.1	27240	17852	24604	38562	7798	10796	10968	21286
WUAT02007336.1	Potri.006G249000.1	10262	8690	9710	13036	12560	11938	11238	6732
WUAT02007338.1	Potri.013G143400.2	112	36	58	62	18	10	4	84
WUAT02007340.1	Potri.001G312800.7	76	158	100	340	86	246	130	86
WUAT02007345.1	Potri.002G187000.7	19072	15920	14452	25652	13656	21348	18004	11540
WUAT02007348.1	Potri.007G090600.1	104	76	178	138	380	324	178	94
WUAT02007349.1	Potri.014G143600.1	7712	6294	6582	12788	5896	6136	5324	4766
WUAT02007350.1	Potri.004G213400.1	23556	26020	23008	37722	19592	26010	29788	23888
WUAT02007352.1	Potri.013G143400.2	1848	5578	1610	6066	16264	19700	11022	2574
WUAT02007353.1	Potri.014G112266.2	2090	2412	2700	2680	2226	2788	3238	2748
WUAT02007356.1	Potri.005G045100.1	20	28	8	20	22	24	6	12
WUAT02007359.1	Potri.002G201500.8	47862	46616	52740	64698	52384	54332	58164	34560
WUAT02007363.1	Potri.012G096500.1	1674	1466	2190	2992	3068	2480	2784	1548
WUAT02007372.1	Potri.005G063400.1	52864	72204	56088	72056	56046	73092	74632	51138
WUAT02007375.1	Potri.011G157000.2	42	2	2	24	22	16	54	8
WUAT02007376.1	Potri.001G144200.1	36550	27638	32714	46486	27172	35652	35698	32198
WUAT02007378.1	Potri.011G075051.1	2400	3652	4308	3722	6874	10048	10930	1962
WUAT02007379.1	Potri.015G095500.1	12	0	4	10	0	8	2	10
WUAT02007381.1	Potri.010G136700.1	22744	23934	30910	28586	43898	51814	46738	46320
WUAT02007385.1	Potri.005G091200.2	5044	2384	2922	4298	1668	2202	2144	2620
WUAT02007386.1	Potri.013G139112.1	1020	646	1030	1038	1334	2946	2356	902
WUAT02007390.1	Potri.002G001100.6	62944	57016	59046	79954	62328	67590	69188	65790
WUAT02007394.1	Potri.003G131200.1	2428	1434	1902	3350	1240	1428	1500	1756
WUAT02007398.1	Potri.013G138000.1	204	0	36	64	0	0	10	382
WUAT02007399.1	Potri.007G062622.1	1630	3026	2832	4202	4140	6042	5204	3472
WUAT02007401.1	Potri.006G035000.2	2462	2646	2694	4000	2592	3300	3232	3316
WUAT02007404.1	Potri.001G002200.2	35704	46346	44466	65116	26588	47078	32156	52234
WUAT02007408.1	Potri.010G192600.1	8320	5982	5740	11390	6302	6682	5748	5510
WUAT02007410.1	Potri.009G146000.1	3522	2902	4686	4032	5082	5528	7794	5330
WUAT02007416.1	Potri.003G050600.3	2	0	0	0	0	2382	1394	10
WUAT02007417.1	Potri.006G264500.6	88502	81746	72132	120516	69038	79694	71782	69582
WUAT02007421.1	Potri.013G133550.2	49422	48996	60420	51316	29100	31156	33620	79166
WUAT02007423.1	Potri.010G112200.2	2844	4098	2614	3502	1414	2594	2314	2374
WUAT02007426.1	Potri.001G342933.1	26340	22830	26286	34932	17180	20564	22922	25156
WUAT02007435.1	Potri.004G202466.1	14018	5484	7054	6568	2960	3580	2164	4666
WUAT02007436.1	Potri.018G043700.1	3386	5604	7500	4054	17334	60996	27552	20294
WUAT02007439.1	Potri.018G108200.2	60764	56220	59434	80350	114512	122750	116948	47782
WUAT02007440.1	Potri.009G041800.1	89622	62004	65218	46756	32638	49246	41676	47374
WUAT02007441.1	Potri.013G133550.2	14	38	22	30	68	104	34	10
WUAT02007444.1	Potri.018G008600.10	61020	69562	67470	83012	43870	75780	86820	71166
WUAT02007446.1	Potri.001G342933.1	220	230	78	276	236	174	236	166
WUAT02007448.1	Potri.009G042400.3	7186	4970	5898	8894	12550	10578	9582	4772
WUAT02007452.1	Potri.008G205400.2	4648	3040	6244	7750	12548	24032	18228	6732
WUAT02007453.1	Potri.001G316700.3	15516	13720	18300	19328	18008	20608	24780	16682
WUAT02007458.1	Potri.005G093000.5	7706	8934	10236	11382	8342	8898	9882	7464
WUAT02007462.1	Potri.008G042700.1	122760	168498	146884	220580	130528	141026	163370	115404
WUAT02007466.1	Potri.001G019400.1	298	190	274	252	252	912	808	670
WUAT02007471.1	Potri.002G031000.3	47496	36858	36742	48620	8210	10524	14932	35552
WUAT02007475.1	Potri.004G147800.1	276862	216514	239048	230268	33798	67430	74586	224622
WUAT02007476.1	Potri.002G256500.1	23158	18516	18116	30692	11316	10906	12410	15084
WUAT02007480.1	Potri.005G026400.2	17406	15454	15214	22772	14414	18504	17262	17542
WUAT02007481.1	Potri.010G204300.1	24	134	16	28	24	82	44	76
WUAT02007485.1	Potri.006G152700.10	5520	5318	3716	6392	1366	1674	1942	3304
WUAT02007486.1	Potri.017G013500.1	478	196	1196	80	218	516	248	686
WUAT02007488.1	Potri.001G265300.2	11866	18796	18216	13602	27582	23054	26224	19042
WUAT02007489.1	Potri.013G133550.2	3528	4998	5736	4670	2664	5282	7132	3268
WUAT02007494.1	Potri.017G086500.1	125752	114182	105766	185602	94444	111818	96240	88026
WUAT02007497.1	Potri.013G133550.2	88	396	90	190	278	74	440	116
WUAT02007498.1	Potri.013G142124.1	22218	26680	30254	28746	76214	88134	52340	15546
WUAT02007502.1	Potri.013G081300.10	6108	5644	6838	9180	4528	7022	6916	8670
WUAT02007503.1	Potri.014G185804.1	3146	3422	3426	3806	4442	7588	2578	3786
WUAT02007505.1	Potri.004G163000.2	22	2	34	56	10	12	38	96
WUAT02007507.1	Potri.001G312800.7	8928	5732	6852	13588	7404	13458	11134	6872
WUAT02007511.1	Potri.013G142232.6	36384	36242	27550	50362	40106	38126	38172	22324
WUAT02007516.1	Potri.009G109900.3	34574	32740	42828	47468	33372	38064	44898	35892
WUAT02007520.1	Potri.010G250900.7	274	96	176	142	288	232	208	170
WUAT02007521.1	Potri.013G143400.2	12496	28056	26934	20752	75800	65814	62348	33044
WUAT02007525.1	Potri.006G116800.1	157808	170220	149524	243962	116916	148792	155500	121852
WUAT02007529.1	Potri.011G085000.1	4544	7296	4676	9328	11540	15376	16522	4374
WUAT02007533.1	Potri.018G145800.2	3392	3396	4672	4434	2956	5164	5836	7150
WUAT02007534.1	Potri.002G056300.1	33120	14680	38248	45114	74956	87360	93186	39202
WUAT02007543.1	Potri.004G064000.1	24558	19830	24228	31146	24210	23606	21788	20686
WUAT02007545.1	Potri.013G162200.1	92	94	144	170	106	34	38	68
WUAT02007547.1	Potri.013G139112.2	616	5366	4588	3628	128	3220	992	8778
WUAT02007548.1	Potri.004G236600.2	28376	31422	32684	35548	23074	28858	27272	32132
WUAT02007552.1	Potri.006G090400.2	23572	20526	27452	20342	15682	20754	21700	28254
WUAT02007555.1	Potri.001G134100.5	254	294	574	350	370	556	922	838
WUAT02007556.1	Potri.013G133550.2	296	228	236	290	108	86	264	126
WUAT02007557.1	Potri.002G102100.8	3352	5942	3820	4176	1394	3172	3850	2288
WUAT02007561.1	Potri.002G192500.2	27016	31002	31364	29480	23308	27170	31350	34220
WUAT02007565.1	Potri.001G267300.1	23364	14986	14536	22754	8636	10630	10490	12374
WUAT02007566.1	Potri.002G143000.5	18038	20856	22398	24004	12490	24942	28228	25426
WUAT02007570.1	Potri.003G020300.2	130920	58352	93946	113600	117854	112934	145384	79760
WUAT02007584.1	Potri.002G177900.1	4808	3982	9062	7498	6446	16236	12514	8630
WUAT02007588.1	Potri.007G062122.1	1314	868	1356	2528	678	968	1350	1188
WUAT02007590.1	Potri.010G142800.1	384	4554	748	3320	203152	127658	168844	444
WUAT02007592.1	Potri.013G133550.2	82	22	36	42	14	40	14	32
WUAT02007594.1	Potri.013G162700.1	5786	5394	5810	5716	7436	9358	8998	7136
WUAT02007596.1	Potri.006G138500.11	24	56	42	180	26	34	8	88
WUAT02007597.1	Potri.018G068600.3	7158	5702	6682	9002	3694	4366	4182	7570
WUAT02007598.1	Potri.019G064100.2	3310	5074	6276	8018	8772	11844	9876	6416
WUAT02007599.1	Potri.004G001200.1	10	18	66	12	74	82	28	22
WUAT02007601.1	Potri.001G442900.12	26826	26100	27234	42172	43630	38446	39260	30066
WUAT02007602.1	Potri.007G020100.1	3054	1986	2648	4002	1646	2610	2720	2928
WUAT02007606.1	Potri.013G142232.5	2274	2956	7206	1208	2266	12288	4224	1652
WUAT02007608.1	Potri.018G096035.1	164	90	42	152	94	362	204	162
WUAT02007610.1	Potri.014G185804.1	28388	27938	24550	38818	25932	28770	26170	26080
WUAT02007611.1	Potri.006G193300.1	5292	5006	4168	7842	4002	5236	4452	5134
WUAT02007614.1	Potri.011G074600.2	18	18	100	30	38	46	46	6
WUAT02007615.1	Potri.006G163301.1	12070	7410	11850	13754	10352	15526	11948	10942
WUAT02007616.1	Potri.014G168600.5	1364	796	782	1160	1734	1858	1786	872
WUAT02007624.1	Potri.004G022500.1	21514	26046	27066	34310	31126	45762	32510	29592
WUAT02007629.1	Potri.016G093600.1	15298	11322	16426	31026	2952	6882	7016	31348
WUAT02007632.1	Potri.001G330900.6	5022	5032	5466	7574	3994	7302	5816	4206
WUAT02007633.1	Potri.004G059400.1	36498	40576	41764	49834	18716	32210	30080	29270
WUAT02007636.1	Potri.006G097200.1	14668	30662	25364	11674	15700	30606	30550	19906
WUAT02007637.1	Potri.013G142124.1	190	142	132	28	40	28	104	162
WUAT02007638.1	Potri.001G146400.1	43176	31220	47568	56898	44724	18430	21940	45002
WUAT02007640.1	Potri.008G224210.1	6	4	6	2	4	18	14	18
WUAT02007642.1	Potri.003G120600.1	46748	44252	47864	62200	39416	42080	46416	50914
WUAT02007652.1	Potri.001G322300.1	49770	39406	34966	69560	28996	25684	28770	23042
WUAT02007653.1	Potri.009G066100.1	8494	12782	10006	13142	18896	19472	18934	8588
WUAT02007659.1	Potri.013G042300.1	5064	6074	6762	7688	3906	6272	4638	4676
WUAT02007666.1	Potri.018G018600.2	3784	4500	5030	7782	5246	7122	5188	5610
WUAT02007670.1	Potri.016G036300.1	5506	2788	3234	5604	2166	3230	3266	4184
WUAT02007674.1	Potri.003G015800.1	886	524	1040	1866	398	808	864	746
WUAT02007677.1	Potri.005G257500.1	10	166	198	8	104	1028	126	2
WUAT02007680.1	Potri.006G265900.7	2084	1516	1500	2184	946	1700	1590	1738
WUAT02007682.1	Potri.002G100200.1	38810	29874	29132	41038	29566	23368	29822	30664
WUAT02007684.1	Potri.001G333200.1	45668	32864	31126	53912	7010	9978	8706	45486
WUAT02007687.1	Potri.011G059600.1	2228	1858	1818	4936	8080	5638	4378	1880
WUAT02007688.1	Potri.012G144700.1	34922	23902	28822	45650	21006	20976	21638	18358
WUAT02007691.1	Potri.011G083300.2	274	214	556	484	100	154	442	356
WUAT02007697.1	Potri.003G201200.4	15176	3800	3786	9724	486	3366	310	8740
WUAT02007710.1	Potri.006G098700.1	2888	2196	3104	5524	1352	1606	1638	2284
WUAT02007715.1	Potri.013G008500.6	4810	3906	4412	6368	2114	3992	3490	4336
WUAT02007716.1	Potri.009G002400.1	13872	9984	10612	16590	8712	10300	11342	10512
WUAT02007718.1	Potri.014G185948.1	24330	8806	6832	16120	5584	6724	4472	4772
WUAT02007720.1	Potri.013G092500.1	5058	10784	5004	4740	13442	11406	5298	12796
WUAT02007728.1	Potri.014G104600.3	230	930	356	376	872	1110	1170	496
WUAT02007729.1	Potri.009G120800.4	18522	18082	21018	22804	17134	20458	23806	23836
WUAT02007730.1	Potri.007G061841.1	0	0	0	0	2	0	2	0
WUAT02007732.1	Potri.018G121300.1	26902	19608	22036	35388	19666	24244	20902	20260
WUAT02007733.1	Potri.014G170200.1	30760	35876	39926	41760	38582	54732	43460	44698
WUAT02007736.1	Potri.009G119500.3	29482	29846	35360	37840	23612	25312	29038	32314
WUAT02007738.1	Potri.012G088200.1	70580	80170	86812	97550	124310	125890	116536	108400
WUAT02007741.1	Potri.001G272700.2	107376	111292	49474	241758	145632	135700	72096	35896
WUAT02007742.1	Potri.007G081200.1	418	2024	510	862	56	358	88	410
WUAT02007745.1	Potri.014G170500.2	52272	37350	74700	90394	36606	45300	56278	46894
WUAT02007750.1	Potri.006G063300.1	27354	20132	28420	30970	16810	29806	33010	23498
WUAT02007756.1	Potri.013G141912.1	30	8	10	30	10	32	6	34
WUAT02007759.1	Potri.003G203100.10	10842	9808	10612	12422	16472	17416	18658	9678
WUAT02007763.1	Potri.013G025000.1	75052	64612	63380	99906	60864	62502	64136	49572
WUAT02007768.1	Potri.014G146300.1	70228	55294	50548	58778	34224	73214	32406	71360
WUAT02007772.1	Potri.002G236800.2	19762	32936	25096	38392	20506	23490	26774	20468
WUAT02007774.1	Potri.008G042700.1	1102	970	710	1070	792	1038	858	620
WUAT02007775.1	Potri.009G162300.1	48	44	98	86	30	42	78	52
WUAT02007777.1	Potri.018G053640.1	79302	62772	61242	89418	31338	42390	52600	66366
WUAT02007781.1	Potri.011G064500.1	8364	7082	9158	13232	5602	8616	6238	6890
WUAT02007782.1	Potri.014G185948.1	1244	2518	3468	2508	3864	7852	3686	2320
WUAT02007786.1	Potri.004G125150.1	11258	11480	14980	14028	12084	14508	15732	15288
WUAT02007790.1	Potri.004G092100.2	17478	18828	17138	21502	17992	23756	14904	17508
WUAT02007791.1	Potri.004G125150.1	772	756	1096	1466	874	1628	1320	1870
WUAT02007792.1	Potri.005G154350.1	5280	4526	5458	8028	3166	5520	4742	4338
WUAT02007794.1	Potri.003G117000.5	25370	26274	22214	27002	3802	5780	6192	14818
WUAT02007795.1	Potri.008G067900.1	338	330	308	1202	638	716	424	480
WUAT02007798.1	Potri.016G028900.5	37834	19578	27176	35834	11304	31408	27864	28794
WUAT02007799.1	Potri.002G010100.4	26472	23626	57238	28584	33046	64410	75604	84978
WUAT02007805.1	Potri.004G010900.2	8688	7890	8440	12684	6528	8756	7118	7364
WUAT02007808.1	Potri.003G116900.1	25308	23254	24350	23132	14982	25052	26682	32934
WUAT02007809.1	Potri.007G082400.1	110	136	182	190	86	156	194	294
WUAT02007814.1	Potri.009G115800.1	13822	10998	20076	13128	18256	21622	20580	25906
WUAT02007818.1	Potri.002G239600.1	11830	6854	7874	16822	8512	9724	18846	10804
WUAT02007819.1	Potri.011G075051.1	242	116	88	338	188	162	188	174
WUAT02007822.1	Potri.001G442500.2	2612	2206	3130	4948	2036	1654	2082	2204
WUAT02007823.1	Potri.012G097300.1	19990	25998	24234	29104	20404	27616	35894	31504
WUAT02007826.1	Potri.004G030400.1	11848	11016	14476	16878	10046	9086	8136	9066
WUAT02007827.1	Potri.006G043400.3	2938	5938	4770	7058	4554	6058	3548	3214
WUAT02007835.1	Potri.013G162600.1	13160	16326	14650	16724	10692	15586	18402	16752
WUAT02007839.1	Potri.012G031250.1	66	0	2	0	0	0	0	0
WUAT02007840.1	Potri.007G113300.5	41206	39746	42518	49856	64252	78598	69786	46616
