Gene_ID	subject_id	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
WUAT02007148.1	Potri.001G200500.10	82344	67522	70734	71198	107612	118220	132682	147282
WUAT02007150.1	Potri.015G115701.2	52	54	8	22	32	26	28	72
WUAT02007152.1	Potri.002G110000.1	906	1106	1812	722	1008	1216	1320	680
WUAT02007154.1	Potri.018G069200.3	482	470	610	536	1880	226	850	516
WUAT02007156.1	Potri.003G119800.6	25464	19796	21084	23074	22998	22276	28198	28336
WUAT02007162.1	Potri.010G202200.5	4242	5090	4554	5570	4918	4452	6320	6580
WUAT02007165.1	Potri.001G312800.7	12162	13550	12146	9636	18286	15244	21714	17282
WUAT02007169.1	Potri.001G264900.1	8412	4494	4924	5120	6818	31294	21678	24796
WUAT02007170.1	Potri.009G003500.5	15068	11276	18256	14730	12314	7668	5962	5518
WUAT02007174.1	Potri.009G114300.1	40502	25508	36882	30688	27930	20528	26414	25864
WUAT02007175.1	Potri.007G016100.2	4774	4156	6712	5532	4092	452	2540	710
WUAT02007177.1	Potri.007G020100.1	14	6	44	30	12	10	56	16
WUAT02007178.1	Potri.008G003300.1	4564	1872	3212	2974	2386	4272	3054	5486
WUAT02007179.1	Potri.003G142100.1	56450	52274	84712	57868	55268	9816	15852	13458
WUAT02007182.1	Potri.005G257800.3	117880	92362	103056	93850	129486	91678	114966	96810
WUAT02007183.1	Potri.017G046200.1	25448	17068	18208	27866	39702	46080	31592	36430
WUAT02007188.1	Potri.014G057000.1	10732	8456	11370	9498	8054	10432	14186	13706
WUAT02007189.1	Potri.012G088700.3	12564	8166	9484	8956	8920	8772	11630	11138
WUAT02007191.1	Potri.001G312800.7	6	0	18	2	12	18	0	20
WUAT02007192.1	Potri.008G177900.3	11068	11398	9438	9806	6080	4022	5682	8074
WUAT02007205.1	Potri.010G052500.1	45072	32828	38676	38912	40006	50946	66916	59980
WUAT02007207.1	Potri.014G081100.8	48928	40876	40998	40016	40184	67660	68994	64262
WUAT02007209.1	Potri.013G133550.2	0	0	0	4	0	4	0	0
WUAT02007215.1	Potri.004G133420.1	18460	13012	10310	12916	25356	42358	44596	33844
WUAT02007217.1	Potri.011G075200.2	2	14	8	6	2	16	8	0
WUAT02007219.1	Potri.013G138000.1	8514	12862	15092	12178	23474	32060	15304	10792
WUAT02007225.1	Potri.017G007400.1	35726	31506	31256	28842	24948	35314	45284	49170
WUAT02007228.1	Potri.003G080900.2	74008	55600	58858	58028	54024	53902	64190	48276
WUAT02007233.1	Potri.005G017600.1	3976	3494	3612	3530	3580	4308	5010	4390
WUAT02007237.1	Potri.008G059100.1	7752	6396	7952	6464	7726	6370	11512	9478
WUAT02007247.1	Potri.013G133550.2	6214	7270	5908	6392	7820	6512	5442	11814
WUAT02007253.1	Potri.002G103800.1	470	24	12	222	78	108	144	278
WUAT02007264.1	Potri.006G145700.7	23988	21452	21314	20158	22972	23978	24430	21806
WUAT02007268.1	Potri.005G049100.5	66692	30660	40068	36712	34882	36288	42434	42256
WUAT02007269.1	Potri.017G101100.5	1804	1066	1268	1518	1346	1852	1740	1786
WUAT02007272.1	Potri.005G131300.2	1522	1180	1606	1480	1006	542	816	682
WUAT02007273.1	Potri.019G087000.6	90638	70584	82036	78902	91722	110494	128314	103856
WUAT02007277.1	Potri.001G467300.1	9470	6346	8152	8344	9034	8194	9084	10450
WUAT02007282.1	Potri.001G385300.3	1226	628	1480	2144	3412	4134	4530	3628
WUAT02007284.1	Potri.004G097900.1	352	128	130	154	312	226	196	388
WUAT02007286.1	Potri.013G161900.1	2754	2018	1402	1608	1716	1656	1706	1646
WUAT02007287.1	Potri.001G312800.9	3700	3044	3330	2728	23662	9442	7012	5536
WUAT02007289.1	Potri.009G081200.1	1582	858	954	1490	1214	1784	1908	1724
WUAT02007294.1	Potri.013G142124.1	620	320	306	594	234	540	686	960
WUAT02007296.1	Potri.012G137800.1	1676	1584	2442	1550	2070	1486	1736	1532
WUAT02007299.1	Potri.010G126900.12	25692	21206	22256	22678	24738	40734	40000	37132
WUAT02007300.1	Potri.004G212600.3	18792	29514	22424	39104	41006	13618	25772	21122
WUAT02007301.1	Potri.010G026100.2	36982	33654	27508	29642	23908	29204	38268	32714
WUAT02007302.1	Potri.014G179700.1	18	0	0	16	0	0	24	16
WUAT02007303.1	Potri.002G139700.4	26938	18868	22186	22806	26536	25922	35982	41196
WUAT02007305.1	Potri.016G093200.2	36922	24450	32160	31444	34158	44476	60960	56986
WUAT02007306.1	Potri.012G058400.2	5792	4476	4216	4936	4342	9434	9452	10564
WUAT02007309.1	Potri.019G036500.1	2768	1596	1008	898	3862	4172	3624	3156
WUAT02007318.1	Potri.014G060100.3	33754	27156	30568	28562	29412	38332	48000	42582
WUAT02007322.1	Potri.014G002400.1	20398	16344	15218	17232	27236	42540	37652	38610
WUAT02007327.1	Potri.012G031250.1	13284	6484	7766	8370	7576	9718	11830	8794
WUAT02007330.1	Potri.010G004200.4	2852	5058	2956	2036	3628	4536	3566	1400
WUAT02007335.1	Potri.008G182766.1	23032	17876	28610	23186	19832	8942	13964	12000
WUAT02007336.1	Potri.006G249000.1	11348	6934	9564	7634	7782	9852	14340	11188
WUAT02007338.1	Potri.013G143400.2	96	20	30	50	70	2	42	34
WUAT02007340.1	Potri.001G312800.7	118	54	114	104	296	728	46	138
WUAT02007345.1	Potri.002G187000.7	17368	13138	13560	15032	14210	16318	24762	20504
WUAT02007348.1	Potri.007G090600.1	844	94	86	106	118	404	76	198
WUAT02007349.1	Potri.014G143600.1	7710	6934	7850	7084	6620	4830	6156	5346
WUAT02007350.1	Potri.004G213400.1	29448	24820	25674	24358	21246	18326	30708	22284
WUAT02007352.1	Potri.013G143400.2	1428	1678	3128	3168	8686	11610	11646	17096
WUAT02007353.1	Potri.014G112266.2	1912	1684	2282	1824	1954	2502	2526	2574
WUAT02007356.1	Potri.005G045100.1	22	20	4	2	8	6	20	8
WUAT02007359.1	Potri.002G201500.8	74784	38626	40694	38724	38052	56512	60504	53744
WUAT02007363.1	Potri.012G096500.1	2416	1840	1718	1854	2040	2562	2392	2204
WUAT02007372.1	Potri.005G063400.1	55670	45058	54594	42922	69720	75218	79270	71700
WUAT02007375.1	Potri.011G157000.2	6	26	4	4	2	6	4	56
WUAT02007376.1	Potri.001G144200.1	40262	30644	29724	32516	29744	29748	40974	35054
WUAT02007378.1	Potri.011G075051.1	1796	2154	1420	1286	3870	11278	12342	5986
WUAT02007379.1	Potri.015G095500.1	0	4	6	2	22	0	2	2
WUAT02007381.1	Potri.010G136700.1	31538	21938	23378	21496	20936	45158	62482	54278
WUAT02007385.1	Potri.005G091200.2	6932	3724	4908	2794	3044	2116	2282	1632
WUAT02007386.1	Potri.013G139112.1	1344	620	778	792	1166	2432	1654	2254
WUAT02007390.1	Potri.002G001100.6	64738	49414	59830	52240	55988	66564	74050	60452
WUAT02007394.1	Potri.003G131200.1	1820	1724	1670	1770	2790	1854	2104	1958
WUAT02007398.1	Potri.013G138000.1	6	6	132	8	58	10	148	6
WUAT02007399.1	Potri.007G062622.1	2560	1694	3560	3176	3304	3498	4808	5438
WUAT02007401.1	Potri.006G035000.2	2814	3822	2098	2796	2492	2672	4388	2928
WUAT02007404.1	Potri.001G002200.2	35560	28884	84348	29376	27488	33266	51530	55080
WUAT02007408.1	Potri.010G192600.1	7066	4348	6726	6056	8000	6980	7970	8150
WUAT02007410.1	Potri.009G146000.1	3732	3840	3046	3596	3970	5348	6782	2148
WUAT02007416.1	Potri.003G050600.3	0	2	888	2	8	12	8	0
WUAT02007417.1	Potri.006G264500.6	79690	65424	81794	69596	77070	70580	99778	85768
WUAT02007421.1	Potri.013G133550.2	96232	44452	51874	53234	40942	26918	66596	44852
WUAT02007423.1	Potri.010G112200.2	2760	2358	2478	2490	3172	2476	3640	2460
WUAT02007426.1	Potri.001G342933.1	24588	22902	20996	24058	24064	23362	28050	21008
WUAT02007435.1	Potri.004G202466.1	6444	3790	5046	3174	4450	3250	3270	3096
WUAT02007436.1	Potri.018G043700.1	3704	7282	7238	3260	2780	17494	18976	19044
WUAT02007439.1	Potri.018G108200.2	60798	25924	36544	33048	110210	112388	105784	109162
WUAT02007440.1	Potri.009G041800.1	93378	69614	60926	74982	95390	36970	33614	35720
WUAT02007441.1	Potri.013G133550.2	18	20	76	50	10	40	78	26
WUAT02007444.1	Potri.018G008600.10	60886	53674	56350	55368	65234	75148	83594	77664
WUAT02007446.1	Potri.001G342933.1	230	72	202	132	114	252	314	232
WUAT02007448.1	Potri.009G042400.3	7198	5412	5242	4798	10326	9846	8682	7362
WUAT02007452.1	Potri.008G205400.2	6752	4592	3718	5310	5186	24072	11996	15252
WUAT02007453.1	Potri.001G316700.3	14814	13814	13546	12064	14084	17486	19246	19268
WUAT02007458.1	Potri.005G093000.5	6030	10150	9180	7530	7682	6992	9668	8720
WUAT02007462.1	Potri.008G042700.1	194402	133922	146102	156632	116122	121692	212608	141406
WUAT02007466.1	Potri.001G019400.1	306	210	284	430	292	1144	980	1178
WUAT02007471.1	Potri.002G031000.3	23624	29912	26746	19956	39344	17292	15434	10074
WUAT02007475.1	Potri.004G147800.1	145116	113936	199136	123996	145816	97930	71532	70936
WUAT02007476.1	Potri.002G256500.1	22524	13490	19996	16608	12466	13274	14132	14724
WUAT02007480.1	Potri.005G026400.2	17268	14602	12290	13802	13802	13594	18796	15474
WUAT02007481.1	Potri.010G204300.1	60	70	24	30	22	56	42	56
WUAT02007485.1	Potri.006G152700.10	3104	3082	4846	2914	2930	2346	1570	2096
WUAT02007486.1	Potri.017G013500.1	432	56	300	182	224	238	788	404
WUAT02007488.1	Potri.001G265300.2	17908	22054	18544	13406	11896	17042	26904	24734
WUAT02007489.1	Potri.013G133550.2	2098	2392	4268	2188	2482	4616	2572	3140
WUAT02007494.1	Potri.017G086500.1	156842	106746	112936	102980	99548	122156	139998	101528
WUAT02007497.1	Potri.013G133550.2	112	66	164	56	100	88	490	174
WUAT02007498.1	Potri.013G142124.1	22986	21036	21460	13632	48266	98222	76178	62532
WUAT02007502.1	Potri.013G081300.10	5412	5856	3574	6294	6676	5192	7450	5608
WUAT02007503.1	Potri.014G185804.1	5914	3022	3592	2938	2658	4634	3988	5654
WUAT02007505.1	Potri.004G163000.2	14	92	32	66	46	16	12	96
WUAT02007507.1	Potri.001G312800.7	11694	7510	10130	10878	10526	6740	9070	16220
WUAT02007511.1	Potri.013G142232.6	42638	23720	28162	30690	31804	35190	46572	41958
WUAT02007516.1	Potri.009G109900.3	34144	29744	33114	32422	29712	39534	41612	41350
WUAT02007520.1	Potri.010G250900.7	204	180	168	188	168	172	220	156
WUAT02007521.1	Potri.013G143400.2	12776	13094	16188	16300	20942	54950	52120	53944
WUAT02007525.1	Potri.006G116800.1	209812	140130	157190	149200	171562	116946	211070	151662
WUAT02007529.1	Potri.011G085000.1	5278	5556	3690	4488	10480	16864	14968	14302
WUAT02007533.1	Potri.018G145800.2	3478	3292	2558	4030	2762	3998	5954	4962
WUAT02007534.1	Potri.002G056300.1	103538	35786	24110	24482	29518	105336	57710	76454
WUAT02007543.1	Potri.004G064000.1	24796	19392	22552	19724	23532	21890	24476	29622
WUAT02007545.1	Potri.013G162200.1	90	60	204	138	130	306	228	42
WUAT02007547.1	Potri.013G139112.2	936	310	9204	2162	2474	238	2804	2276
WUAT02007548.1	Potri.004G236600.2	29046	26656	29320	21754	23908	22874	36020	33300
WUAT02007552.1	Potri.006G090400.2	20532	21658	24190	18462	13498	20992	23276	23690
WUAT02007555.1	Potri.001G134100.5	146	326	442	84	176	178	442	996
WUAT02007556.1	Potri.013G133550.2	234	160	250	208	204	202	206	146
WUAT02007557.1	Potri.002G102100.8	2464	2788	4510	2334	3216	2682	3152	1884
WUAT02007561.1	Potri.002G192500.2	25476	15358	21822	22070	14368	23762	25678	37178
WUAT02007565.1	Potri.001G267300.1	15126	13464	16028	15814	14948	7984	12200	11680
WUAT02007566.1	Potri.002G143000.5	18048	16758	15484	18674	16756	20520	27864	20554
WUAT02007570.1	Potri.003G020300.2	122878	82772	77690	63506	142640	124602	179078	79840
WUAT02007584.1	Potri.002G177900.1	6838	4850	7402	6260	2702	13702	13094	15368
WUAT02007588.1	Potri.007G062122.1	1114	1096	982	1018	1150	1016	1032	988
WUAT02007590.1	Potri.010G142800.1	1506	310	412	1420	15904	194740	220854	100552
WUAT02007592.1	Potri.013G133550.2	40	28	56	28	46	40	22	94
WUAT02007594.1	Potri.013G162700.1	6264	4084	6202	3998	4052	7438	9006	14066
WUAT02007596.1	Potri.006G138500.11	12	50	18	50	22	8	18	40
WUAT02007597.1	Potri.018G068600.3	6980	6470	6320	6056	4730	3170	4438	4656
WUAT02007598.1	Potri.019G064100.2	5984	3956	5704	3892	5472	10748	11826	10362
WUAT02007599.1	Potri.004G001200.1	20	0	28	10	22	48	64	22
WUAT02007601.1	Potri.001G442900.12	24556	23756	23516	25850	30456	46936	40100	31934
WUAT02007602.1	Potri.007G020100.1	3266	2390	2766	3158	2576	3074	3294	2914
WUAT02007606.1	Potri.013G142232.5	3392	2422	4382	2972	1352	6214	3220	4102
WUAT02007608.1	Potri.018G096035.1	30	48	116	38	208	210	180	158
WUAT02007610.1	Potri.014G185804.1	37208	20400	28954	21184	27150	25944	29158	29078
WUAT02007611.1	Potri.006G193300.1	4756	3522	4666	3998	6674	4572	6132	6074
WUAT02007614.1	Potri.011G074600.2	2	24	18	8	36	64	28	42
WUAT02007615.1	Potri.006G163301.1	12082	10944	9154	10984	9824	11912	14738	13240
WUAT02007616.1	Potri.014G168600.5	1376	920	572	828	752	1538	1342	1044
WUAT02007624.1	Potri.004G022500.1	47616	22882	23040	24832	18536	40588	39396	39542
WUAT02007629.1	Potri.016G093600.1	15142	17686	14498	24424	15780	4012	7268	5818
WUAT02007632.1	Potri.001G330900.6	8626	4614	4860	8876	4854	6344	6770	6304
WUAT02007633.1	Potri.004G059400.1	47462	39404	34716	39890	28868	31954	45518	27540
WUAT02007636.1	Potri.006G097200.1	8556	8266	27834	11902	15692	10640	20344	14494
WUAT02007637.1	Potri.013G142124.1	182	80	192	32	68	42	280	254
WUAT02007638.1	Potri.001G146400.1	39886	36262	34002	38406	27984	12442	23814	50322
WUAT02007640.1	Potri.008G224210.1	30	2	8	6	4	4	0	14
WUAT02007642.1	Potri.003G120600.1	42666	38528	43412	39422	38774	43576	57206	51450
WUAT02007652.1	Potri.001G322300.1	49328	32578	40484	35428	33098	25974	36358	28822
WUAT02007653.1	Potri.009G066100.1	10204	11786	8030	9240	18782	24248	25180	22284
WUAT02007659.1	Potri.013G042300.1	6460	4260	4630	5582	4178	4976	8710	5918
WUAT02007666.1	Potri.018G018600.2	3860	3114	4090	4686	5472	4942	8844	8630
WUAT02007670.1	Potri.016G036300.1	4412	4280	4120	3292	3646	2296	3232	2792
WUAT02007674.1	Potri.003G015800.1	848	646	744	666	754	778	1156	612
WUAT02007677.1	Potri.005G257500.1	60	2	212	36	16	440	174	502
WUAT02007680.1	Potri.006G265900.7	1398	1498	1422	1244	1320	1444	1580	1502
WUAT02007682.1	Potri.002G100200.1	36836	29886	39622	24994	28438	23564	35014	32846
WUAT02007684.1	Potri.001G333200.1	27702	27272	35950	33792	28716	5574	16558	13296
WUAT02007687.1	Potri.011G059600.1	2416	2132	1200	2930	3174	6476	5908	5766
WUAT02007688.1	Potri.012G144700.1	40814	26124	26752	26570	24608	18184	30904	22956
WUAT02007691.1	Potri.011G083300.2	918	140	196	206	78	90	152	90
WUAT02007697.1	Potri.003G201200.4	5620	4232	3920	5720	11166	1050	3146	2368
WUAT02007710.1	Potri.006G098700.1	2560	2744	3048	2686	2188	1352	1602	2058
WUAT02007715.1	Potri.013G008500.6	4546	4522	3860	3698	2778	2748	4106	3334
WUAT02007716.1	Potri.009G002400.1	9634	9568	10566	10592	10850	9878	11768	8146
WUAT02007718.1	Potri.014G185948.1	26024	8988	16204	10724	13514	7476	8468	4964
WUAT02007720.1	Potri.013G092500.1	27686	3872	8110	4622	6132	5076	9238	5488
WUAT02007728.1	Potri.014G104600.3	236	246	464	344	1044	840	1390	2028
WUAT02007729.1	Potri.009G120800.4	17098	13746	15780	15476	15388	20364	19046	16594
WUAT02007730.1	Potri.007G061841.1	2	2	0	2	0	0	6	14
WUAT02007732.1	Potri.018G121300.1	22866	18004	23090	20312	19802	18474	26012	20642
WUAT02007733.1	Potri.014G170200.1	36024	31042	34946	30590	36944	42194	48164	47038
WUAT02007736.1	Potri.009G119500.3	26986	21440	27384	24852	19710	21782	27474	25236
WUAT02007738.1	Potri.012G088200.1	91636	66462	75304	80112	86672	89888	127290	121766
WUAT02007741.1	Potri.001G272700.2	69418	127114	118268	103960	180846	42254	70090	91554
WUAT02007742.1	Potri.007G081200.1	458	946	820	616	80	22	910	1088
WUAT02007745.1	Potri.014G170500.2	54700	54628	59504	49850	44300	59676	41378	66154
WUAT02007750.1	Potri.006G063300.1	29616	19190	24250	21950	24366	26418	33156	27912
WUAT02007756.1	Potri.013G141912.1	10	4	16	16	54	42	36	10
WUAT02007759.1	Potri.003G203100.10	10730	8242	11190	8794	14152	17736	16388	17570
WUAT02007763.1	Potri.013G025000.1	77274	57654	64244	57376	56424	53340	77090	61674
WUAT02007768.1	Potri.014G146300.1	60182	41348	37666	24188	59442	36872	49978	57730
WUAT02007772.1	Potri.002G236800.2	24424	22826	23066	21786	23960	22786	34938	18320
WUAT02007774.1	Potri.008G042700.1	1178	614	902	862	734	614	770	568
WUAT02007775.1	Potri.009G162300.1	18	38	64	30	42	58	60	36
WUAT02007777.1	Potri.018G053640.1	49660	60248	42852	41344	72756	57588	39360	41024
WUAT02007781.1	Potri.011G064500.1	9790	7990	8450	8148	5492	5240	10058	7958
WUAT02007782.1	Potri.014G185948.1	1742	24	4694	2616	658	5064	4374	4974
WUAT02007786.1	Potri.004G125150.1	12252	11320	11376	9988	14282	16736	20050	15572
WUAT02007790.1	Potri.004G092100.2	18758	13768	16418	13864	14362	18350	18654	20114
WUAT02007791.1	Potri.004G125150.1	880	398	1082	1234	1544	1608	2236	2818
WUAT02007792.1	Potri.005G154350.1	7080	4730	4638	5474	4476	3122	5134	5044
WUAT02007794.1	Potri.003G117000.5	14574	18130	17412	18670	17396	4360	5342	4514
WUAT02007795.1	Potri.008G067900.1	200	214	314	446	348	568	324	394
WUAT02007798.1	Potri.016G028900.5	51458	25966	20646	30992	24418	19074	25512	23056
WUAT02007799.1	Potri.002G010100.4	31190	20862	25724	27182	20634	66320	61472	74608
WUAT02007805.1	Potri.004G010900.2	9416	6482	8164	7280	7712	7380	9008	8774
WUAT02007808.1	Potri.003G116900.1	10344	19530	24110	12098	15094	11552	25046	25922
WUAT02007809.1	Potri.007G082400.1	124	108	110	102	150	60	164	246
WUAT02007814.1	Potri.009G115800.1	14308	15688	16592	14388	14462	26388	24962	31876
WUAT02007818.1	Potri.002G239600.1	11266	6600	8276	8216	16588	10480	12350	13078
WUAT02007819.1	Potri.011G075051.1	206	186	124	114	176	164	162	138
WUAT02007822.1	Potri.001G442500.2	2804	2802	3008	2780	2126	1878	2010	1530
WUAT02007823.1	Potri.012G097300.1	20624	20004	19276	19986	21948	27552	36240	33866
WUAT02007826.1	Potri.004G030400.1	15036	10736	10044	10740	12830	9020	10496	8876
WUAT02007827.1	Potri.006G043400.3	4684	3194	3842	4670	3614	3028	5722	4464
WUAT02007835.1	Potri.013G162600.1	12942	11170	13946	10380	13640	17306	16774	18664
WUAT02007839.1	Potri.012G031250.1	4	4	8	6	6	6	2	4
WUAT02007840.1	Potri.007G113300.5	50354	35750	41452	35196	45294	79978	66022	80786
WUAT02007841.1	Potri.006G101800.6	24778	15582	15154	17008	18594	28434	35374	30202
WUAT02007844.1	Potri.011G073900.2	27188	22626	22458	19726	21412	26196	29436	25320
WUAT02007845.1	Potri.007G061781.1	7760	5272	5774	6432	6932	5978	9566	5934
WUAT02007846.1	Potri.001G157400.1	36594	37794	36044	32968	42268	55370	55714	58694
WUAT02007848.1	Potri.014G014700.4	0	0	4	0	26	12	12	0
WUAT02007849.1	Potri.013G151000.1	6652	6906	8774	6848	8600	6688	8858	8996
WUAT02007851.1	Potri.019G040100.15	142	460	222	502	510	578	618	520
WUAT02007853.1	Potri.013G133550.2	2460	1784	2582	3364	1728	2888	2730	2686
WUAT02007867.1	Potri.006G038400.4	2544	1678	3102	2422	2930	3212	2498	5544
WUAT02007868.1	Potri.005G033900.2	8110	9046	7944	8444	7250	5590	8608	6398
WUAT02007871.1	Potri.019G040100.15	2134	2702	1318	2726	3022	2802	2894	3508
WUAT02007872.1	Potri.010G227000.4	33338	32424	33218	32540	23814	40932	47600	46426
WUAT02007875.1	Potri.018G086700.1	122120	81790	95084	131712	138120	146968	325900	215606
WUAT02007878.1	Potri.003G091200.1	74	38	50	50	48	104	68	256
WUAT02007885.1	Potri.013G133550.2	2052	3428	3750	2412	5672	5094	4252	5028
WUAT02007886.1	Potri.019G068500.1	65708	65022	77722	68052	62028	69668	62208	61864
WUAT02007889.1	Potri.001G202100.1	10678	5880	6166	6224	12674	1328	2250	2312
WUAT02007892.1	Potri.013G157900.1	137314	154524	191192	106212	276210	142110	139792	95080
WUAT02007894.1	Potri.013G105200.2	8388	5604	12090	4684	5348	4682	6326	5818
WUAT02007896.1	Potri.006G231200.4	135466	106806	130552	101332	106328	60548	66458	60620
WUAT02007898.1	Potri.013G141912.1	17796	12556	18896	14796	18848	26644	18694	21102
WUAT02007899.1	Potri.015G110000.3	8636	7576	7130	8346	9962	12710	16232	12600
WUAT02007903.1	Potri.012G133600.4	62560	55106	54624	55364	48204	59868	74400	66218
WUAT02007907.1	Potri.010G168700.1	32	68	76	30	20	12	82	34
WUAT02007908.1	Potri.018G034600.1	216	36	282	174	222	52	90	144
WUAT02007912.1	Potri.011G113575.1	2298	1380	2666	2524	1976	3692	3008	3478
WUAT02007921.1	Potri.003G031200.1	7208	4850	6324	5706	5494	5948	7326	8004
WUAT02007922.1	Potri.008G042400.2	17938	13568	13922	14592	11784	11310	16042	16332
WUAT02007923.1	Potri.016G075000.1	32	68	22	50	18	48	48	34
WUAT02007927.1	Potri.006G271200.2	19714	12476	19162	19878	29240	31368	37358	32754
WUAT02007930.1	Potri.010G052500.1	38806	40348	41600	40338	39672	35532	38320	35416
WUAT02007931.1	Potri.011G103401.1	270	110	346	216	358	330	802	212
WUAT02007933.1	Potri.013G138900.1	68	50	62	50	136	88	114	20
WUAT02007934.1	Potri.013G139670.1	94	30	26	52	30	32	54	44
WUAT02007939.1	Potri.006G144500.1	404	654	422	348	408	514	664	664
WUAT02007940.1	Potri.016G138700.2	26720	18614	18814	18668	16038	19700	24102	27224
WUAT02007947.1	Potri.004G064600.4	5908	4254	5064	3936	3514	4616	5702	6200
WUAT02007948.1	Potri.016G046600.1	32608	25102	25354	29204	27068	30570	35410	28032
WUAT02007950.1	Potri.019G132450.1	800	472	554	228	188	502	588	534
WUAT02007951.1	Potri.013G133550.2	1960	2088	2146	2134	2228	3172	3870	3642
WUAT02007953.1	Potri.004G222900.1	4198	3256	4686	3738	3736	4024	4312	4244
WUAT02007955.1	Potri.013G133550.1	8	6	12	4	26	12	6	22
WUAT02007957.1	Potri.002G201300.1	39760	29436	35246	29876	39076	32074	41946	36246
WUAT02007966.1	Potri.013G162700.1	5704	4042	5180	4614	5756	11754	11076	14176
WUAT02007975.1	Potri.001G036100.4	7214	5698	6080	6910	6130	5868	8052	6132
WUAT02007976.1	Potri.016G128900.3	610	838	340	1180	1192	1630	754	678
WUAT02007979.1	Potri.003G104300.4	1712	2342	1726	1432	2340	954	2582	2256
WUAT02007984.1	Potri.006G163301.1	9418	8684	8300	7352	7316	5876	8594	8616
WUAT02007987.1	Potri.014G128400.1	3274	2608	3620	2572	2374	1624	3208	2948
WUAT02007988.1	Potri.018G043700.1	26202	19926	23268	19826	22090	23510	24494	22538
WUAT02007989.1	Potri.012G058400.2	182	636	568	824	1566	692	618	614
WUAT02007990.1	Potri.012G024700.7	85254	37240	21998	43124	36266	25572	17968	33550
WUAT02007993.1	Potri.001G158900.3	41482	39222	39104	39002	61674	44688	40576	64586
WUAT02007997.1	Potri.013G143400.2	84	96	150	80	116	236	234	206
WUAT02007998.1	Potri.011G027800.1	3928	7562	6776	6844	17198	22984	19276	16144
WUAT02008002.1	Potri.004G038400.3	4344	2686	3748	2898	2450	4276	5882	6172
WUAT02008006.1	Potri.003G124200.2	3414	3184	2360	3350	2678	5882	2878	3686
WUAT02008007.1	Potri.001G266700.3	55230	53320	61490	52224	50222	55886	58076	57972
WUAT02008011.1	Potri.006G153900.1	47496	27150	33874	31012	32642	39604	53352	51574
WUAT02008012.1	Potri.002G245200.1	1866	1620	1696	2128	2824	2504	2518	1576
WUAT02008014.1	Potri.009G093500.1	6096	5122	4964	5222	4204	2636	4246	2120
WUAT02008015.1	Potri.010G034300.1	14	30	22	134	44	166	24	44
WUAT02008016.1	Potri.007G062061.1	38534	28932	31648	31858	38084	37356	49120	46398
WUAT02008021.1	Potri.018G005600.1	12644	10290	11578	9888	13312	14196	16702	12102
WUAT02008022.1	Potri.007G011600.3	582	582	628	548	368	638	642	692
WUAT02008024.1	Potri.001G323600.8	2396	1524	1606	1806	1652	840	1360	2234
WUAT02008026.1	Potri.005G251000.2	107276	128744	116428	174136	76570	106130	136946	146156
WUAT02008027.1	Potri.013G142100.1	1406	682	50	1406	922	1046	2430	1044
WUAT02008029.1	Potri.002G261800.3	57506	43462	38442	37916	44494	25554	36268	27920
WUAT02008031.1	Potri.005G140200.3	4102	4040	4044	3490	3562	1452	2256	1432
WUAT02008033.1	Potri.013G136466.1	1788	1284	3266	2558	1554	554	368	296
WUAT02008043.1	Potri.017G129100.14	11802	12366	9960	10450	16454	25354	22452	21192
WUAT02008044.1	Potri.014G097800.4	9180	7808	7504	6734	7374	5428	8422	7042
WUAT02008047.1	Potri.015G084800.1	15036	17790	14136	12198	11402	14320	19760	15048
WUAT02008053.1	Potri.013G145400.3	10378	11434	9422	8784	8224	12560	9080	8044
WUAT02008056.1	Potri.008G055500.7	43586	32266	44220	33484	25454	18294	25982	19674
WUAT02008057.1	Potri.012G058400.2	36	8	38	52	14	490	18	1362
WUAT02008067.1	Potri.012G031250.1	0	0	0	2	0	4	0	0
WUAT02008070.1	Potri.015G098900.5	8082	5682	7392	6458	5192	4490	6082	5264
WUAT02008071.1	Potri.011G032900.4	5662	2434	3370	4332	2732	3060	5950	3832
WUAT02008074.1	Potri.013G113000.1	51960	45672	80088	67524	67080	168326	51176	41704
WUAT02008075.1	Potri.004G016900.1	14062	8812	9806	9344	19422	16994	18292	18396
WUAT02008078.1	Potri.012G135200.2	20	40	32	14	20	12	10	48
WUAT02008079.1	Potri.013G138000.1	46918	40884	40114	39340	34222	34566	50158	38348
WUAT02008080.1	Potri.002G255800.4	20988	21290	19234	20288	25052	17010	28464	23538
WUAT02008083.1	Potri.010G077100.1	4824	3734	4380	5126	3442	2560	3178	3522
WUAT02008084.1	Potri.010G202100.1	2186	1726	3244	1736	970	2012	2782	1588
WUAT02008087.1	Potri.006G136600.1	10192	7564	8004	9120	8480	4550	5344	4954
WUAT02008089.1	Potri.013G133550.2	54	56	52	64	58	54	78	58
WUAT02008092.1	Potri.013G143400.2	13702	12200	14462	11288	15342	13824	19822	16872
WUAT02008093.1	Potri.001G285600.4	110646	82350	102508	96072	78980	81310	97872	90380
WUAT02008095.1	Potri.003G048150.1	0	0	4	0	4	0	0	0
WUAT02008098.1	Potri.010G052500.1	408	224	228	230	234	196	416	382
WUAT02008101.1	Potri.011G045500.1	9190	8380	11774	9344	8780	8382	10402	7978
