Gene_ID	subject_id	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
WUAT02003358.1	Potri.006G218400.1	2980	3134	3286	2406	2660	14520	3836	3392
WUAT02003360.1	Potri.002G191600.1	13582	8642	11342	7118	20662	5392	9464	12302
WUAT02003367.1	Potri.013G162200.1	16600	15572	14168	12618	11542	14940	16478	17050
WUAT02003371.1	Potri.008G224210.1	30714	18180	26950	19526	25122	24786	26296	31816
WUAT02003372.1	Potri.008G049500.1	11528	7980	11716	11456	10118	10648	13248	9182
WUAT02003376.1	Potri.003G048150.1	4968	4344	5756	3930	4366	3368	4100	5952
WUAT02003377.1	Potri.015G093400.1	61824	88454	63314	57896	49716	63316	30428	26162
WUAT02003380.1	Potri.016G094100.3	52	132	134	68	222	52	210	124
WUAT02003381.1	Potri.010G090100.2	19908	14484	17270	15300	15694	19808	20422	21266
WUAT02003383.1	Potri.008G180000.1	28080	24608	28830	25946	26046	34946	28266	26924
WUAT02003384.1	Potri.010G070400.2	30148	23214	28330	31052	26556	32716	28150	30132
WUAT02003385.1	Potri.004G165800.1	40024	45732	32142	31944	26504	35420	48812	41044
WUAT02003392.1	Potri.011G107900.5	37436	26726	31116	28756	31056	18560	29484	37086
WUAT02003394.1	Potri.018G139900.3	1898	2188	3348	3138	2664	5316	3238	3794
WUAT02003398.1	Potri.008G217300.6	63840	52232	54220	65360	68816	65830	64392	70248
WUAT02003399.1	Potri.014G185804.1	2608	2834	3226	2820	2392	1764	2816	3592
WUAT02003400.1	Potri.002G072500.2	746	688	1062	1010	970	1100	1386	1224
WUAT02003401.1	Potri.003G086400.5	192	432	316	234	324	504	276	202
WUAT02003403.1	Potri.017G041500.1	11304	6800	7474	7132	5964	6476	11096	10250
WUAT02003404.1	Potri.010G028300.2	19484	17644	18250	18362	14900	19274	20976	20264
WUAT02003406.1	Potri.013G143400.2	378	192	672	330	456	348	400	224
WUAT02003407.1	Potri.013G109100.1	16594	16256	18504	14396	13374	18094	19514	20336
WUAT02003408.1	Potri.013G162600.1	608	160	156	802	184	1132	118	586
WUAT02003410.1	Potri.003G038500.5	24092	18714	22378	28466	25406	126854	23276	32878
WUAT02003412.1	Potri.002G128700.11	32400	28496	32312	24462	24350	33120	35190	35816
WUAT02003416.1	Potri.005G215400.1	22766	13726	19850	18422	38970	15252	18412	22822
WUAT02003421.1	Potri.010G226500.1	21266	17842	34410	16322	33058	29014	27268	29994
WUAT02003423.1	Potri.018G001700.3	75102	73792	71036	64768	69040	84522	83008	79450
WUAT02003425.1	Potri.001G002000.8	164252	314256	189306	160640	102024	370006	248070	187878
WUAT02003426.1	Potri.001G275000.1	5590	4222	5292	4446	3736	6888	5558	6302
WUAT02003427.1	Potri.016G042400.1	1368	5636	3318	1706	1730	84878	6286	6856
WUAT02003429.1	Potri.006G113600.1	11940	8956	11616	10032	10010	6148	9500	12012
WUAT02003430.1	Potri.005G225700.1	6560	4790	4642	5684	4906	6790	6912	7004
WUAT02003434.1	Potri.010G052500.1	42	248	106	36	50	102	120	124
WUAT02003435.1	Potri.014G122200.1	28412	14904	22462	27570	43390	1154	8276	21462
WUAT02003446.1	Potri.005G093000.5	86	134	66	60	74	58	20	22
WUAT02003459.1	Potri.010G129800.6	2	46	42	50	42	12	60	4
WUAT02003461.1	Potri.014G154500.1	7264	5920	6824	5778	6034	7364	9314	7946
WUAT02003462.1	Potri.013G143400.2	22	76	70	124	28	8	86	30
WUAT02003466.1	Potri.017G146600.2	18924	22248	20962	18548	18958	22580	23176	23806
WUAT02003470.1	Potri.001G378500.1	5814	3600	3918	3868	6372	2276	3974	3946
WUAT02003471.1	Potri.001G138900.3	24604	25728	26876	24096	25524	40198	38150	29474
WUAT02003475.1	Potri.001G368300.2	29142	25946	27284	22520	34412	20426	28074	32762
WUAT02003478.1	Potri.003G184000.1	128	44	40	106	382	290	108	116
WUAT02003484.1	Potri.006G100100.1	8378	7986	8110	9584	8012	13760	9786	7734
WUAT02003485.1	Potri.010G213700.5	5910	6472	6844	5632	7278	13112	8974	6560
WUAT02003488.1	Potri.016G091200.2	260	202	190	94	316	254	436	488
WUAT02003493.1	Potri.006G223600.3	120610	88372	101284	95136	100528	193808	154246	134624
WUAT02003497.1	Potri.003G008700.1	980	654	1806	632	1634	978	2312	1408
WUAT02003502.1	Potri.013G143400.2	44910	33186	35846	35370	56306	52776	41130	47314
WUAT02003503.1	Potri.002G197600.1	5464	4030	4662	4130	4576	3362	5176	5924
WUAT02003506.1	Potri.016G037400.1	58	104	50	50	196	140	102	64
WUAT02003507.1	Potri.001G144400.1	114488	71202	81672	163798	36316	19284	27732	55244
WUAT02003511.1	Potri.016G110900.1	2370	1700	1828	1150	1510	4674	2106	2578
WUAT02003515.1	Potri.001G061500.1	48610	46890	51478	32702	60078	60762	67068	59868
WUAT02003520.1	Potri.013G139080.1	6138	5560	5388	5816	4602	7876	6288	6006
WUAT02003522.1	Potri.017G063800.1	27420	26608	28562	24828	25444	28480	27824	28512
WUAT02003528.1	Potri.012G134700.1	2372	1554	2088	1486	2686	2704	3016	1564
WUAT02003529.1	Potri.003G208400.2	32190	26526	30058	35876	30724	35154	53844	40082
WUAT02003533.1	Potri.016G025000.2	10878	8616	7690	5384	5066	14916	7324	7840
WUAT02003538.1	Potri.009G040600.1	121504	52344	92554	64214	93642	98826	102030	104802
WUAT02003541.1	Potri.010G046800.4	11514	7682	9430	11340	5358	27798	9626	11130
WUAT02003543.1	Potri.009G084500.3	5448	4018	5598	5622	4906	7932	6258	5018
WUAT02003544.1	Potri.001G338400.2	58750	39756	44684	48542	44420	42248	53240	61266
WUAT02003547.1	Potri.016G023360.2	2384	4264	3122	1008	2668	3656	2954	2634
WUAT02003551.1	Potri.013G142232.6	62	96	48	302	106	118	90	96
WUAT02003556.1	Potri.019G119851.1	12622	8336	11056	11606	10966	13838	12278	11424
WUAT02003560.1	Potri.019G054500.6	8290	6794	7264	6850	21254	9288	9290	8598
WUAT02003561.1	Potri.001G104000.16	136024	124738	125064	146288	116538	97818	111808	136966
WUAT02003562.1	Potri.018G095900.1	280	282	160	146	332	436	202	278
WUAT02003563.1	Potri.018G034700.1	130	82	56	222	18	336	500	436
WUAT02003565.1	Potri.008G168100.3	23804	19028	24346	20026	33544	34170	30620	25836
WUAT02003569.1	Potri.003G210600.3	2648	1434	886	1168	1200	1508	1330	1374
WUAT02003570.1	Potri.017G134200.2	3842	5276	7428	5688	3902	7438	6264	4784
WUAT02003574.1	Potri.001G189500.6	10566	7044	9634	10432	8624	12424	7674	11580
WUAT02003577.1	Potri.012G031250.1	8	8	8	4	10	12	0	6
WUAT02003578.1	Potri.008G030600.1	27132	21204	24356	25204	40520	15908	20480	27990
WUAT02003579.1	Potri.001G217700.1	41968	33648	32540	31028	34180	72556	57564	45718
WUAT02003583.1	Potri.001G325700.3	49774	31138	46906	43116	48518	91550	41176	52778
WUAT02003587.1	Potri.006G147000.1	6870	7684	7230	6870	8736	15266	11704	8486
WUAT02003593.1	Potri.012G078200.1	18544	14932	18346	16552	17902	12888	17146	16332
WUAT02003595.1	Potri.001G312800.9	2	46	18	2	4	8	0	8
WUAT02003596.1	Potri.006G043650.1	13648	10924	17260	14556	12186	8222	16298	19468
WUAT02003597.1	Potri.005G247700.1	25712	21494	36464	24204	42740	7904	26646	39928
WUAT02003599.1	Potri.004G186400.1	4	8	8	4	2	26	48	6
WUAT02003601.1	Potri.013G133550.2	45940	39120	51240	31572	35890	26638	60206	45168
WUAT02003605.1	Potri.001G441040.1	11296	9144	11066	13488	9736	6050	8942	9276
WUAT02003606.1	Potri.001G199200.1	11884	17090	18112	5162	19354	43594	42798	15504
WUAT02003609.1	Potri.014G191100.2	10278	7812	9440	8160	9200	5260	8120	9854
WUAT02003610.1	Potri.001G311000.1	7280	6994	6076	4980	6484	9924	5756	5770
WUAT02003613.1	Potri.001G452400.1	1346	1324	1566	490	2732	2720	3398	2670
WUAT02003614.1	Potri.001G312800.7	3298	1768	2702	1278	2672	4324	5310	4760
WUAT02003615.1	Potri.013G129100.4	17898	11128	15404	14332	13854	19766	17978	13666
WUAT02003616.1	Potri.010G189700.2	5194	5244	5398	4538	4368	6804	6220	6114
WUAT02003619.1	Potri.017G126300.1	20488	18574	18256	16712	15268	15814	18804	20966
WUAT02003628.1	Potri.009G144800.1	45526	32588	36302	36648	35164	45730	38982	40942
WUAT02003637.1	Potri.007G062582.1	4800	3902	4510	3782	4564	7518	6344	4900
WUAT02003642.1	Potri.013G082200.3	37758	34178	40130	30798	46676	28868	36886	39060
WUAT02003646.1	Potri.014G114700.1	1824	1938	3334	1748	2968	6614	2488	2004
WUAT02003648.1	Potri.012G137300.1	84	82	52	64	16	16	22	128
WUAT02003652.1	Potri.012G023300.1	7656	6328	8344	6168	11298	10924	9834	9048
WUAT02003659.1	Potri.010G110400.3	26072	25908	24864	18264	23876	26676	37436	27778
WUAT02003664.1	Potri.013G141700.2	28972	31242	33172	69800	25614	91404	47096	46176
WUAT02003665.1	Potri.001G196800.1	31570	21218	27082	25698	26598	29874	31758	32922
WUAT02003668.1	Potri.005G097400.11	568	566	420	346	584	286	264	230
WUAT02003670.1	Potri.013G143400.2	360	358	420	334	352	372	284	272
WUAT02003677.1	Potri.006G229400.6	16220	15974	16514	17966	16398	26082	21436	18968
WUAT02003682.1	Potri.019G040100.15	2378	3194	2744	2530	3316	4778	4726	3612
WUAT02003683.1	Potri.003G088600.1	1818	1936	1950	1784	1942	2602	2356	2554
WUAT02003700.1	Potri.001G088700.1	16594	13636	19026	13158	12918	8258	13930	16142
WUAT02003701.1	Potri.004G125150.1	62	148	40	52	46	58	52	70
WUAT02003704.1	Potri.013G143400.2	930	2458	1032	3278	4740	1648	2720	14124
WUAT02003705.1	Potri.006G099700.1	1672	1208	2142	1386	1722	2722	1212	1912
WUAT02003707.1	Potri.007G061841.1	1390	1228	1148	792	768	758	786	1276
WUAT02003709.1	Potri.006G024000.5	9710	6734	8810	11834	11298	4864	5652	10032
WUAT02003713.1	Potri.014G185948.1	10908	8636	10878	4708	12216	12976	12820	12452
WUAT02003714.1	Potri.003G054900.4	1206	2048	1492	1256	1148	1948	1988	2284
WUAT02003715.1	Potri.010G238300.7	97160	71434	126914	80044	100498	256410	173026	90742
WUAT02003718.1	Potri.010G083400.1	70974	21158	25572	42354	24908	26034	29868	29146
WUAT02003723.1	Potri.005G150800.1	50456	43696	44992	45036	49706	36710	45852	50014
WUAT02003729.1	Potri.011G044400.1	8976	5902	8702	7892	8234	6388	10170	11938
WUAT02003740.1	Potri.001G017300.9	19770	10940	13028	10812	11486	7376	9632	15012
WUAT02003741.1	Potri.008G054700.4	972	566	436	506	828	210	964	744
WUAT02003745.1	Potri.005G190200.5	8230	6460	9094	8646	8140	14398	11178	11952
WUAT02003754.1	Potri.001G390600.1	11820	16264	13764	13232	10830	8236	11444	12494
WUAT02003756.1	Potri.019G045800.4	516	432	572	394	544	264	682	532
WUAT02003757.1	Potri.006G188700.1	92	62	130	98	84	146	142	248
WUAT02003758.1	Potri.006G184800.2	18766	15588	16992	16028	16506	15726	22234	22960
WUAT02003761.1	Potri.002G235400.1	25386	25348	30554	22320	21530	18066	32954	39486
WUAT02003763.1	Potri.013G135600.2	1904	2812	2202	1966	2158	2412	3158	2826
WUAT02003764.1	Potri.013G133550.2	1846	2230	2108	1736	2194	768	1914	2184
WUAT02003767.1	Potri.014G185804.1	4596	3042	3408	3968	3558	2556	4016	3296
WUAT02003768.1	Potri.013G006700.3	142	202	144	156	90	138	112	110
WUAT02003771.1	Potri.004G088100.1	32836	26034	29964	24176	36982	9086	32172	34958
WUAT02003772.1	Potri.018G034700.1	11730	16518	15512	13046	19612	9708	13196	22846
WUAT02003776.1	Potri.013G143400.2	36	54	54	150	16	226	48	20
WUAT02003779.1	Potri.007G076900.3	30764	25566	28292	22942	27054	24852	32264	33136
WUAT02003781.1	Potri.005G249800.4	64066	55204	70442	47572	82922	85512	132344	72312
WUAT02003783.1	Potri.019G000900.1	9764	8772	9204	7312	8498	9798	12130	9454
WUAT02003784.1	Potri.012G042100.3	4512	3142	4954	2996	4022	2724	4894	5274
WUAT02003785.1	Potri.015G134900.2	12322	12906	12372	10326	8566	15920	13770	11010
WUAT02003787.1	Potri.013G133550.2	6920	5416	5108	4240	4062	3912	6024	5242
WUAT02003790.1	Potri.006G163301.1	21378	16300	20646	17658	16460	28898	23790	20722
WUAT02003795.1	Potri.013G142124.1	2922	1652	4160	2188	6006	1096	2188	3398
WUAT02003799.1	Potri.014G185948.1	32202	34398	30664	36956	28968	33948	30486	33496
WUAT02003803.1	Potri.014G114700.1	699434	649132	635060	638238	658554	231442	424324	688836
WUAT02003808.1	Potri.003G162300.1	58232	50236	52004	44542	49684	57892	70178	61900
WUAT02003809.1	Potri.002G141500.1	123392	133666	129940	92928	100752	86362	159776	139808
WUAT02003813.1	Potri.001G109500.1	21548	16560	18034	17668	19230	18458	21386	20834
WUAT02003814.1	Potri.001G349300.9	42	22	42	48	16	22	42	24
WUAT02003817.1	Potri.T005800.1	16948	7806	12280	16558	13610	6352	8890	11652
WUAT02003820.1	Potri.004G203800.2	53810	22054	33832	34442	31610	14854	30250	35316
WUAT02003822.1	Potri.014G072800.3	5084	4150	4074	4034	4992	6930	4938	4906
WUAT02003826.1	Potri.011G091200.17	39668	25698	27620	28094	28262	33218	35840	32652
WUAT02003831.1	Potri.011G071300.1	4664	7552	6978	4780	4462	3452	5550	7110
WUAT02003832.1	Potri.010G056900.6	31390	29244	31362	32148	30004	59334	41280	34310
WUAT02003835.1	Potri.013G143400.2	260	314	264	98	194	206	154	338
WUAT02003838.1	Potri.009G092700.1	10844	6758	9268	7396	7820	2504	9862	11808
WUAT02003839.1	Potri.001G323100.1	64832	53838	62950	60230	51166	93864	74608	65156
WUAT02003840.1	Potri.001G312800.7	10256	7272	9564	7572	15756	7838	11252	13674
WUAT02003844.1	Potri.013G138000.1	5424	4198	5606	4902	6912	11370	6140	6024
WUAT02003845.1	Potri.006G068700.1	1298	2150	2796	980	5636	1618	140	9458
WUAT02003848.1	Potri.005G173400.1	6310	5532	6648	7826	5274	2922	5472	7830
WUAT02003858.1	Potri.017G009500.1	8496	5626	8330	5488	8408	3898	7096	7650
WUAT02003859.1	Potri.001G415300.9	11776	11558	12556	13342	7988	1788	5754	9720
WUAT02003860.1	Potri.001G014000.4	1840	918	1602	1404	1262	626	1538	1338
WUAT02003862.1	Potri.014G185804.1	70484	91338	83742	73572	82904	51498	104848	77206
WUAT02003863.1	Potri.013G142760.3	27494	31916	34938	27044	40558	39102	37586	39810
WUAT02003867.1	Potri.013G143400.2	172764	57210	103878	105652	110348	16670	74454	110672
WUAT02003871.1	Potri.011G090200.5	63904	37406	74022	43572	79832	48088	57320	65844
WUAT02003873.1	Potri.001G406700.2	4284	2340	4290	3704	4546	4574	4858	4190
WUAT02003878.1	Potri.002G242600.1	18108	18462	19038	12320	14888	10292	30042	20878
WUAT02003883.1	Potri.009G117500.2	7410	3092	6096	4392	5228	11226	10864	5050
WUAT02003885.1	Potri.004G101250.3	168	138	120	102	108	204	222	118
WUAT02003889.1	Potri.006G084600.1	90064	46422	56374	63816	62816	21318	50370	53938
WUAT02003891.1	Potri.004G058700.2	674	486	632	664	568	810	606	712
WUAT02003894.1	Potri.017G124200.1	77950	29084	39762	45040	75540	10348	121010	73618
WUAT02003898.1	Potri.012G031250.1	15698	13910	15338	10948	16232	66758	37654	26992
WUAT02003899.1	Potri.012G090100.2	34	134	168	92	168	72	110	176
WUAT02003902.1	Potri.012G031250.1	14622	14912	15570	15606	21920	19984	18398	17968
WUAT02003903.1	Potri.003G120000.1	99374	50928	68036	74788	81288	26634	42780	76414
WUAT02003907.1	Potri.001G026300.1	7908	4998	6158	4812	5506	4388	4866	6666
WUAT02003912.1	Potri.007G070501.2	28846	16122	24538	19702	32632	16296	20924	23672
WUAT02003916.1	Potri.005G179300.2	16190	15454	18294	10828	14038	21610	23028	15884
WUAT02003920.1	Potri.009G092400.1	33048	26782	29738	26764	28708	32932	32450	32312
WUAT02003925.1	Potri.019G070900.3	1354	728	1238	1180	986	1416	1774	1676
WUAT02003926.1	Potri.003G148800.1	8744	9856	8704	8972	7724	18666	13380	9758
WUAT02003928.1	Potri.013G162600.1	86	78	44	60	28	90	72	126
WUAT02003929.1	Potri.013G141700.4	632	246	436	454	444	1094	718	714
WUAT02003932.1	Potri.005G099900.1	10	10	0	0	4	18	2	10
WUAT02003934.1	Potri.006G138500.11	112018	91918	94600	84732	96428	101162	97908	99562
WUAT02003938.1	Potri.013G163300.1	160	1016	20	112	24	30	36	160
WUAT02003939.1	Potri.002G057000.3	6784	3990	4808	4350	6804	1200	2608	5306
WUAT02003940.1	Potri.008G191051.1	33214	27650	31046	29074	29688	38464	31518	33758
WUAT02003943.1	Potri.010G052500.1	4756	2984	2370	4174	2442	6608	3112	4290
WUAT02003944.1	Potri.007G090150.1	3470	2976	4080	2822	3388	3050	4072	3396
WUAT02003946.1	Potri.007G123300.1	12762	8972	9954	16314	9772	3210	4390	8980
WUAT02003948.1	Potri.008G117300.2	5316	5464	5422	4148	5006	8476	8356	7898
WUAT02003949.1	Potri.003G052100.2	294	254	234	292	344	810	364	344
WUAT02003952.1	Potri.005G227900.1	5704	6760	5126	6134	7274	8138	6238	11428
WUAT02003956.1	Potri.016G120200.2	6204	3208	4454	3424	5912	3982	3462	5510
WUAT02003959.1	Potri.013G138000.1	4	4	0	0	0	2	0	0
WUAT02003961.1	Potri.013G141912.1	18606	18348	19360	20510	18692	9572	16302	33666
WUAT02003962.1	Potri.008G193700.2	1112	986	988	894	976	1320	1420	1054
WUAT02003965.1	Potri.005G023500.1	30476	32376	34288	25038	29566	20342	45578	39294
WUAT02003966.1	Potri.006G227400.1	5506	5904	4632	2364	6100	8502	5460	6678
WUAT02003967.1	Potri.004G226600.3	4952	1786	2722	1144	3024	1234	5246	2840
WUAT02003971.1	Potri.007G066300.1	1540	2184	1844	1362	1340	4194	4084	2046
WUAT02003974.1	Potri.001G125200.1	26876	27470	29038	23004	24582	37778	36976	31542
WUAT02003976.1	Potri.013G071800.5	14376	14638	14486	13284	14182	20132	18056	15934
WUAT02003977.1	Potri.013G104200.8	3684	2220	3116	2764	2860	2308	4152	3044
WUAT02003978.1	Potri.010G081400.2	86	110	148	60	392	194	132	34
WUAT02003979.1	Potri.006G164050.1	32554	33882	36176	30670	34664	41090	40770	34602
WUAT02003980.1	Potri.016G049100.8	37670	32638	35780	33402	32726	28586	30788	36788
WUAT02003992.1	Potri.015G077100.1	3012	2442	2888	1384	3362	5782	7528	4964
WUAT02003993.1	Potri.013G142232.6	4458	2236	3792	3406	3140	3586	3870	3190
WUAT02004003.1	Potri.010G052500.1	8	20	4	0	16	0	0	8
WUAT02004004.1	Potri.017G110300.5	44	244	2	130	18	12	32	22
WUAT02004006.1	Potri.006G152500.1	10656	11606	13590	8596	9754	13494	21230	16212
WUAT02004007.1	Potri.004G165800.1	342	1348	70	1086	54	1342	36	74
WUAT02004008.1	Potri.007G062582.1	208	168	224	118	184	156	148	172
WUAT02004010.1	Potri.007G096900.1	15258	10948	13168	13874	17272	17524	15854	15424
WUAT02004012.1	Potri.007G065800.2	11424	7622	10228	8550	11574	8174	9048	11450
WUAT02004018.1	Potri.003G048150.1	170	82	92	148	98	36	50	50
WUAT02004019.1	Potri.011G024000.3	11428	12682	13786	10888	14872	13692	15340	15538
WUAT02004024.1	Potri.005G076300.3	58950	52866	58368	50966	78226	59106	91036	68472
WUAT02004039.1	Potri.004G129000.2	15738	11424	12942	13158	16402	10916	14436	17816
WUAT02004042.1	Potri.013G142232.5	5336	4306	5840	5386	3840	3930	4756	4290
WUAT02004046.1	Potri.001G414600.1	8858	2124	3444	3712	1692	478	4794	8440
WUAT02004048.1	Potri.002G090000.7	4698	5118	4790	4222	4066	4432	6176	5592
WUAT02004050.1	Potri.010G094300.1	2344	4402	3928	1884	2658	1008	1966	3492
WUAT02004051.1	Potri.014G074200.11	30588	31216	34490	24120	27462	44034	43408	38318
WUAT02004060.1	Potri.013G143400.2	158730	85764	134558	107554	102378	79592	113464	156344
WUAT02004065.1	Potri.005G041101.3	128290	183228	175574	167890	172328	119014	160200	215294
WUAT02004069.1	Potri.001G312800.7	35094	29136	36926	26438	30960	23356	44254	37418
WUAT02004070.1	Potri.013G163200.1	6384	6646	6834	5528	6790	9870	8094	7166
WUAT02004074.1	Potri.006G228000.3	576920	285762	446616	318956	509856	117090	381962	460762
WUAT02004079.1	Potri.015G051466.1	9016	6792	8360	7878	12674	10548	8618	8742
WUAT02004081.1	Potri.008G080900.3	6354	5992	5466	4666	5582	7030	6740	6838
WUAT02004087.1	Potri.001G312800.9	694	402	350	426	976	664	782	232
WUAT02004088.1	Potri.006G277100.1	5092	4360	5800	5690	3184	5958	6110	4618
WUAT02004089.1	Potri.016G055600.6	4	26	0	8	14	4	2	6
WUAT02004091.1	Potri.010G219500.1	66592	60220	71350	78818	42376	14180	47968	64828
WUAT02004092.1	Potri.001G156200.2	26	62	40	18	32	128	24	228
WUAT02004096.1	Potri.007G099200.1	30914	24224	29186	25928	27112	44056	41704	33946
WUAT02004101.1	Potri.012G031250.1	5550	4250	6238	4570	4986	4600	7290	6406
WUAT02004104.1	Potri.011G107400.2	4090	3194	3370	3620	5528	3894	3964	5654
WUAT02004105.1	Potri.013G142232.5	7116	3194	4336	4464	5456	3410	3408	4608
WUAT02004110.1	Potri.001G094600.1	3658	2640	3428	3430	5056	2098	4184	4750
WUAT02004112.1	Potri.006G035400.7	66778	48308	51596	63652	89998	1562	18856	51564
WUAT02004113.1	Potri.009G106900.1	4038	286	2146	1764	2150	2580	2924	398
WUAT02004114.1	Potri.005G036200.1	11594	11554	11880	8858	8702	13200	15016	13750
WUAT02004117.1	Potri.007G062061.1	688	656	1298	618	732	1062	464	780
WUAT02004118.1	Potri.004G176200.1	22498	16556	18096	21072	22204	23192	23334	22048
WUAT02004120.1	Potri.013G142232.6	9954	8356	11372	7544	13366	14318	8116	22108
WUAT02004123.1	Potri.013G032100.1	29724	12560	16050	15872	15666	7770	13482	18944
WUAT02004130.1	Potri.002G175000.7	4	2	2	10	14	8	8	18
WUAT02004132.1	Potri.014G127800.1	32060	25700	21884	42136	18372	28526	26594	35246
WUAT02004136.1	Potri.011G072691.1	10720	5662	7814	6084	11374	14150	9470	6270
WUAT02004137.1	Potri.010G128100.2	38192	32740	39700	23506	107218	81364	88832	62156
WUAT02004138.1	Potri.006G083600.9	139572	88918	107898	108428	117136	89830	118256	126948
WUAT02004141.1	Potri.006G038400.4	25110	23598	23654	22524	26848	28810	30416	29100
WUAT02004144.1	Potri.004G228800.9	41882	42728	42868	45150	44300	63964	55458	55444
WUAT02004146.1	Potri.009G040900.1	33046	24906	35326	28022	27606	17076	32106	35018
WUAT02004147.1	Potri.013G141912.1	42	16	60	18	44	12	28	40
WUAT02004150.1	Potri.001G054400.1	40194	42050	43272	35356	31880	25028	55216	43804
WUAT02004156.1	Potri.001G012200.1	14358	14444	14398	12366	19950	13652	16934	20392
WUAT02004159.1	Potri.001G123800.1	7728	4302	6170	4094	5106	10480	6840	6432
WUAT02004163.1	Potri.010G146800.1	16526	13234	14982	12934	17304	18872	18290	19316
WUAT02004165.1	Potri.011G074100.1	41432	40126	39044	30878	37320	39640	49044	41512
WUAT02004168.1	Potri.002G165500.1	57240	41998	47300	44992	40730	27230	44520	51652
WUAT02004172.1	Potri.001G312800.7	19542	14248	17070	20578	13500	6430	16726	16904
WUAT02004173.1	Potri.001G365800.4	28416	25772	27442	25124	31774	22786	30232	30832
WUAT02004179.1	Potri.003G175366.1	262	160	220	172	616	516	554	364
WUAT02004180.1	Potri.003G108900.1	548	352	706	262	240	690	608	356
WUAT02004181.1	Potri.014G163200.3	59928	32478	46216	42628	42818	17296	28176	51488
WUAT02004183.1	Potri.001G282100.1	390	1336	232	98	338	1006	250	94
WUAT02004186.1	Potri.010G100200.2	5868	5026	5328	4040	5542	7104	5710	6042
WUAT02004188.1	Potri.001G231800.1	3428	2910	4264	3206	2978	3584	2102	2466
WUAT02004191.1	Potri.013G139112.2	150	412	278	654	848	1748	1314	270
WUAT02004192.1	Potri.013G102500.1	52	56	28	32	26	46	66	54
WUAT02004195.1	Potri.012G041100.1	60874	31536	54112	25888	37492	25206	38856	58950
WUAT02004204.1	Potri.018G028900.1	29548	15884	22644	20580	24802	12920	21254	24546
WUAT02004211.1	Potri.013G143400.2	384	512	328	334	310	252	296	296
WUAT02004213.1	Potri.017G146600.2	94936	102178	105046	71826	78548	66224	121312	115490
WUAT02004223.1	Potri.013G143400.2	598	3208	5432	448	54314	58744	91652	1548
WUAT02004226.1	Potri.007G062302.1	92	94	122	90	32	40	96	94
WUAT02004227.1	Potri.001G197500.2	140	2638	70	124	90	96	122	76
WUAT02004231.1	Potri.002G114500.2	10968	13046	8996	12188	9818	12250	9994	18030
WUAT02004233.1	Potri.004G145500.11	38	34	62	26	36	30	44	32
WUAT02004235.1	Potri.014G185804.1	1564	1350	2026	1298	1482	2796	1374	1826
WUAT02004236.1	Potri.006G121300.1	14128	16342	13346	11486	13082	17720	19310	16322
WUAT02004237.1	Potri.013G141700.2	4026	2470	3724	2768	2992	1700	6322	3678
WUAT02004239.1	Potri.006G250400.2	46476	34392	40348	32994	37466	34294	51162	51822
WUAT02004243.1	Potri.003G039475.1	928	1052	1238	1120	974	1288	1240	1022
WUAT02004249.1	Potri.001G043200.2	10030	15710	16858	8468	13130	55344	14952	9476
WUAT02004253.1	Potri.009G012400.2	1584	1396	1356	1210	1666	1550	2170	1798
WUAT02004255.1	Potri.001G193000.5	149850	164502	163842	161902	188668	69166	127696	163134
WUAT02004256.1	Potri.005G087700.4	7920	6266	7796	6366	7138	7894	7646	8584
WUAT02004257.1	Potri.017G029200.6	7442	6862	7264	6400	5352	9038	8952	8082
WUAT02004258.1	Potri.006G130900.1	382112	437554	467552	289440	319474	280110	488940	406340
WUAT02004263.1	Potri.001G443200.6	44738	28206	33802	40176	43840	19722	31794	37126
WUAT02004265.1	Potri.005G119400.1	255158	159482	180588	175188	188480	68770	213962	220500
WUAT02004267.1	Potri.016G068900.3	1212	1086	1176	1086	1222	2124	1098	676
WUAT02004272.1	Potri.004G074000.1	1388	1324	1820	1204	1398	2672	1502	1372
WUAT02004274.1	Potri.010G171600.5	1974	588	764	904	1130	58	588	656
WUAT02004275.1	Potri.013G139112.2	284	74	900	132	388	344	854	498
WUAT02004276.1	Potri.002G103800.1	51498	34304	56476	51602	44030	23440	43872	57410
WUAT02004280.1	Potri.006G163301.1	4572	4262	3260	2152	3834	17456	5126	5232
WUAT02004281.1	Potri.009G096300.1	25248	20242	20616	19972	18942	15570	23092	25098
WUAT02004282.1	Potri.003G197466.1	160	74	128	68	238	152	108	222
WUAT02004285.1	Potri.018G095700.3	8574	7140	7184	6482	6422	8874	7244	8046
WUAT02004289.1	Potri.004G125150.1	74	86	16	62	48	58	48	32
WUAT02004291.1	Potri.004G091000.1	11152	13352	13050	12198	10966	15172	13512	11074
WUAT02004297.1	Potri.001G182300.2	46	16	6	0	2	10	4	102
WUAT02004298.1	Potri.016G042400.1	1136	1060	1264	730	1198	1378	2440	1398
WUAT02004300.1	Potri.010G052500.1	2670	1918	3104	2228	3748	4386	3706	2598
WUAT02004301.1	Potri.012G087400.1	5704	5340	5932	4902	4950	4992	5572	6584
WUAT02004303.1	Potri.013G056200.6	133222	64594	93250	75412	86650	88470	128782	114078
WUAT02004305.1	Potri.009G013400.15	15592	15946	17656	15260	14864	18900	21566	16568
