Gene_ID	subject_id	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
WUAT02004074.1	Potri.006G228000.3	328692	603356	587146	432526	466604	495060	352322	455470
WUAT02004079.1	Potri.015G051466.1	7648	8686	8710	8992	8462	8106	9498	10380
WUAT02004081.1	Potri.008G080900.3	5306	7544	6254	6318	6208	8702	7390	8802
WUAT02004087.1	Potri.001G312800.9	1382	430	492	688	752	544	276	900
WUAT02004088.1	Potri.006G277100.1	4906	6716	8184	7610	2972	4332	5462	5792
WUAT02004089.1	Potri.016G055600.6	0	0	0	4	0	4	0	0
WUAT02004091.1	Potri.010G219500.1	57622	69838	66290	75658	61092	43544	60634	53468
WUAT02004092.1	Potri.001G156200.2	30	38	24	14	40	28	88	150
WUAT02004096.1	Potri.007G099200.1	22364	28592	20152	30542	23878	31390	24426	51642
WUAT02004101.1	Potri.012G031250.1	6666	5934	5066	6238	4592	5328	6720	9388
WUAT02004104.1	Potri.011G107400.2	4880	4770	3508	4174	3668	4776	5474	6116
WUAT02004105.1	Potri.013G142232.5	4408	3492	2686	4904	3286	4232	3676	3570
WUAT02004110.1	Potri.001G094600.1	4142	4704	3196	3838	4566	4652	4056	5226
WUAT02004112.1	Potri.006G035400.7	75600	58154	71772	83866	113004	122876	71736	108624
WUAT02004113.1	Potri.009G106900.1	2700	704	3164	1980	1314	2306	1592	1422
WUAT02004114.1	Potri.005G036200.1	10038	14862	11710	13620	10292	13088	10584	18246
WUAT02004117.1	Potri.007G062061.1	546	572	1204	466	464	390	798	646
WUAT02004118.1	Potri.004G176200.1	21224	22092	18272	22094	20046	25236	24744	28148
WUAT02004120.1	Potri.013G142232.6	9168	6080	15202	10192	5912	10066	8168	16116
WUAT02004123.1	Potri.013G032100.1	24744	25494	12100	15434	29586	22976	27796	17872
WUAT02004130.1	Potri.002G175000.7	20	22	0	4	8	4	4	6
WUAT02004132.1	Potri.014G127800.1	26428	29118	33812	38554	26472	29580	28924	35892
WUAT02004136.1	Potri.011G072691.1	8948	8540	7302	8504	7262	6740	5638	9478
WUAT02004137.1	Potri.010G128100.2	50380	43848	23304	33452	27858	46754	50542	42654
WUAT02004138.1	Potri.006G083600.9	119146	135956	106234	137322	134028	150610	121184	147232
WUAT02004141.1	Potri.006G038400.4	25844	33494	33220	28954	24460	28734	25784	34430
WUAT02004144.1	Potri.004G228800.9	37768	55616	54788	52634	42030	50450	45072	62856
WUAT02004146.1	Potri.009G040900.1	32830	44954	32862	43288	35778	52610	40082	57888
WUAT02004147.1	Potri.013G141912.1	8	28	8	30	16	6	46	52
WUAT02004150.1	Potri.001G054400.1	44610	54880	37434	54970	32632	41998	33904	59256
WUAT02004156.1	Potri.001G012200.1	12542	24058	18660	21838	20490	42358	21506	33444
WUAT02004159.1	Potri.001G123800.1	5728	6032	4218	8960	5224	10090	5596	7976
WUAT02004163.1	Potri.010G146800.1	14102	19026	14512	17400	15454	20292	17984	20632
WUAT02004165.1	Potri.011G074100.1	37904	49520	48850	52024	38526	64578	44646	73858
WUAT02004168.1	Potri.002G165500.1	52840	52304	40312	51230	47568	60888	51804	47844
WUAT02004172.1	Potri.001G312800.7	18270	17916	20108	21468	18024	15470	19322	14660
WUAT02004173.1	Potri.001G365800.4	28468	27642	29562	29892	24072	32458	29650	30270
WUAT02004179.1	Potri.003G175366.1	478	366	126	584	446	176	92	262
WUAT02004180.1	Potri.003G108900.1	476	574	612	534	448	716	1402	672
WUAT02004181.1	Potri.014G163200.3	62100	52736	37470	75840	62168	78622	60280	47808
WUAT02004183.1	Potri.001G282100.1	350	716	612	482	680	184	232	266
WUAT02004186.1	Potri.010G100200.2	3832	6802	3442	5184	4874	5106	4076	4296
WUAT02004188.1	Potri.001G231800.1	4528	3988	3832	3842	4480	2170	2166	2362
WUAT02004191.1	Potri.013G139112.2	1456	302	1072	1642	262	1390	1156	2960
WUAT02004192.1	Potri.013G102500.1	76	52	56	46	12	46	64	22
WUAT02004195.1	Potri.012G041100.1	47498	48496	27364	43786	39432	78326	61902	50096
WUAT02004204.1	Potri.018G028900.1	22244	31814	25044	27286	34244	37326	28134	32254
WUAT02004211.1	Potri.013G143400.2	232	378	246	350	220	448	234	568
WUAT02004213.1	Potri.017G146600.2	94854	125582	83264	118754	81204	112214	111962	159446
WUAT02004223.1	Potri.013G143400.2	434	1980	1668	244	250	154	4050	3078
WUAT02004226.1	Potri.007G062302.1	146	120	78	150	76	54	56	150
WUAT02004227.1	Potri.001G197500.2	38	256	50	118	144	150	254	94
WUAT02004231.1	Potri.002G114500.2	8378	10368	12856	10800	18450	12378	11344	13232
WUAT02004233.1	Potri.004G145500.11	88	26	54	54	72	64	12	6
WUAT02004235.1	Potri.014G185804.1	1458	1400	512	1394	768	706	806	2040
WUAT02004236.1	Potri.006G121300.1	14282	16826	18200	17596	12756	16460	16770	27086
WUAT02004237.1	Potri.013G141700.2	3980	3110	1134	2890	2496	1362	1334	3056
WUAT02004239.1	Potri.006G250400.2	40384	48684	35782	47178	39262	52630	52278	58688
WUAT02004243.1	Potri.003G039475.1	1072	918	1012	1160	954	1268	1122	1132
WUAT02004249.1	Potri.001G043200.2	6636	11364	10986	11552	5720	6918	6464	21996
WUAT02004253.1	Potri.009G012400.2	1776	1784	1534	1724	1472	1506	1646	2018
WUAT02004255.1	Potri.001G193000.5	162590	161768	222214	183328	141286	216338	149598	189586
WUAT02004256.1	Potri.005G087700.4	7468	8782	7328	8320	7664	8190	6124	9438
WUAT02004257.1	Potri.017G029200.6	7056	7976	9568	8418	6186	7696	8834	9944
WUAT02004258.1	Potri.006G130900.1	401628	505036	532776	513204	294490	506824	402842	671814
WUAT02004263.1	Potri.001G443200.6	41596	42740	38280	45574	42666	72606	46214	55280
WUAT02004265.1	Potri.005G119400.1	180690	199706	184686	188558	193984	285966	267164	278632
WUAT02004267.1	Potri.016G068900.3	1588	1430	874	1326	1002	1318	1454	964
WUAT02004272.1	Potri.004G074000.1	1376	1466	1786	1338	1868	1742	1102	1922
WUAT02004274.1	Potri.010G171600.5	1460	1334	938	1384	2174	2640	2004	1486
WUAT02004275.1	Potri.013G139112.2	136	66	508	226	274	246	34	92
WUAT02004276.1	Potri.002G103800.1	57064	61846	27984	95852	50036	87890	38398	77310
WUAT02004280.1	Potri.006G163301.1	3144	2618	7920	6456	4834	2358	3292	8266
WUAT02004281.1	Potri.009G096300.1	23496	25110	23938	26102	22400	29180	24146	29622
WUAT02004282.1	Potri.003G197466.1	212	178	70	70	96	144	34	108
WUAT02004285.1	Potri.018G095700.3	6160	7278	5834	9006	6780	9746	7144	12080
WUAT02004289.1	Potri.004G125150.1	20	24	26	28	34	28	20	48
WUAT02004291.1	Potri.004G091000.1	10778	15200	13610	11818	9476	11648	10074	12380
WUAT02004297.1	Potri.001G182300.2	28	4	70	0	72	2	0	82
WUAT02004298.1	Potri.016G042400.1	1132	1194	722	1134	2430	1748	1616	3862
WUAT02004300.1	Potri.010G052500.1	2572	3160	2188	2386	2624	4232	2232	4424
WUAT02004301.1	Potri.012G087400.1	4936	6944	7296	6450	6966	7734	4238	8290
WUAT02004303.1	Potri.013G056200.6	99570	106164	60686	110026	94766	117084	103786	144738
WUAT02004305.1	Potri.009G013400.15	13896	20752	19056	15362	16342	18988	19384	20400
WUAT02004307.1	Potri.002G021800.1	91638	125460	152406	174130	143930	182116	120270	204686
WUAT02004308.1	Potri.002G007800.5	56352	35416	38492	45112	47858	44002	37266	38030
WUAT02004309.1	Potri.001G308600.1	12526	14292	6598	8406	7388	6934	9654	10770
WUAT02004311.1	Potri.013G133550.2	6	0	0	6	2	4	14	2
WUAT02004312.1	Potri.014G017800.3	10614	11506	8746	9252	10802	7754	9604	13580
WUAT02004317.1	Potri.011G113784.1	106	96	58	112	50	32	70	156
WUAT02004318.1	Potri.001G160600.1	16370	10048	10000	7756	7552	6350	7384	8280
WUAT02004320.1	Potri.004G213400.1	26662	37406	46110	36470	25510	45034	37606	48526
WUAT02004321.1	Potri.008G224111.1	180826	232594	159900	306552	217994	165006	143230	235710
WUAT02004325.1	Potri.005G015400.1	3292	4774	4812	4990	5932	7676	5860	12462
WUAT02004339.1	Potri.018G099400.7	4482	4020	5220	5478	7098	8788	5974	7330
WUAT02004343.1	Potri.019G039700.1	19076	15014	7850	13690	21240	28024	17246	27286
WUAT02004344.1	Potri.009G099032.1	3798	1912	892	1184	1156	1100	2336	1042
WUAT02004346.1	Potri.004G021500.7	2	22	10	18	8	14	14	14
WUAT02004348.1	Potri.001G106951.1	4002	3380	2334	3912	2246	2114	2546	3148
WUAT02004351.1	Potri.009G116700.1	8238	8568	9934	10426	5114	9008	10574	10700
WUAT02004353.1	Potri.012G125300.2	58480	75098	64562	71090	52568	81874	71932	93516
WUAT02004354.1	Potri.013G142760.3	242	420	306	92	322	136	542	576
WUAT02004356.1	Potri.001G253100.4	5390	2980	3672	4074	1962	3872	3946	3892
WUAT02004357.1	Potri.005G226000.8	45572	45216	47554	46268	36026	91102	89820	88784
WUAT02004360.1	Potri.012G058400.2	2588	4684	1862	3578	2204	932	948	2484
WUAT02004361.1	Potri.009G161001.1	7340	14212	9558	12202	8856	10764	13486	18972
WUAT02004366.1	Potri.002G224000.2	5230	6474	5112	5356	4598	6470	7166	10054
WUAT02004369.1	Potri.001G313900.1	438	970	436	510	326	386	358	624
WUAT02004372.1	Potri.013G162800.1	524	690	834	880	892	1264	658	722
WUAT02004374.1	Potri.001G051400.2	4922	5010	4700	5510	4662	6950	5244	8612
WUAT02004375.1	Potri.001G312800.9	6378	3794	4532	5730	3024	4230	4416	5150
WUAT02004377.1	Potri.013G139112.2	188	192	116	260	70	318	340	142
WUAT02004381.1	Potri.008G143700.10	1946	2580	2646	2548	2152	2818	2852	3450
WUAT02004384.1	Potri.013G140260.3	6618	7850	4388	5582	3724	7196	8416	10546
WUAT02004386.1	Potri.001G312800.9	47312	74782	81806	65772	52974	47020	49194	63644
WUAT02004388.1	Potri.001G312800.9	7278	8866	4492	5936	4382	7192	10966	10520
WUAT02004390.1	Potri.012G005000.18	1672	2144	894	2298	1080	1902	884	2844
WUAT02004391.1	Potri.009G123100.1	20328	24888	14028	21400	18008	14828	16786	36540
WUAT02004393.1	Potri.017G036400.1	39980	53554	40496	44742	36656	48574	56578	57106
WUAT02004398.1	Potri.004G047000.1	6944	9232	7278	9154	4944	13234	12924	6848
WUAT02004399.1	Potri.017G151800.1	13146	13518	11570	12682	11636	10160	12340	10704
WUAT02004402.1	Potri.010G052500.1	31696	45292	29652	35986	29602	58412	57432	59034
WUAT02004411.1	Potri.002G133900.2	6638	8674	9776	8236	6528	7994	8166	8754
WUAT02004415.1	Potri.009G096700.3	2120	1428	2016	2256	2772	3576	1724	1608
WUAT02004416.1	Potri.002G091200.1	140	3884	6170	1066	2146	356	660	4522
WUAT02004420.1	Potri.014G097700.1	13886	15432	13844	15692	9866	11238	8756	18896
WUAT02004421.1	Potri.010G232600.2	5368	6132	6146	6350	5572	6860	6166	9034
WUAT02004423.1	Potri.001G418100.1	2032	1856	1834	2122	2230	1492	520	958
WUAT02004425.1	Potri.006G163301.1	208	362	280	636	84	830	278	446
WUAT02004429.1	Potri.004G094400.1	82430	97828	108952	93792	73574	84906	79574	110756
WUAT02004430.1	Potri.008G168300.2	19124	23032	23444	23830	22942	27976	18174	27518
WUAT02004433.1	Potri.013G058900.3	58	92	76	300	54	880	48	78
WUAT02004434.1	Potri.009G101500.6	7826	10622	6372	8888	6998	9084	7226	9188
WUAT02004436.1	Potri.002G216600.5	27652	29262	22872	26940	25994	36654	34498	37338
WUAT02004438.1	Potri.008G163300.6	97396	120062	113178	112130	86582	120968	109322	149868
WUAT02004447.1	Potri.001G356700.1	478	238	304	202	296	238	234	294
WUAT02004449.1	Potri.001G130800.12	454	324	248	346	516	250	204	472
WUAT02004451.1	Potri.018G096028.3	37794	36194	49332	40384	33628	42752	32148	37592
WUAT02004453.1	Potri.014G136466.1	1408	1164	2854	1382	1196	1122	1180	1308
WUAT02004457.1	Potri.017G139500.1	520	908	274	702	692	462	630	682
WUAT02004460.1	Potri.013G143400.2	3102	6078	3242	6258	6816	10844	4724	19708
WUAT02004464.1	Potri.019G092300.1	10446	14266	6588	15166	15820	17766	8844	10626
WUAT02004465.1	Potri.013G143400.2	1248	1450	1564	1122	1278	1086	1736	1110
WUAT02004466.1	Potri.005G172200.3	8998	9238	10942	10132	7692	9834	10096	13816
WUAT02004469.1	Potri.014G095400.1	12274	14294	14088	13342	10526	11844	13846	16638
WUAT02004471.1	Potri.003G108500.1	14	8	14	8	28	30	22	16
WUAT02004473.1	Potri.001G032400.1	33762	31280	30880	26396	31266	10978	19722	9888
WUAT02004474.1	Potri.008G144700.2	42724	51946	37800	48752	41614	53252	42986	62128
WUAT02004479.1	Potri.013G012100.1	3752	4228	5458	3888	3496	2994	2834	3718
WUAT02004483.1	Potri.002G209602.1	135382	130196	178522	166784	144536	223632	140134	147760
WUAT02004485.1	Potri.005G119400.1	10	16	16	30	26	32	54	32
WUAT02004487.1	Potri.018G093600.2	11866	16210	9780	7192	8892	6094	6342	12084
WUAT02004490.1	Potri.002G076100.2	10960	11936	9404	13032	14998	14448	9926	14550
WUAT02004492.1	Potri.015G095900.1	30238	58144	40998	37266	33810	38524	36126	55890
WUAT02004493.1	Potri.013G142232.6	6038	5576	4742	6138	6090	6994	7624	8376
WUAT02004501.1	Potri.003G043700.5	60756	83806	82686	88770	46682	73628	60724	107538
WUAT02004503.1	Potri.016G055600.6	1648	384	864	1192	860	1912	680	1316
WUAT02004506.1	Potri.005G134400.1	42690	49078	55432	52560	49664	51638	47768	63970
WUAT02004507.1	Potri.010G126600.1	8284	15292	9952	7302	8816	11444	8286	15034
WUAT02004510.1	Potri.010G137900.1	9978	9470	7864	11314	9728	13414	10410	10752
WUAT02004513.1	Potri.016G056200.5	28738	33304	31354	34350	30680	40258	28580	41268
WUAT02004514.1	Potri.011G084251.1	6432	7010	4238	6734	5668	6028	4772	7318
WUAT02004516.1	Potri.013G133550.2	236	6	126	74	34	204	4	34
WUAT02004519.1	Potri.016G043900.1	3016	3264	3012	2450	2404	3126	3514	4152
WUAT02004520.1	Potri.011G164700.3	52136	70342	80270	69470	57952	71394	66036	76748
WUAT02004523.1	Potri.013G142232.6	3994	6424	4250	4716	3948	4052	4246	4206
WUAT02004526.1	Potri.001G175700.1	1350	2174	1636	1914	932	1378	2012	2926
WUAT02004528.1	Potri.002G188200.2	56910	64000	59954	68978	63868	96792	75138	90484
WUAT02004533.1	Potri.013G131300.3	16234	21326	16780	17856	14496	16654	12242	22018
WUAT02004536.1	Potri.014G185948.1	1566	1742	612	762	1870	1700	916	516
WUAT02004537.1	Potri.007G062582.1	20592	25180	17128	23802	21436	23790	22918	26182
WUAT02004541.1	Potri.015G013400.2	16384	20212	17552	19714	15296	23876	20566	18964
WUAT02004542.1	Potri.013G139112.2	13318	13022	14032	16104	10434	17694	12486	20032
WUAT02004546.1	Potri.006G193500.1	66096	56556	52550	63368	50318	59950	55414	80412
WUAT02004551.1	Potri.003G138200.3	252	1246	246	704	360	880	980	970
WUAT02004552.1	Potri.006G082900.3	11634	16188	10634	12032	9284	11122	11390	19444
WUAT02004554.1	Potri.014G075300.1	12152	18598	14290	16220	14432	23590	13952	26960
WUAT02004555.1	Potri.013G143400.2	11744	13856	10628	13086	7000	8258	11756	17898
WUAT02004559.1	Potri.013G143400.2	2316	2418	698	1846	2428	2072	626	1040
WUAT02004562.1	Potri.011G094500.2	7914	12184	13560	11344	5792	8358	7328	13070
WUAT02004565.1	Potri.005G079200.1	244	208	206	126	18	282	210	56
WUAT02004567.1	Potri.008G224210.1	26	6	8	4	0	0	18	4
WUAT02004569.1	Potri.019G125600.1	17034	18182	15204	18150	14604	20638	15212	22752
WUAT02004580.1	Potri.009G020900.1	1288	3158	2050	2602	1306	2052	1760	2538
WUAT02004586.1	Potri.014G096700.1	35210	33086	38076	34226	36146	40840	28542	45290
WUAT02004587.1	Potri.015G058301.3	22102	27566	27260	25800	17360	26242	20942	35754
WUAT02004589.1	Potri.002G127700.1	11498	10306	7000	12264	11596	13294	10152	12230
WUAT02004590.1	Potri.010G028700.1	320	74	392	362	132	214	88	88
WUAT02004591.1	Potri.006G275000.1	118542	126298	93568	88788	72710	48062	67552	79182
WUAT02004592.1	Potri.014G145000.7	118	362	396	422	54	1022	70	108
WUAT02004601.1	Potri.014G080800.1	13666	15474	13260	16108	11172	17190	12376	21134
WUAT02004605.1	Potri.010G071000.1	95528	113232	95952	117030	84430	106582	88258	156354
WUAT02004609.1	Potri.012G031250.1	5076	16338	6230	7284	9328	15116	7774	25206
WUAT02004610.1	Potri.012G105900.4	6204	9546	10096	9058	6760	11354	7790	13110
WUAT02004613.1	Potri.004G189700.2	47410	55472	52424	53764	40808	53470	45376	57052
WUAT02004618.1	Potri.014G185948.1	4744	6364	7536	6272	4436	7026	6886	10476
WUAT02004622.1	Potri.001G312800.7	21344	17916	18562	17224	19122	17062	20356	27942
WUAT02004625.1	Potri.011G037000.5	1016	1212	870	376	836	390	226	1008
WUAT02004626.1	Potri.009G050700.6	11928	14904	18058	14244	11794	21908	19028	20858
WUAT02004628.1	Potri.003G058300.1	9490	13910	12484	14080	8400	13484	11890	20988
WUAT02004634.1	Potri.009G153600.2	804	824	392	1008	922	1102	674	1024
WUAT02004640.1	Potri.001G014401.1	8122	5766	13844	8272	11832	22482	13084	20874
WUAT02004641.1	Potri.001G016200.1	3678	4444	2440	4794	6136	4868	3996	6190
WUAT02004644.1	Potri.006G204900.2	18656	21274	32774	22604	18718	29264	27046	31260
WUAT02004645.1	Potri.007G061901.1	22554	30142	21950	27274	29658	20480	20808	29874
WUAT02004647.1	Potri.002G114200.1	64	0	38	56	0	2	50	0
WUAT02004649.1	Potri.001G312800.9	382	1278	338	292	460	184	462	1188
WUAT02004651.1	Potri.011G152900.1	22842	25820	21594	27092	21426	40914	28582	36734
WUAT02004653.1	Potri.001G324200.1	1666	2480	1532	2474	2156	1624	956	3022
WUAT02004654.1	Potri.013G133550.2	6238	7192	5836	5452	8698	8646	11318	12126
WUAT02004659.1	Potri.001G312800.9	37228	37666	40886	37912	22574	42282	31674	55862
WUAT02004667.1	Potri.010G144400.1	9680	12908	4466	9718	18680	15910	10336	10452
WUAT02004669.1	Potri.016G069100.1	50	36	86	182	58	114	40	34
WUAT02004676.1	Potri.013G162200.1	20396	25364	15630	23808	12948	12584	17014	16302
WUAT02004679.1	Potri.019G023012.1	796	1238	1372	1334	1216	1196	1276	1268
WUAT02004681.1	Potri.006G046500.3	12604	14736	11886	21034	5016	5316	4160	12532
WUAT02004684.1	Potri.001G014401.1	548	1938	418	1226	2368	968	490	1046
WUAT02004689.1	Potri.017G138900.8	5622	7130	7470	6552	5180	8514	6368	11986
WUAT02004690.1	Potri.005G154350.1	38890	39016	33370	36166	34602	36182	35228	42864
WUAT02004694.1	Potri.010G049700.2	4170	5234	3880	5242	3620	5342	3366	4774
WUAT02004695.1	Potri.012G031250.1	18172	20966	16802	21762	17224	28126	26882	29370
WUAT02004698.1	Potri.013G138900.1	35692	40744	15146	41820	22872	24356	25492	27440
WUAT02004699.1	Potri.001G067300.1	31366	33960	31650	34914	27462	38100	29954	40230
WUAT02004700.1	Potri.002G160800.2	20264	44014	12252	34212	5940	6176	7368	15582
WUAT02004707.1	Potri.005G108200.1	7548	3400	4048	4780	3070	3980	3616	5346
WUAT02004708.1	Potri.016G007300.2	26082	26406	26794	24812	22194	29106	28014	36222
WUAT02004712.1	Potri.013G121000.2	2384	2472	1718	2842	2192	2072	2048	2324
WUAT02004713.1	Potri.013G134800.1	3334	13872	5726	4378	15384	6016	6454	9702
WUAT02004716.1	Potri.005G094200.3	13602	17522	19604	17590	14962	17514	11296	19462
WUAT02004718.1	Potri.001G006600.1	2050	2336	2118	2590	2334	3870	1868	2368
WUAT02004720.1	Potri.010G125200.1	2730	3726	1500	3382	4322	4760	3810	2538
WUAT02004721.1	Potri.014G147900.1	34640	47338	58360	38904	38274	69766	63988	65826
WUAT02004722.1	Potri.012G088900.1	17862	26172	17586	23094	16964	24430	17214	24460
WUAT02004726.1	Potri.005G095200.2	27832	29278	19018	24314	19264	21488	18912	26634
WUAT02004730.1	Potri.003G212000.1	11496	13516	10262	12826	11944	14834	13276	21584
WUAT02004731.1	Potri.008G126400.2	6356	8806	5574	8206	8780	8592	7460	9852
WUAT02004732.1	Potri.016G004900.2	19244	20498	22434	18008	16636	16672	17206	19082
WUAT02004735.1	Potri.007G122900.1	318940	319224	381798	347344	224852	294668	327748	359488
WUAT02004739.1	Potri.002G007100.2	11610	13056	11756	10582	13988	13494	12932	16224
WUAT02004743.1	Potri.006G249800.1	44	196	38	112	76	152	232	64
WUAT02004744.1	Potri.002G042500.3	33080	34050	29384	30400	29840	33706	31964	36600
WUAT02004745.1	Potri.013G051400.2	19032	15448	13818	21632	15688	28128	23838	26000
WUAT02004746.1	Potri.017G063900.2	13124	15458	7094	14264	9126	10248	6944	19570
WUAT02004758.1	Potri.012G031250.1	742	3520	338	998	598	900	462	1314
WUAT02004762.1	Potri.017G079400.1	7112	7148	3306	7996	1256	3248	13536	3676
WUAT02004765.1	Potri.010G052500.1	1336	1044	614	1094	730	652	738	860
WUAT02004767.1	Potri.008G224210.1	346	232	472	360	286	228	218	212
WUAT02004771.1	Potri.001G312800.7	948	1546	934	1820	1614	1452	1072	1264
WUAT02004784.1	Potri.005G210000.1	16638	17810	10274	19014	12152	22262	16440	19000
WUAT02004785.1	Potri.011G080400.3	1082	2318	698	2050	1550	898	326	1146
WUAT02004788.1	Potri.015G085700.4	44978	52412	36548	48448	48872	58116	48410	60876
WUAT02004789.1	Potri.005G091200.2	72690	82674	64060	83628	69686	83800	66928	102624
WUAT02004793.1	Potri.013G163000.1	40322	49952	37610	51408	35954	55020	45764	77312
WUAT02004798.1	Potri.003G108200.1	5412	4800	4924	4960	4898	5410	6248	5180
WUAT02004799.1	Potri.011G137400.1	1416	1912	1576	1704	1400	1806	1700	2384
WUAT02004802.1	Potri.001G044700.2	2042	2906	2446	1882	2058	2252	3452	2752
WUAT02004804.1	Potri.001G341100.5	28234	38604	41044	39000	25938	40172	35654	49714
WUAT02004808.1	Potri.014G057000.1	0	28	10	6	10	22	30	0
WUAT02004821.1	Potri.009G134500.1	11454	11092	1310	14602	692	1356	1410	3138
WUAT02004829.1	Potri.002G235500.3	3746	3382	2072	4304	5816	5620	2670	5386
WUAT02004831.1	Potri.008G037700.1	13970	18186	11500	16510	14228	18714	12864	21360
WUAT02004832.1	Potri.008G017800.1	44032	37162	33136	46120	47234	56964	40820	45240
WUAT02004834.1	Potri.001G180100.4	58744	63482	46540	67178	45368	51026	45612	87714
WUAT02004837.1	Potri.013G143400.2	268	12	404	20	760	176	244	464
WUAT02004840.1	Potri.013G142124.1	12	0	10	24	0	24	6	10
WUAT02004843.1	Potri.013G143400.2	786	752	868	822	1092	904	1380	2236
WUAT02004844.1	Potri.001G074000.3	12544	25204	10466	18214	12842	22128	14412	30690
WUAT02004851.1	Potri.005G111700.1	1552	2088	4336	4526	2076	5966	4812	4500
WUAT02004852.1	Potri.007G032800.1	572	582	674	754	324	536	348	720
WUAT02004853.1	Potri.008G201500.1	482	468	302	770	428	630	314	240
WUAT02004857.1	Potri.001G335300.1	10656	5670	2328	3330	2800	8378	10642	6786
WUAT02004858.1	Potri.013G142232.2	82	192	134	74	60	66	92	98
WUAT02004861.1	Potri.006G080300.1	14376	16164	13122	15652	10954	17700	16152	23230
WUAT02004863.1	Potri.006G069700.1	5936	9112	7316	7748	7212	9362	9814	9786
WUAT02004865.1	Potri.004G210200.13	41966	46612	55674	50248	45660	50558	47350	76194
WUAT02004866.1	Potri.011G134200.17	3536	3730	3632	5992	5782	3874	5432	7366
WUAT02004867.1	Potri.016G045200.1	5538	9526	6668	7188	6868	7062	7212	8986
WUAT02004870.1	Potri.001G229000.2	18324	20664	20918	20200	15982	22492	21512	25462
WUAT02004875.1	Potri.012G058400.2	1720	842	2490	2248	1710	3066	1494	1602
WUAT02004878.1	Potri.002G233500.1	2768	4478	3370	4184	2698	4610	3250	5318
WUAT02004879.1	Potri.006G133400.3	7746	26618	8328	6124	4572	20510	10124	23938
WUAT02004883.1	Potri.002G099200.1	38054	45956	48880	38942	36646	49906	41168	60820
WUAT02004884.1	Potri.017G073300.1	3396	4292	2830	3934	3916	4112	3226	5250
WUAT02004886.1	Potri.010G019000.2	6	4	4	24	2	18	0	10
WUAT02004888.1	Potri.013G092500.1	1400	1724	1554	1498	1198	1856	1506	1914
WUAT02004890.1	Potri.009G020900.1	11310	10474	9370	7876	14404	11290	12876	9230
WUAT02004893.1	Potri.010G052500.1	26	22	6	12	48	20	8	46
WUAT02004901.1	Potri.009G018800.2	18450	24788	22876	19184	17180	16012	27026	27830
WUAT02004902.1	Potri.006G051100.4	5244	6726	19544	5506	6980	5788	4490	7754
WUAT02004905.1	Potri.009G158700.2	33496	41162	31078	41802	25548	43588	40894	51698
WUAT02004906.1	Potri.001G457700.1	14424	16260	12766	14226	14724	25550	20174	20786
WUAT02004910.1	Potri.014G066200.1	12474	16524	16232	16964	15146	24358	18364	21904
WUAT02004915.1	Potri.001G142300.10	4354	4130	4946	5176	3948	7030	3906	6428
WUAT02004920.1	Potri.005G116400.2	101684	141166	234618	143216	118526	152232	130152	161984
WUAT02004923.1	Potri.001G082900.1	4380	4440	5338	4754	3518	3888	4084	5188
WUAT02004924.1	Potri.004G209700.20	34544	24172	25890	26986	36518	22484	18332	22288
WUAT02004927.1	Potri.001G251100.2	410	744	104	514	162	358	362	272
WUAT02004937.1	Potri.012G072800.3	6010	6458	6942	6530	6308	10378	5358	8668
WUAT02004938.1	Potri.019G018400.3	4604	7162	14268	8404	6608	21868	8762	20412
WUAT02004940.1	Potri.001G441040.1	38	6	34	6	92	52	18	48
WUAT02004942.1	Potri.001G234300.4	48102	38256	33720	35388	24548	28216	21526	36978
WUAT02004947.1	Potri.014G116600.5	2734	4022	2744	3422	3040	3588	2890	3714
WUAT02004951.1	Potri.003G181100.1	11062	12746	10132	13890	8518	10552	9858	12682
WUAT02004960.1	Potri.014G052600.9	83396	106964	96960	98134	77892	121240	97122	122242
WUAT02004965.1	Potri.018G052200.1	6530	8608	8936	9868	9184	8962	8832	11416
WUAT02004966.1	Potri.001G312800.7	56	46	72	60	80	52	62	50
WUAT02004969.1	Potri.008G058500.14	28036	29132	41942	27066	34708	38370	31284	39886
WUAT02004970.1	Potri.004G226300.1	119626	165282	216470	169176	92154	149078	148310	207596
WUAT02004972.1	Potri.013G138201.1	2	0	2	0	0	0	0	0
WUAT02004973.1	Potri.014G074200.11	1570	2872	2176	2986	2602	3044	2426	3626
WUAT02004978.1	Potri.001G126100.1	36244	61992	48460	71626	55716	105540	54600	113564
WUAT02004979.1	Potri.001G356800.10	7488	8360	11312	8452	6396	8770	7892	10432
WUAT02004984.1	Potri.011G039400.2	2990	6056	5922	3844	4610	3788	4012	3472
WUAT02004988.1	Potri.011G074150.1	32	144	102	108	82	138	130	158
WUAT02004992.1	Potri.010G236890.1	80	98	40	36	28	10	28	262
WUAT02004996.1	Potri.009G058600.2	34002	31990	26876	32086	25720	32730	27120	38142
WUAT02004998.1	Potri.015G066400.5	448	32	152	584	424	614	256	942
WUAT02004999.1	Potri.012G110800.1	4456	6488	2194	5426	2622	1878	1126	4534
WUAT02005002.1	Potri.014G131000.8	21698	24150	28394	28322	21748	26940	26018	29538
WUAT02005005.1	Potri.011G057000.1	8408	8672	14548	11262	6422	8870	6742	15034
