Gene_ID	subject_id	H_T1_Rep1	H_T1_Rep2	H_T1_Rep3	H_T1_Rep4	H_T2_Rep1	H_T2_Rep2	H_T2_Rep3	H_T2_Rep4
WUAT02006868.1	Potri.013G039100.2	712	708	612	490	668	384	736	514
WUAT02006869.1	Potri.001G256000.2	2676	3204	3736	6150	4680	4672	4094	4582
WUAT02006873.1	Potri.006G134450.1	972	974	814	1116	1000	1426	1530	1006
WUAT02006874.1	Potri.003G124200.2	6062	7246	6684	7402	8218	6804	7744	7194
WUAT02006877.1	Potri.013G133550.2	6730	6114	6054	7998	6998	8174	7952	7240
WUAT02006881.1	Potri.011G074201.1	13184	13054	10082	15136	10894	13860	14932	14022
WUAT02006886.1	Potri.012G031250.1	1270	662	582	1032	980	880	840	904
WUAT02006887.1	Potri.017G134900.1	2660	5628	7702	4870	4796	10984	7096	9430
WUAT02006890.1	Potri.014G115700.1	1048	1450	2270	2104	1612	1094	2408	2022
WUAT02006891.1	Potri.008G167600.3	21268	23746	29684	24640	27850	25022	25736	34376
WUAT02006895.1	Potri.001G101300.3	4042	4338	5932	7188	6114	6592	5818	5840
WUAT02006899.1	Potri.013G074800.1	2320	2092	2654	2924	2730	2504	2646	2614
WUAT02006904.1	Potri.006G189300.4	76832	76484	98820	85864	115164	103894	119838	138208
WUAT02006906.1	Potri.002G140000.1	6704	8162	8536	8580	7796	8160	9058	10584
WUAT02006913.1	Potri.003G117500.1	56716	64292	47098	70046	49636	84350	79162	69652
WUAT02006914.1	Potri.006G122100.1	6130	7082	3196	6250	2964	3966	6190	4526
WUAT02006922.1	Potri.011G074067.1	758	388	386	760	1006	284	392	270
WUAT02006926.1	Potri.012G126500.4	4626	5130	8386	6568	5956	6268	5896	5524
WUAT02006928.1	Potri.011G049600.4	16204	9804	10076	11854	11288	13558	14880	13228
WUAT02006929.1	Potri.013G133550.2	0	2	4	2	0	0	60	0
WUAT02006931.1	Potri.013G133550.2	264	328	340	784	308	190	412	530
WUAT02006939.1	Potri.006G238200.2	32020	49094	52916	48582	53630	51298	58846	62642
WUAT02006940.1	Potri.002G093500.5	58512	63226	63734	74040	72346	80296	108288	104230
WUAT02006942.1	Potri.015G023500.2	20616	17204	20564	23778	24896	20980	25582	23648
WUAT02006944.1	Potri.002G117200.1	8006	8974	9038	13570	8808	10196	11816	10908
WUAT02006948.1	Potri.013G142124.1	192	172	212	230	216	162	170	254
WUAT02006949.1	Potri.001G362300.3	6448	12050	9460	10654	10366	9636	8432	11128
WUAT02006953.1	Potri.007G052700.3	2242	2898	3224	3014	2538	2442	3738	4278
WUAT02006958.1	Potri.013G142760.3	17112	21376	19544	22388	19718	21408	18976	22674
WUAT02006960.1	Potri.010G114000.1	20	0	78	10	32	30	40	76
WUAT02006961.1	Potri.013G136466.1	650	318	580	520	666	624	1076	444
WUAT02006963.1	Potri.006G258100.5	21046	34114	31726	34478	27770	39118	33600	36356
WUAT02006966.1	Potri.007G061881.1	28	2	4	8	4	8	8	2
WUAT02006967.1	Potri.003G129600.3	6542	7070	7784	10240	8056	9660	8778	8988
WUAT02006968.1	Potri.012G031250.1	62	4	6	4	176	198	268	8
WUAT02006971.1	Potri.001G462700.1	7964	7658	7606	10750	8594	9924	10286	10016
WUAT02006972.1	Potri.005G063300.4	1084	3250	1146	3506	1844	4260	2710	4070
WUAT02006973.1	Potri.011G074067.1	3102	5404	4128	6894	2910	3276	3240	4450
WUAT02006974.1	Potri.005G186900.2	27526	30862	26786	38824	30842	30836	32356	39446
WUAT02006976.1	Potri.014G074200.2	23462	23384	29562	29604	26192	30308	31242	34168
WUAT02006977.1	Potri.019G018400.2	8004	7956	10294	8894	8160	11194	14642	9226
WUAT02006979.1	Potri.018G121100.3	7002	2404	8048	7610	13374	9306	6730	12274
WUAT02006980.1	Potri.005G089200.9	10864	14622	20754	17782	20422	20224	20236	21488
WUAT02006981.1	Potri.008G225001.1	184	18	30	38	248	10	280	58
WUAT02006985.1	Potri.007G062242.1	29500	30462	25402	33080	28894	35792	29594	31978
WUAT02006989.1	Potri.004G168400.1	3632	2808	3550	4946	2864	4032	3926	3794
WUAT02006990.1	Potri.012G031250.1	13666	14856	13094	20924	18280	15480	19074	22938
WUAT02006994.1	Potri.013G133550.2	9646	7872	7386	8978	8284	9096	8976	11016
WUAT02006995.1	Potri.015G074700.1	1094	2046	1660	1648	1990	830	1706	1706
WUAT02006998.1	Potri.014G094900.2	14002	13352	21888	19804	24060	24298	18264	22832
WUAT02007003.1	Potri.005G172200.3	3962	3764	10396	3868	6988	10200	8474	7948
WUAT02007009.1	Potri.011G068200.1	266	206	226	328	226	260	268	208
WUAT02007012.1	Potri.006G048900.1	23370	36724	30672	40128	30424	26910	30816	34300
WUAT02007031.1	Potri.002G164601.1	5896	7720	8810	7774	5500	8626	7150	11734
WUAT02007034.1	Potri.004G167400.1	33090	21868	33428	31168	38246	38436	35296	42270
WUAT02007035.1	Potri.013G133550.2	194	162	122	364	94	308	128	124
WUAT02007038.1	Potri.001G470900.1	70	10	102	82	158	196	64	144
WUAT02007039.1	Potri.006G054800.3	4446	6152	7106	5832	7340	6134	9214	7424
WUAT02007042.1	Potri.001G441040.1	28	62	30	64	28	114	52	44
WUAT02007044.1	Potri.011G139100.1	1484	1566	1614	2210	1876	2212	2050	2898
WUAT02007045.1	Potri.012G058400.2	2396	5632	2596	6270	3996	2856	4866	3120
WUAT02007047.1	Potri.017G099900.1	2920	2358	2504	3298	2864	2790	2604	2516
WUAT02007048.1	Potri.016G073100.1	88832	69370	78828	77378	91088	83654	88226	96672
WUAT02007049.1	Potri.009G062200.5	610	620	844	686	764	920	698	1014
WUAT02007053.1	Potri.007G008000.5	7878	9628	6576	9986	7542	8674	7346	9816
WUAT02007057.1	Potri.013G138900.1	2172	4286	2824	4162	2552	3274	3398	3338
WUAT02007061.1	Potri.010G052500.1	36988	49906	41582	51494	40810	46288	45142	42958
WUAT02007068.1	Potri.004G125150.1	6626	4936	5606	6344	5222	6780	7412	5264
WUAT02007069.1	Potri.006G222000.1	7056	6380	7164	5960	5864	6790	6890	6778
WUAT02007070.1	Potri.013G133550.2	2306	2762	3326	2732	3908	5446	3912	5028
WUAT02007071.1	Potri.005G260400.1	24188	26830	30208	38398	32976	34790	31756	35020
WUAT02007073.1	Potri.007G147300.3	122830	47354	157178	85998	148928	136270	147384	151538
WUAT02007075.1	Potri.006G249200.2	48088	46196	60004	59372	54862	61136	67574	71116
WUAT02007080.1	Potri.013G143400.2	188	438	362	800	170	556	236	466
WUAT02007084.1	Potri.006G165700.3	277680	407180	261604	354368	299472	337934	347794	312200
WUAT02007088.1	Potri.013G133550.2	77332	15278	17298	58046	32848	27322	23066	24714
WUAT02007090.1	Potri.004G165800.1	236	308	452	298	250	588	550	294
WUAT02007094.1	Potri.001G457700.1	2586	2098	6288	2192	1734	3444	6844	3814
WUAT02007097.1	Potri.013G143400.2	1672	1594	1384	2928	1158	1264	2714	1650
WUAT02007100.1	Potri.005G075800.5	530	400	580	614	752	628	600	558
WUAT02007103.1	Potri.001G312800.7	5032	10650	8174	11168	7902	9672	9726	6486
WUAT02007107.1	Potri.015G047500.6	4444	4608	3800	5362	4612	4360	5132	4110
WUAT02007111.1	Potri.001G312800.7	9938	12732	12588	16036	15920	14784	16582	17038
WUAT02007115.1	Potri.003G031900.4	16672	13760	15938	20756	18548	21676	19924	15422
WUAT02007116.1	Potri.010G067700.2	14280	16824	14468	21314	15534	15758	19596	19402
WUAT02007120.1	Potri.008G059600.3	43246	69302	44752	71614	40644	53822	58774	56776
WUAT02007121.1	Potri.002G260600.1	8830	11100	12246	11178	13108	14076	13786	16814
WUAT02007126.1	Potri.005G145900.1	42310	62704	46632	71838	45650	53866	52494	53990
WUAT02007129.1	Potri.014G095400.1	108	90	92	320	202	158	110	294
WUAT02007131.1	Potri.008G054700.4	108036	111350	151482	158900	187996	113974	129140	206246
WUAT02007133.1	Potri.004G030400.1	1398	3092	1986	2208	2706	2170	3482	2788
WUAT02007134.1	Potri.001G066700.4	30446	38016	33752	43900	39774	41200	41670	44278
WUAT02007138.1	Potri.006G160600.2	10950	9730	11822	14232	14296	11528	12024	11858
WUAT02007143.1	Potri.005G154836.1	1108	1396	4296	2678	3486	3280	2648	5240
WUAT02007147.1	Potri.010G071500.4	5500	4982	4770	6254	6630	5666	7614	6340
WUAT02007148.1	Potri.001G200500.10	65026	74416	85808	85808	76656	98310	75960	85480
WUAT02007150.1	Potri.015G115701.2	96	76	14	50	62	40	72	20
WUAT02007152.1	Potri.002G110000.1	1172	914	580	1860	1266	1300	1434	1462
WUAT02007154.1	Potri.018G069200.3	452	48	128	302	430	456	416	464
WUAT02007156.1	Potri.003G119800.6	24938	26172	26336	29070	29080	28122	28630	27388
WUAT02007162.1	Potri.010G202200.5	7272	4244	8480	7364	9104	8418	9340	6918
WUAT02007165.1	Potri.001G312800.7	9946	9790	16498	16660	16574	17104	17450	22214
WUAT02007169.1	Potri.001G264900.1	2142	6782	1616	8936	3744	4488	6570	5296
WUAT02007170.1	Potri.009G003500.5	21710	8806	31616	15030	42008	28892	19956	17816
WUAT02007174.1	Potri.009G114300.1	41374	37564	29884	41230	41574	40054	26942	44310
WUAT02007175.1	Potri.007G016100.2	9464	3750	12054	5328	15542	12274	10006	9438
WUAT02007177.1	Potri.007G020100.1	8	10	8	44	10	8	2	14
WUAT02007178.1	Potri.008G003300.1	3662	2884	2986	3780	3928	3594	3336	3304
WUAT02007179.1	Potri.003G142100.1	109384	60960	170550	75690	164696	126708	97634	106672
WUAT02007182.1	Potri.005G257800.3	112748	91134	108826	112948	117576	123482	139178	149010
WUAT02007183.1	Potri.017G046200.1	34186	14176	32890	30670	34654	33534	30530	28560
WUAT02007188.1	Potri.014G057000.1	10448	13226	9472	16358	12664	10070	11192	12462
WUAT02007189.1	Potri.012G088700.3	8654	9224	8058	10184	9360	12136	11952	12626
WUAT02007191.1	Potri.001G312800.7	0	0	6	8	2	2	0	2
WUAT02007192.1	Potri.008G177900.3	13038	14728	8534	18198	11830	8074	9746	7372
WUAT02007205.1	Potri.010G052500.1	31250	42560	32644	52022	34724	41614	43304	40122
WUAT02007207.1	Potri.014G081100.8	33976	47486	47370	61712	43022	52480	52450	55200
WUAT02007209.1	Potri.013G133550.2	0	0	0	0	2	2	0	4
WUAT02007215.1	Potri.004G133420.1	10252	9162	8024	15596	7178	11132	13312	10084
WUAT02007217.1	Potri.011G075200.2	8	4	10	22	0	20	0	14
WUAT02007219.1	Potri.013G138000.1	3800	12358	22148	21102	16582	18752	13676	14330
WUAT02007225.1	Potri.017G007400.1	31426	46116	31558	47784	29510	35864	37208	37140
WUAT02007228.1	Potri.003G080900.2	71256	57092	78838	87116	79030	85118	75134	78434
WUAT02007233.1	Potri.005G017600.1	4000	4362	3424	4600	4218	4440	5058	5022
WUAT02007237.1	Potri.008G059100.1	8554	6690	7366	11120	7138	7026	8254	8164
WUAT02007247.1	Potri.013G133550.2	8184	6300	7100	9368	5810	6194	7636	5654
WUAT02007253.1	Potri.002G103800.1	208	224	260	26	252	210	10	300
WUAT02007264.1	Potri.006G145700.7	24448	20674	28518	25440	31896	27320	28388	29894
WUAT02007268.1	Potri.005G049100.5	38538	36992	32898	38316	35996	36180	39318	52096
WUAT02007269.1	Potri.017G101100.5	966	1210	1028	1696	900	1802	1594	1910
WUAT02007272.1	Potri.005G131300.2	1242	1110	3104	1492	2816	2174	1734	1906
WUAT02007273.1	Potri.019G087000.6	71614	77660	69056	101406	76132	79672	87790	93758
WUAT02007277.1	Potri.001G467300.1	6524	12066	12720	15782	15868	17950	13904	17892
WUAT02007282.1	Potri.001G385300.3	1048	1054	1802	2928	2138	1562	1190	1778
WUAT02007284.1	Potri.004G097900.1	226	134	56	128	138	152	196	120
WUAT02007286.1	Potri.013G161900.1	1538	2560	1546	2256	1600	2438	4164	3232
WUAT02007287.1	Potri.001G312800.9	3388	5082	6458	3420	6274	9984	6440	7566
WUAT02007289.1	Potri.009G081200.1	1026	1056	1334	1738	940	1858	1220	1176
WUAT02007294.1	Potri.013G142124.1	362	388	452	534	480	584	618	588
WUAT02007296.1	Potri.012G137800.1	1588	2358	2268	2036	1532	2510	2726	3938
WUAT02007299.1	Potri.010G126900.12	16600	28280	22414	33556	21284	32038	24936	29350
WUAT02007300.1	Potri.004G212600.3	23800	20340	67030	38624	35860	62202	45804	53330
WUAT02007301.1	Potri.010G026100.2	29778	34228	25416	37366	27148	29978	39158	30246
WUAT02007302.1	Potri.014G179700.1	8	4	0	0	2	0	10	4
WUAT02007303.1	Potri.002G139700.4	21016	26996	22210	26994	24962	27568	28010	30330
WUAT02007305.1	Potri.016G093200.2	29782	41482	31914	45336	31180	41322	38284	38472
WUAT02007306.1	Potri.012G058400.2	4914	5178	5598	6674	5440	7424	7208	6198
WUAT02007309.1	Potri.019G036500.1	1144	1046	7170	1090	1200	4002	588	5204
WUAT02007318.1	Potri.014G060100.3	28406	32464	33824	38698	32288	36598	38946	40496
WUAT02007322.1	Potri.014G002400.1	13038	15368	12666	19280	10840	12940	15544	14996
WUAT02007327.1	Potri.012G031250.1	8970	8900	6482	11102	6782	7476	4808	5246
WUAT02007330.1	Potri.010G004200.4	1446	4422	6348	3256	1922	958	7264	6200
WUAT02007335.1	Potri.008G182766.1	23492	23986	34196	28810	38166	40142	36962	43538
WUAT02007336.1	Potri.006G249000.1	8140	5662	6100	8652	7092	7322	8338	9042
WUAT02007338.1	Potri.013G143400.2	18	46	48	46	22	84	6	50
WUAT02007340.1	Potri.001G312800.7	74	30	136	132	144	112	120	192
WUAT02007345.1	Potri.002G187000.7	11640	13916	13900	21626	13798	12832	14344	15142
WUAT02007348.1	Potri.007G090600.1	76	148	52	102	294	94	100	54
WUAT02007349.1	Potri.014G143600.1	7448	6178	7470	9154	8418	7500	9454	8078
WUAT02007350.1	Potri.004G213400.1	20918	28488	21250	30178	26440	26062	28076	30120
WUAT02007352.1	Potri.013G143400.2	1278	1204	634	1018	1294	878	1970	798
WUAT02007353.1	Potri.014G112266.2	1570	2730	3106	2978	2062	2544	2452	2836
WUAT02007356.1	Potri.005G045100.1	8	2	14	24	24	18	10	8
WUAT02007359.1	Potri.002G201500.8	51182	59924	29468	59092	30988	33560	31504	25082
WUAT02007363.1	Potri.012G096500.1	2108	1516	2342	2748	2736	2670	3544	2228
WUAT02007372.1	Potri.005G063400.1	45342	43326	42790	56496	57162	49986	56982	53128
WUAT02007375.1	Potri.011G157000.2	10	0	4	10	8	8	16	4
WUAT02007376.1	Potri.001G144200.1	30470	37248	31652	36698	32836	44224	41050	39880
WUAT02007378.1	Potri.011G075051.1	1444	1516	776	1750	588	808	1266	862
WUAT02007379.1	Potri.015G095500.1	8	4	22	8	4	0	4	26
WUAT02007381.1	Potri.010G136700.1	21408	27624	20032	35262	19538	22114	26692	23444
WUAT02007385.1	Potri.005G091200.2	5080	3184	4682	3892	4300	3670	4028	5824
WUAT02007386.1	Potri.013G139112.1	1174	692	1384	1222	1832	3252	1658	1454
WUAT02007390.1	Potri.002G001100.6	61900	56414	61422	68920	65508	69254	74420	73332
WUAT02007394.1	Potri.003G131200.1	2304	1304	2190	1728	2174	2000	1556	2116
WUAT02007398.1	Potri.013G138000.1	104	10	108	310	2	18	0	0
WUAT02007399.1	Potri.007G062622.1	2636	3124	3106	3446	3028	3570	3018	2222
WUAT02007401.1	Potri.006G035000.2	1776	3044	2616	3336	2450	4324	2994	3706
WUAT02007404.1	Potri.001G002200.2	41898	28250	74042	46570	75882	49584	36170	57690
WUAT02007408.1	Potri.010G192600.1	7316	3280	6612	5422	8274	7606	7328	9248
WUAT02007410.1	Potri.009G146000.1	3258	5204	2686	4200	3682	6262	9056	6468
WUAT02007416.1	Potri.003G050600.3	0	0	0	6	1262	6	0	10
WUAT02007417.1	Potri.006G264500.6	71378	74248	94436	79108	106186	95954	101500	121974
WUAT02007421.1	Potri.013G133550.2	61452	73216	46946	90968	46684	83596	67290	78066
WUAT02007423.1	Potri.010G112200.2	2452	1722	2806	3576	2722	3824	2872	3570
WUAT02007426.1	Potri.001G342933.1	23602	30016	19200	29966	19700	24466	23656	25612
WUAT02007435.1	Potri.004G202466.1	9830	5928	4982	13056	4874	4226	4592	3790
WUAT02007436.1	Potri.018G043700.1	3798	10410	3602	12476	3362	3942	4244	2728
WUAT02007439.1	Potri.018G108200.2	44106	26176	15900	37512	14326	9690	33984	27880
WUAT02007440.1	Potri.009G041800.1	81564	170750	62874	111370	88090	117954	120432	237284
WUAT02007441.1	Potri.013G133550.2	8	14	24	104	20	18	0	2
WUAT02007444.1	Potri.018G008600.10	49642	72746	73538	80054	79108	78808	81454	90590
WUAT02007446.1	Potri.001G342933.1	164	152	86	198	126	118	94	132
WUAT02007448.1	Potri.009G042400.3	4896	4870	5968	7264	7702	7748	9068	7658
WUAT02007452.1	Potri.008G205400.2	3510	7054	7256	11526	3514	6502	6688	6688
WUAT02007453.1	Potri.001G316700.3	12876	13852	14558	18492	14386	15478	15882	14638
WUAT02007458.1	Potri.005G093000.5	7354	7456	6292	7480	4758	7536	10234	15082
WUAT02007462.1	Potri.008G042700.1	103056	185246	122686	152714	125938	138268	172140	175186
WUAT02007466.1	Potri.001G019400.1	210	522	278	766	212	440	332	568
WUAT02007471.1	Potri.002G031000.3	38340	20426	54964	33940	57340	51660	46818	36948
WUAT02007475.1	Potri.004G147800.1	251328	93570	344498	175876	301592	300256	156384	134424
WUAT02007476.1	Potri.002G256500.1	21738	17160	18630	22140	24136	22836	19658	23470
WUAT02007480.1	Potri.005G026400.2	15454	18018	17872	18130	19446	18014	23760	23348
WUAT02007481.1	Potri.010G204300.1	34	88	20	70	26	44	22	30
WUAT02007485.1	Potri.006G152700.10	5098	1802	6080	4096	7300	6146	3740	4228
WUAT02007486.1	Potri.017G013500.1	308	104	412	62	410	342	66	112
WUAT02007488.1	Potri.001G265300.2	14032	27098	10008	34662	11458	11308	15696	14814
WUAT02007489.1	Potri.013G133550.2	1748	3102	2732	5248	2896	3374	2468	3784
WUAT02007494.1	Potri.017G086500.1	112626	108674	89330	132334	114906	140540	203910	177828
WUAT02007497.1	Potri.013G133550.2	126	90	50	680	658	70	94	72
WUAT02007498.1	Potri.013G142124.1	11530	7812	5408	18134	5690	5994	8836	7340
WUAT02007502.1	Potri.013G081300.10	4444	7906	10418	8336	9748	10846	11060	9468
WUAT02007503.1	Potri.014G185804.1	2704	3106	2044	4276	3152	2526	6346	2776
WUAT02007505.1	Potri.004G163000.2	26	26	152	86	100	68	24	38
WUAT02007507.1	Potri.001G312800.7	7474	6932	11248	11312	11638	10144	17142	14782
WUAT02007511.1	Potri.013G142232.6	26320	23532	23070	28840	28664	32696	36916	37114
WUAT02007516.1	Potri.009G109900.3	30192	45344	26392	51818	31928	39680	37930	43650
WUAT02007520.1	Potri.010G250900.7	138	282	148	270	188	218	258	306
WUAT02007521.1	Potri.013G143400.2	10834	15730	18586	27674	11088	17866	15140	15342
WUAT02007525.1	Potri.006G116800.1	141930	145448	128480	143450	155002	150562	175828	176052
WUAT02007529.1	Potri.011G085000.1	2292	3114	1120	3836	908	1260	2802	1828
WUAT02007533.1	Potri.018G145800.2	2560	5258	4392	7346	3220	6872	4860	4470
WUAT02007534.1	Potri.002G056300.1	26102	30378	14460	45686	13274	23644	95104	39000
WUAT02007543.1	Potri.004G064000.1	20800	19322	20526	23100	22956	20788	24784	24732
WUAT02007545.1	Potri.013G162200.1	60	52	50	160	88	38	62	118
WUAT02007547.1	Potri.013G139112.2	292	2970	2634	450	3782	1896	2850	4984
WUAT02007548.1	Potri.004G236600.2	23504	31736	25378	34124	37916	39760	42148	44520
WUAT02007552.1	Potri.006G090400.2	19076	33396	27446	30628	22314	38482	55446	31004
WUAT02007555.1	Potri.001G134100.5	30	432	198	714	500	422	142	78
WUAT02007556.1	Potri.013G133550.2	330	218	270	262	116	218	360	362
WUAT02007557.1	Potri.002G102100.8	2628	2662	3390	3318	5158	4112	6318	3030
WUAT02007561.1	Potri.002G192500.2	24054	29880	21554	39132	26738	30054	34098	24428
WUAT02007565.1	Potri.001G267300.1	19070	13876	27984	18060	28926	28866	25320	21020
WUAT02007566.1	Potri.002G143000.5	12010	26630	25834	27916	21662	28946	24988	26204
WUAT02007570.1	Potri.003G020300.2	74824	38678	30792	62258	29468	55364	47648	57242
WUAT02007584.1	Potri.002G177900.1	5398	3384	4086	8912	3966	7304	7504	4248
WUAT02007588.1	Potri.007G062122.1	1160	678	1460	1400	1216	1144	1314	1588
WUAT02007590.1	Potri.010G142800.1	216	118	18	540	32	10	50	48
WUAT02007592.1	Potri.013G133550.2	26	20	8	40	16	16	18	32
WUAT02007594.1	Potri.013G162700.1	6424	7078	2986	8070	5056	5198	5746	5052
WUAT02007596.1	Potri.006G138500.11	18	58	66	94	28	66	80	64
WUAT02007597.1	Potri.018G068600.3	7070	6998	9150	10078	10036	8262	10254	10274
WUAT02007598.1	Potri.019G064100.2	3012	4196	2948	6476	2348	2678	4602	3976
WUAT02007599.1	Potri.004G001200.1	10	14	10	40	40	178	8	0
WUAT02007601.1	Potri.001G442900.12	24106	26968	34092	35490	34056	37490	35546	42002
WUAT02007602.1	Potri.007G020100.1	2688	2754	2840	3860	2814	3878	3406	3840
WUAT02007606.1	Potri.013G142232.5	3310	434	1316	1804	2884	2942	1494	1952
WUAT02007608.1	Potri.018G096035.1	34	66	74	134	18	22	58	36
WUAT02007610.1	Potri.014G185804.1	23954	24206	25528	27036	30762	28856	31670	33690
WUAT02007611.1	Potri.006G193300.1	4372	2556	6868	4056	6092	7224	6536	7100
WUAT02007614.1	Potri.011G074600.2	4	6	26	38	36	18	48	32
WUAT02007615.1	Potri.006G163301.1	12794	9484	11044	12792	11242	11680	12878	10342
WUAT02007616.1	Potri.014G168600.5	1010	548	2598	1102	1426	1492	1264	1522
WUAT02007624.1	Potri.004G022500.1	21316	28576	22752	29102	17058	21082	25466	22098
WUAT02007629.1	Potri.016G093600.1	15098	27748	44044	30500	31488	56646	31034	34280
WUAT02007632.1	Potri.001G330900.6	6424	6196	5460	5154	6402	6258	4526	6200
WUAT02007633.1	Potri.004G059400.1	28156	65144	33280	60894	30622	35372	39308	34724
WUAT02007636.1	Potri.006G097200.1	17218	11956	27166	14398	22492	19754	24338	18098
WUAT02007637.1	Potri.013G142124.1	178	42	126	84	166	58	134	86
WUAT02007638.1	Potri.001G146400.1	32298	27648	55252	49892	53082	69774	64016	76060
WUAT02007640.1	Potri.008G224210.1	0	6	2	14	6	4	0	4
WUAT02007642.1	Potri.003G120600.1	37644	52562	45392	59936	50270	56526	65544	66122
WUAT02007652.1	Potri.001G322300.1	35884	28236	29736	33252	39402	36520	52238	62932
WUAT02007653.1	Potri.009G066100.1	6088	5702	4888	7342	9224	5522	6764	5812
WUAT02007659.1	Potri.013G042300.1	4284	6890	4494	6910	5108	6076	4910	5590
WUAT02007666.1	Potri.018G018600.2	2670	3948	6088	4500	5076	5452	5782	7186
WUAT02007670.1	Potri.016G036300.1	4620	3840	5528	4722	7638	5792	6874	5514
WUAT02007674.1	Potri.003G015800.1	458	550	700	1114	1016	922	702	1286
WUAT02007677.1	Potri.005G257500.1	74	10	8	126	134	6	4	6
WUAT02007680.1	Potri.006G265900.7	1650	1812	1906	1830	1834	1982	2162	2118
WUAT02007682.1	Potri.002G100200.1	33010	20590	29408	33458	26468	33190	36164	32456
WUAT02007684.1	Potri.001G333200.1	45238	25332	60898	37184	72058	66458	66986	59722
WUAT02007687.1	Potri.011G059600.1	2642	1490	1254	2498	1100	2422	1780	1764
WUAT02007688.1	Potri.012G144700.1	32188	18880	19440	27026	27124	28262	32880	25538
WUAT02007691.1	Potri.011G083300.2	688	544	384	468	222	230	2320	460
WUAT02007697.1	Potri.003G201200.4	6632	6002	42318	11132	20528	18038	5598	13766
WUAT02007710.1	Potri.006G098700.1	2228	3158	4622	3994	4398	4500	3410	6522
WUAT02007715.1	Potri.013G008500.6	5934	3858	5438	5674	6838	4184	6044	6504
WUAT02007716.1	Potri.009G002400.1	10322	9896	15764	16304	18548	18650	16162	16526
WUAT02007718.1	Potri.014G185948.1	21122	3694	6122	5974	14850	16522	17540	23234
WUAT02007720.1	Potri.013G092500.1	7764	14232	6676	12108	5632	8182	7494	10048
WUAT02007728.1	Potri.014G104600.3	130	144	318	290	268	604	440	412
WUAT02007729.1	Potri.009G120800.4	17186	22268	27526	25602	29060	28042	29144	25864
WUAT02007730.1	Potri.007G061841.1	4	14	2	0	0	0	6	4
WUAT02007732.1	Potri.018G121300.1	23718	19456	23292	23678	28844	29646	30530	29636
WUAT02007733.1	Potri.014G170200.1	35020	41520	34318	52026	44876	41592	41354	39718
WUAT02007736.1	Potri.009G119500.3	27626	40396	36282	39296	47982	41258	35716	33466
WUAT02007738.1	Potri.012G088200.1	78134	98070	65774	90646	68072	100722	89550	83778
WUAT02007741.1	Potri.001G272700.2	65172	25812	36206	61902	91226	78266	77834	102762
WUAT02007742.1	Potri.007G081200.1	964	174	612	744	1490	884	2114	742
WUAT02007745.1	Potri.014G170500.2	50904	43772	46904	65720	57344	48432	47500	58346
WUAT02007750.1	Potri.006G063300.1	24438	27030	26078	40906	25236	27970	18432	27892
WUAT02007756.1	Potri.013G141912.1	6	32	24	20	34	18	22	8
WUAT02007759.1	Potri.003G203100.10	9846	8694	8008	10140	8754	10138	11536	11578
WUAT02007763.1	Potri.013G025000.1	65266	58132	46942	75112	55090	56994	65998	70172
WUAT02007768.1	Potri.014G146300.1	51140	58382	48964	32806	74644	45962	66954	68534
WUAT02007772.1	Potri.002G236800.2	15316	27996	18248	28164	20438	23116	32804	27608
WUAT02007774.1	Potri.008G042700.1	1028	638	1462	2188	1450	1218	1192	730
WUAT02007775.1	Potri.009G162300.1	68	26	50	48	34	36	54	70
WUAT02007777.1	Potri.018G053640.1	60464	63044	98130	64202	89106	80790	65434	69132
WUAT02007781.1	Potri.011G064500.1	7776	7924	7228	9922	9054	8022	11058	9314
WUAT02007782.1	Potri.014G185948.1	3728	3218	834	6520	2746	1086	2596	1754
WUAT02007786.1	Potri.004G125150.1	10168	16112	11130	15654	11956	14026	12898	13236
WUAT02007790.1	Potri.004G092100.2	16186	17280	16518	19366	19444	17862	19350	24060
WUAT02007791.1	Potri.004G125150.1	508	1562	1618	1326	754	1452	878	1278
WUAT02007792.1	Potri.005G154350.1	5726	4432	4214	6154	4656	6610	5316	5750
WUAT02007794.1	Potri.003G117000.5	20030	20480	29092	23670	35830	37022	26670	29234
WUAT02007795.1	Potri.008G067900.1	210	298	436	256	386	588	222	670
WUAT02007798.1	Potri.016G028900.5	37944	31684	19390	31738	28346	39284	35142	39892
WUAT02007799.1	Potri.002G010100.4	18184	32612	29782	62656	17344	32748	31306	31702
WUAT02007805.1	Potri.004G010900.2	8890	8512	8874	10092	11082	10702	12652	12772
WUAT02007808.1	Potri.003G116900.1	8254	31834	21726	20848	13834	21472	23104	23186
WUAT02007809.1	Potri.007G082400.1	112	282	138	92	182	134	230	172
WUAT02007814.1	Potri.009G115800.1	9048	26648	15928	29344	12784	22580	31402	41258
WUAT02007818.1	Potri.002G239600.1	10800	7566	10560	8148	14088	15688	10706	10642
WUAT02007819.1	Potri.011G075051.1	210	194	246	328	274	150	294	294
WUAT02007822.1	Potri.001G442500.2	2412	1936	3794	3338	3912	3894	3584	3580
WUAT02007823.1	Potri.012G097300.1	15690	38830	21772	33452	20500	21706	24692	29246
WUAT02007826.1	Potri.004G030400.1	12840	9174	14780	14724	12174	12280	8662	11670
WUAT02007827.1	Potri.006G043400.3	3316	3924	5012	5708	4766	5172	3246	5024
WUAT02007835.1	Potri.013G162600.1	10502	18368	13986	18456	13878	14716	15038	19240
