Gene_ID	subject_id	C_T1_Rep1	C_T1_Rep2	C_T1_Rep3	C_T1_Rep4	C_T2_Rep1	C_T2_Rep2	C_T2_Rep3	C_T2_Rep4
WUAT02005716.1	Potri.006G151300.1	6410	14220	10570	13192	12076	14538	8268	9240
WUAT02005719.1	Potri.008G054100.1	10014	10350	7968	9662	9350	7406	10322	10952
WUAT02005727.1	Potri.007G076900.3	0	38	28	8	38	24	0	2
WUAT02005729.1	Potri.008G037800.1	19066	26026	18980	26606	21614	16676	18772	23730
WUAT02005730.1	Potri.004G216700.4	7462	4500	6390	5104	21050	9496	5618	13994
WUAT02005731.1	Potri.017G050900.1	3684	2568	3400	3258	3342	3534	4216	4858
WUAT02005732.1	Potri.013G093400.3	26616	45098	33434	44222	36678	34674	29480	31462
WUAT02005733.1	Potri.001G312800.9	124	30	38	104	40	44	94	256
WUAT02005734.1	Potri.010G000301.1	5862	3132	2886	5566	3630	3588	4332	5366
WUAT02005740.1	Potri.013G143400.2	32	8	16	22	14	34	12	72
WUAT02005743.1	Potri.010G215200.14	8216	7232	6606	8698	9106	8708	6902	7026
WUAT02005752.1	Potri.013G138490.1	4900	3438	1846	7938	7270	6590	6214	4634
WUAT02005756.1	Potri.009G099032.1	998	1314	420	1190	2324	1414	1086	2382
WUAT02005757.1	Potri.013G077700.2	40632	53880	52256	48824	64786	65808	59278	64232
WUAT02005758.1	Potri.005G217300.12	7276	9336	6564	13804	7046	6542	6094	7968
WUAT02005761.1	Potri.008G159500.8	51402	63666	82108	60970	68198	67932	53168	42592
WUAT02005762.1	Potri.013G133550.2	432	334	610	608	1102	638	608	718
WUAT02005766.1	Potri.011G074201.1	12	2	2	4	2	6	0	10
WUAT02005767.1	Potri.006G181100.3	792	868	868	962	1068	656	1120	1110
WUAT02005770.1	Potri.006G135200.2	2684	1884	1332	3350	2790	2856	2828	2290
WUAT02005773.1	Potri.004G202400.4	25756	22514	14170	21688	32086	18660	22718	28268
WUAT02005775.1	Potri.015G044600.1	19720	33730	38766	35958	34148	29712	29938	26476
WUAT02005778.1	Potri.013G011900.4	51582	68922	60066	74208	64262	63230	59670	64650
WUAT02005779.1	Potri.014G124100.5	36874	74986	37820	72204	50270	27906	25290	18746
WUAT02005782.1	Potri.002G110500.3	25460	34150	26608	30540	33674	27768	29870	35826
WUAT02005783.1	Potri.013G140850.1	5954	7292	5152	8678	8614	9406	6690	10968
WUAT02005784.1	Potri.014G185948.1	10022	13060	17442	15356	10432	11156	9384	11908
WUAT02005788.1	Potri.015G082500.1	80126	59898	72880	72128	120846	81114	77716	72306
WUAT02005793.1	Potri.001G312800.7	46910	88164	54424	70252	52674	39912	36102	29166
WUAT02005797.1	Potri.001G328000.2	44132	38902	36882	34862	41956	37662	35354	46612
WUAT02005800.1	Potri.008G112000.2	2	4	2	20	10	0	6	6
WUAT02005801.1	Potri.001G464800.1	22876	21618	14982	17742	8874	4258	5850	5216
WUAT02005804.1	Potri.008G225001.1	4	0	0	0	0	2	0	6
WUAT02005806.1	Potri.010G191800.2	22236	29362	25992	31616	27618	24640	21840	28138
WUAT02005807.1	Potri.007G086900.1	25044	37116	26504	36072	32844	29900	29312	37008
WUAT02005811.1	Potri.001G136200.3	2492	6432	3666	6150	2488	2492	8096	4524
WUAT02005812.1	Potri.001G354400.1	820	520	506	192	620	428	578	480
WUAT02005813.1	Potri.006G154600.2	2246	2182	3030	2290	2978	1982	1206	1458
WUAT02005815.1	Potri.010G038700.15	19756	27664	23978	126494	14330	14908	15176	25940
WUAT02005819.1	Potri.012G090600.3	1646	2892	2150	2778	2022	2800	3744	4550
WUAT02005820.1	Potri.005G099400.3	28608	32840	34026	26596	22914	22208	24696	29152
WUAT02005821.1	Potri.012G071400.1	2766	1650	1268	1530	2090	1666	2172	2214
WUAT02005824.1	Potri.013G035350.1	38244	34084	33236	47072	51804	39652	42730	42562
WUAT02005825.1	Potri.010G213900.1	17056	33014	17060	30366	15196	13286	12460	6874
WUAT02005828.1	Potri.003G201200.4	40920	17024	21476	29440	119782	93184	47206	41442
WUAT02005830.1	Potri.005G180600.1	3922	5488	4794	4708	5302	4492	4358	4422
WUAT02005832.1	Potri.008G171200.5	42090	41574	36762	59346	40186	45802	38728	34272
WUAT02005837.1	Potri.016G056500.1	83916	16618	21836	69510	87180	75822	84562	88940
WUAT02005838.1	Potri.009G158800.1	24016	23450	16524	31722	28236	27774	18886	22114
WUAT02005841.1	Potri.014G017000.3	14	32	10	2	16	12	42	2
WUAT02005842.1	Potri.018G001800.3	93314	101238	82748	92906	120418	105022	111530	146598
WUAT02005846.1	Potri.001G312800.9	7634	8712	9048	12688	13762	16860	22294	67996
WUAT02005847.1	Potri.013G163100.2	62	72	116	158	32	36	46	38
WUAT02005848.1	Potri.019G013800.2	130	506	110	378	120	122	168	208
WUAT02005851.1	Potri.016G078300.1	4656	5784	4138	5672	9958	12324	7074	7234
WUAT02005853.1	Potri.003G031900.3	6938	19916	14424	21456	21026	7694	18018	18842
WUAT02005857.1	Potri.010G039900.1	12832	16122	11388	14000	16562	13320	16364	16890
WUAT02005860.1	Potri.008G105200.5	33592	46262	39724	43520	43600	44018	40162	47492
WUAT02005866.1	Potri.010G038700.15	2	4	10	0	2	4	2	4
WUAT02005869.1	Potri.013G137900.2	100	118	150	122	310	142	312	298
WUAT02005873.1	Potri.006G232700.1	4672	6626	4152	5934	6308	5134	5992	7124
WUAT02005878.1	Potri.014G158200.11	22774	27234	22808	26058	24320	18724	29458	42818
WUAT02005882.1	Potri.011G124700.1	11772	7880	7206	10010	9994	9388	12914	7556
WUAT02005886.1	Potri.013G142232.6	7554	7294	9206	10798	19772	26400	20854	56598
WUAT02005892.1	Potri.011G162500.1	46686	52528	40040	51390	44630	32858	41364	47520
WUAT02005896.1	Potri.012G058000.6	23638	35020	25434	28130	39102	27148	37544	37154
WUAT02005897.1	Potri.006G163301.1	2354	2334	3952	5080	6424	3986	4534	8856
WUAT02005900.1	Potri.001G312800.9	390	800	332	556	1052	622	914	494
WUAT02005906.1	Potri.003G201200.4	560	1808	1196	1784	542	1628	578	1158
WUAT02005909.1	Potri.008G224210.1	183340	150422	361152	175332	101084	143152	130502	262928
WUAT02005914.1	Potri.001G424500.3	666	1200	844	1362	804	832	818	942
WUAT02005920.1	Potri.009G131600.1	2610	5078	3750	4784	4218	4316	4020	3710
WUAT02005927.1	Potri.002G226000.3	15190	19362	23206	18340	15302	13320	15280	17866
WUAT02005928.1	Potri.001G312800.9	19292	23564	22894	23992	21950	25710	29902	31840
WUAT02005937.1	Potri.006G167200.1	73996	74876	65926	75018	73860	54604	71504	53700
WUAT02005941.1	Potri.013G142232.5	4606	9720	5590	9610	3624	1664	1530	1062
WUAT02005945.1	Potri.013G133550.2	606	150	126	1346	342	564	526	242
WUAT02005946.1	Potri.008G108100.1	20608	12448	8054	14506	20420	11814	14382	32678
WUAT02005947.1	Potri.013G092900.1	7736	11930	11236	12226	10182	14008	14054	17228
WUAT02005950.1	Potri.010G090100.2	41248	61410	48326	57980	86340	77158	87134	260552
WUAT02005956.1	Potri.016G002100.5	2220	1636	1808	2150	1722	1446	1344	1244
WUAT02005959.1	Potri.008G068400.1	30036	62524	39798	57386	43128	32302	35516	28340
WUAT02005962.1	Potri.007G062622.1	10	4	16	26	4	12	8	58
WUAT02005963.1	Potri.009G084500.3	500	104	32	548	552	908	466	248
WUAT02005965.1	Potri.001G356700.1	96	100	124	102	436	178	230	90
WUAT02005968.1	Potri.015G017500.1	168716	175112	153950	211344	182086	92874	95964	51980
WUAT02005973.1	Potri.013G143400.2	8636	7542	6320	9682	10550	9246	9930	10220
WUAT02005976.1	Potri.014G101500.1	6342	11150	5196	13682	4836	3346	3738	4006
WUAT02005977.1	Potri.004G121800.1	38038	40348	27252	47742	58148	46198	43512	56686
WUAT02005981.1	Potri.010G116600.1	135398	143566	114566	158972	124074	119362	104882	89462
WUAT02005982.1	Potri.002G059800.6	1144	1460	1176	2274	1424	1590	1554	1642
WUAT02005986.1	Potri.004G227000.1	27694	37802	32330	38378	32526	27914	29676	30778
WUAT02005989.1	Potri.001G118100.2	79404	61326	94042	78360	51892	87916	66422	60414
WUAT02005990.1	Potri.008G190000.1	18006	35874	23002	32760	20052	14038	15686	17936
WUAT02005991.1	Potri.015G047400.5	8520	7456	6584	10830	13274	9194	11778	16342
WUAT02005992.1	Potri.013G143400.2	6972	7070	5850	7088	7148	8036	10300	9924
WUAT02005995.1	Potri.013G163100.1	2820	1636	1860	2772	3252	3452	2960	3532
WUAT02005996.1	Potri.018G149400.2	24	52	42	16	14	10	22	8
WUAT02005999.1	Potri.009G071250.1	23084	39812	37940	37874	46720	41440	41576	52804
WUAT02006000.1	Potri.010G190100.4	24980	25840	19068	22812	25180	20752	16192	19834
WUAT02006003.1	Potri.005G251000.2	7624	9574	7764	9964	9754	9250	7912	9750
WUAT02006004.1	Potri.005G233900.1	13986	31566	11230	31742	10026	9488	8308	3082
WUAT02006005.1	Potri.013G142760.1	37828	42202	39908	42486	50652	38360	38434	51186
WUAT02006009.1	Potri.014G148700.9	5130	8038	5202	6448	4416	3992	4930	5546
WUAT02006010.1	Potri.005G075800.5	36	116	124	94	54	48	130	330
WUAT02006013.1	Potri.003G089900.4	36292	48174	39080	43138	47776	36018	42260	36628
WUAT02006014.1	Potri.016G059600.1	72	20	46	70	84	56	16	14
WUAT02006019.1	Potri.013G142124.1	82226	89946	76756	102528	102008	87672	67718	66594
WUAT02006022.1	Potri.003G108500.1	6858	13186	10282	11384	10724	8754	11908	17568
WUAT02006023.1	Potri.011G125200.5	952	2430	884	2574	2260	1802	1408	1494
WUAT02006026.1	Potri.003G138000.1	6528	12906	6268	17440	7436	7474	8428	4846
WUAT02006027.1	Potri.012G031250.1	1924	2286	2142	2268	2790	2906	2312	3266
WUAT02006028.1	Potri.003G077000.1	7900	8840	6892	7938	9456	10356	9168	12730
WUAT02006031.1	Potri.003G032300.9	349296	338016	80752	264840	154070	51824	59282	55022
WUAT02006036.1	Potri.003G031900.4	21310	36306	21460	36456	22592	20012	20504	23010
WUAT02006040.1	Potri.002G146300.1	131424	112564	110742	156298	120266	96960	114250	97342
WUAT02006044.1	Potri.010G177200.2	30	994	916	1090	146	748	742	1326
WUAT02006048.1	Potri.002G072100.1	32	42	54	122	4	6	38	82
WUAT02006049.1	Potri.002G213300.2	20806	23532	18916	24580	27464	21038	26990	32968
WUAT02006050.1	Potri.005G125000.1	113796	95878	80500	89140	110748	111996	106456	86074
WUAT02006057.1	Potri.007G016300.2	2330	2596	1488	3528	2018	1098	2496	2066
WUAT02006061.1	Potri.011G113575.1	18	16	4	4	8	14	2	2
WUAT02006062.1	Potri.014G154600.3	6960	5464	4574	8676	7988	7962	8258	6222
WUAT02006067.1	Potri.018G085600.6	11810	11012	13320	19062	14664	11904	15600	27614
WUAT02006071.1	Potri.001G312800.9	1372	2156	7118	2046	1896	2160	3532	5048
WUAT02006073.1	Potri.001G370366.2	1128	1876	1740	1668	2646	1936	1494	2400
WUAT02006074.1	Potri.003G201200.4	11528	16070	12518	17956	17868	13814	18340	14268
WUAT02006076.1	Potri.001G250500.1	29452	39390	28088	41480	36862	32092	36550	38624
WUAT02006077.1	Potri.001G450600.2	1760	4412	1908	3200	1784	1538	2034	3504
WUAT02006081.1	Potri.007G062302.2	60	30	48	58	108	30	12	32
WUAT02006082.1	Potri.007G062442.1	2536	1924	2586	2646	2672	2316	3190	4524
WUAT02006089.1	Potri.018G131400.1	3210	4720	302	1366	724	254	884	3082
WUAT02006094.1	Potri.001G312800.7	2256	1818	1784	3296	2204	1824	3062	3712
WUAT02006095.1	Potri.010G255300.1	152	116	384	238	378	250	1376	284
WUAT02006096.1	Potri.014G144300.4	2736	4294	2674	4476	2896	2702	2564	2686
WUAT02006100.1	Potri.018G103700.4	2820	3162	3082	5444	4334	4704	5550	8172
WUAT02006102.1	Potri.016G105800.2	1652	4740	3144	4496	3344	3344	3274	3516
WUAT02006103.1	Potri.003G205000.1	1476	1804	1746	2674	2618	2128	2194	2334
WUAT02006104.1	Potri.006G231701.1	66130	70064	63872	84734	65406	70870	52314	71056
WUAT02006107.1	Potri.012G107900.2	814	606	670	1064	1000	678	1226	1936
WUAT02006110.1	Potri.013G127300.6	210	276	98	340	172	226	130	154
WUAT02006114.1	Potri.004G154000.3	3898	12650	8288	16722	7644	3052	5014	11214
WUAT02006117.1	Potri.006G163301.1	1246	2638	1028	2730	1018	1362	1668	13774
WUAT02006118.1	Potri.011G074301.1	46	36	72	92	154	76	12	42
WUAT02006120.1	Potri.019G031600.3	9838	6574	4156	10102	8916	5638	6226	13042
WUAT02006121.1	Potri.006G035400.7	87156	154304	121796	144188	87950	77500	77728	64012
WUAT02006122.1	Potri.001G094800.1	954	1476	868	1740	602	614	1074	340
WUAT02006126.1	Potri.013G139112.2	2846	3634	2154	3924	3028	1234	1520	1608
WUAT02006129.1	Potri.013G133550.2	0	0	0	4	0	2	0	0
WUAT02006133.1	Potri.018G072600.4	12830	13566	20516	12180	10672	13412	16232	24610
WUAT02006134.1	Potri.007G055500.1	5180	6066	5254	5870	8266	6810	5042	4650
WUAT02006137.1	Potri.018G072700.1	9724	20470	8588	15420	10320	5768	7438	6076
WUAT02006139.1	Potri.004G125150.1	716	2014	1038	1286	1530	872	642	694
WUAT02006141.1	Potri.008G224210.1	1348	3084	2034	3900	1650	1108	1658	1838
WUAT02006147.1	Potri.004G179300.1	18858	14068	13086	17836	25872	27144	20760	25362
WUAT02006148.1	Potri.002G035800.1	46864	58506	48364	46152	66984	55866	55190	58522
WUAT02006149.1	Potri.015G096100.3	20	12	8	14	2	14	4	4
WUAT02006153.1	Potri.003G106400.6	5656	7786	4806	8606	4758	2226	2866	1576
WUAT02006157.1	Potri.013G162600.1	5138	2372	1746	4258	5412	2602	2716	4102
WUAT02006161.1	Potri.013G143400.2	324	380	486	838	1250	718	786	296
WUAT02006166.1	Potri.001G416100.4	6762	10746	8614	11180	8106	8708	7490	8324
WUAT02006171.1	Potri.001G104900.5	18716	29728	24650	26148	23050	22608	20832	24334
WUAT02006172.1	Potri.014G120900.2	10230	15748	9918	14534	12170	10360	9806	11058
WUAT02006174.1	Potri.013G162600.1	580	996	950	592	806	792	1278	1224
WUAT02006176.1	Potri.013G009400.1	72056	72838	116808	83110	214384	148116	138644	199484
WUAT02006179.1	Potri.013G133550.2	3298	2126	2066	1856	8310	8932	6984	6206
WUAT02006181.1	Potri.018G085500.3	682	1490	536	950	1026	738	1342	1890
WUAT02006184.1	Potri.006G107100.4	33230	42662	36820	41110	42434	38382	35656	35996
WUAT02006188.1	Potri.013G143400.2	68	258	1246	402	186	86	128	74
WUAT02006193.1	Potri.003G201200.4	19236	21870	17680	22382	22704	18320	20826	23060
WUAT02006211.1	Potri.003G085600.1	50340	52154	40116	52142	59544	54388	46090	65428
WUAT02006213.1	Potri.010G041700.3	3262	2842	2468	2590	2802	3166	2912	4730
WUAT02006216.1	Potri.011G084251.1	160	500	242	308	276	414	132	248
WUAT02006219.1	Potri.001G354400.1	6	4	24	38	8	22	10	4
WUAT02006220.1	Potri.018G148564.1	270	928	742	116	508	450	166	478
WUAT02006224.1	Potri.008G100600.8	41732	65400	45506	62888	46702	28680	43156	49784
WUAT02006229.1	Potri.003G089300.2	3454	5628	3522	4840	4514	3790	3756	4196
WUAT02006236.1	Potri.002G254900.6	39136	64124	79454	69460	78272	82330	79246	85046
WUAT02006237.1	Potri.004G044700.1	96722	548364	175072	364658	164956	105958	146570	40518
WUAT02006238.1	Potri.002G145500.1	43882	71648	46820	69262	70710	42232	43488	43770
WUAT02006244.1	Potri.013G143400.2	18	14	10	60	24	8	20	32
WUAT02006247.1	Potri.011G137400.1	3094	7866	5320	7880	6810	9644	7336	11366
WUAT02006248.1	Potri.006G235400.7	19698	12852	11946	19014	48910	30572	32692	30600
WUAT02006249.1	Potri.015G012900.1	30	464	8	10	14	172	274	414
WUAT02006251.1	Potri.005G036700.1	12638	13208	9730	15166	15042	13174	12308	16904
WUAT02006253.1	Potri.016G006400.1	16862	21914	15072	22336	21060	18842	19672	22102
WUAT02006256.1	Potri.009G109900.3	18170	19442	18408	21736	27386	22086	22582	34764
WUAT02006257.1	Potri.010G038500.2	1002	1426	1362	1110	1560	1252	956	1726
WUAT02006260.1	Potri.009G041800.1	18130	22358	19940	23156	25258	25256	24252	27682
WUAT02006264.1	Potri.017G026000.2	6500	7820	6274	11422	7786	9180	4652	4298
WUAT02006265.1	Potri.008G221801.1	9718	14740	13012	15416	19770	15128	18478	21272
WUAT02006269.1	Potri.001G312800.7	1386	1454	760	1578	2586	1924	2124	4182
WUAT02006272.1	Potri.001G312800.7	4	0	2	0	0	0	0	0
WUAT02006274.1	Potri.001G312800.7	79522	59424	17688	50388	71390	29508	41130	32344
WUAT02006277.1	Potri.003G086200.8	5522	10694	7848	9162	8142	7590	7234	7156
WUAT02006278.1	Potri.004G212000.3	8270	9886	9824	8528	10444	7944	10618	15752
WUAT02006279.1	Potri.006G111800.1	704	1146	654	692	1218	498	1110	756
WUAT02006284.1	Potri.018G095100.2	6746	7270	5312	6386	6044	5860	5238	4238
WUAT02006287.1	Potri.016G134600.1	524	1708	1524	364	446	236	694	2140
WUAT02006292.1	Potri.005G171901.1	27948	23256	10346	16768	18044	12518	9038	14810
WUAT02006295.1	Potri.006G234300.3	9844	12306	12266	14964	26000	46666	48780	134464
WUAT02006300.1	Potri.008G130600.2	16876	21590	18330	21416	18712	18416	16070	17022
WUAT02006301.1	Potri.012G058400.2	276	500	428	588	534	432	260	520
WUAT02006303.1	Potri.008G158600.2	80	164	98	40	288	126	16	42
WUAT02006306.1	Potri.007G007400.6	5464	11294	11730	10030	9450	11020	10346	20834
WUAT02006310.1	Potri.013G143400.2	2782	4264	3172	6122	4660	4440	5420	5916
WUAT02006314.1	Potri.004G013300.1	5056	5018	5636	6998	7322	6210	19884	26612
WUAT02006315.1	Potri.013G162700.1	176	50	82	84	176	116	20	34
WUAT02006318.1	Potri.005G239200.1	1228	7210	5412	1872	2040	1720	12574	5380
WUAT02006323.1	Potri.011G030200.1	179376	81746	93088	79542	198100	141138	168208	117874
WUAT02006325.1	Potri.005G154300.1	1232	2778	3548	2364	2866	4384	7244	2646
WUAT02006331.1	Potri.017G013500.1	6	256	122	184	154	116	40	4
WUAT02006332.1	Potri.013G138900.1	1672	1556	1296	1992	1590	1608	1190	944
WUAT02006333.1	Potri.013G143400.2	24440	22580	19752	27634	30464	26078	24874	22266
WUAT02006334.1	Potri.011G154500.1	32232	31944	26016	29616	34058	30070	24960	21372
WUAT02006337.1	Potri.003G031900.4	49394	80072	55860	57318	73722	59136	50082	40662
WUAT02006338.1	Potri.012G136100.8	68532	81792	61906	68930	77788	61520	66550	78604
WUAT02006341.1	Potri.002G253200.4	19360	26360	18624	23038	20422	16442	18544	21100
WUAT02006342.1	Potri.006G020600.4	16166	20788	16494	20992	22590	20352	21916	26396
WUAT02006345.1	Potri.013G162500.1	7640	1874	1438	2416	10590	8742	5448	2242
WUAT02006346.1	Potri.003G031900.4	5354	9806	6008	9434	9066	5952	6146	7762
WUAT02006349.1	Potri.007G003500.5	460	306	308	534	578	440	394	626
WUAT02006350.1	Potri.018G053900.3	11566	13556	7880	11412	10512	6988	7322	6072
WUAT02006353.1	Potri.005G140300.3	39346	36200	29948	44070	27512	8070	12370	4400
WUAT02006355.1	Potri.009G158400.2	46806	54270	50412	44434	56014	47060	46212	47210
WUAT02006359.1	Potri.012G120676.1	11472	7494	6304	11502	19738	11442	15150	13544
WUAT02006361.1	Potri.001G358500.1	56330	116546	103322	101154	77256	72130	68498	80674
WUAT02006364.1	Potri.010G052500.1	13752	15780	12870	17044	22888	16920	16576	16272
WUAT02006366.1	Potri.007G145800.1	3720	4046	3198	4666	4320	4238	4384	5708
WUAT02006369.1	Potri.013G133550.2	35722	44516	60716	34040	35126	41278	54644	53688
WUAT02006370.1	Potri.006G258300.1	29078	26702	21956	30914	28726	29726	32494	29092
WUAT02006373.1	Potri.013G071900.1	13258	23338	17166	22516	19966	20500	20116	18842
WUAT02006377.1	Potri.015G044500.1	52530	33878	49550	62354	48728	39368	34728	22318
WUAT02006378.1	Potri.011G068200.1	24410	30314	26642	32446	26942	22052	28562	34410
WUAT02006379.1	Potri.015G067600.1	14708	26368	16778	25608	16714	12822	12808	13776
WUAT02006382.1	Potri.013G136466.1	83600	93366	79882	92654	107650	98522	103186	105122
WUAT02006383.1	Potri.001G233400.10	52	20	46	120	132	144	80	198
WUAT02006388.1	Potri.001G059400.1	7420	9294	8622	9360	7142	5268	5584	6534
WUAT02006395.1	Potri.008G039600.1	18040	24456	14856	39834	29100	38974	28706	17572
WUAT02006401.1	Potri.006G211700.4	6410	5568	3988	4084	2898	2584	3980	6908
WUAT02006404.1	Potri.018G093000.1	330452	59212	79500	510266	39748	22278	115750	108190
WUAT02006409.1	Potri.002G214100.1	66804	120146	97692	91314	104980	90648	89684	94518
WUAT02006413.1	Potri.001G391100.1	422	244	116	156	244	260	302	320
WUAT02006414.1	Potri.001G312800.7	38	108	86	116	82	48	114	102
WUAT02006415.1	Potri.001G312800.9	26	26	56	26	24	14	32	36
WUAT02006422.1	Potri.001G022700.1	8232	13552	8558	14680	10886	6962	7686	9618
WUAT02006427.1	Potri.016G123600.1	17882	25808	20616	24224	21022	18490	19170	22636
WUAT02006429.1	Potri.012G058400.2	2242	4202	2904	4036	3054	2730	3296	3270
WUAT02006430.1	Potri.013G143400.2	4306	7272	4630	5634	4814	3770	3818	4708
WUAT02006431.1	Potri.007G085000.1	728	968	1010	1216	842	1004	1278	1206
WUAT02006433.1	Potri.009G020900.1	4780	7474	6290	8402	7980	5366	7326	5620
WUAT02006435.1	Potri.005G203200.1	21188	18978	23134	24002	21892	17460	23298	24656
WUAT02006436.1	Potri.006G216400.1	39764	53766	38656	64018	100180	77658	68414	55162
WUAT02006440.1	Potri.008G081600.2	22114	29438	15796	29378	17146	13752	13412	13606
WUAT02006441.1	Potri.016G133300.1	2686	6830	4664	7102	2898	2862	2452	3160
WUAT02006442.1	Potri.007G053000.2	3636	4422	4450	3120	3178	3202	3758	3082
WUAT02006448.1	Potri.019G129740.2	3480	6262	3614	6090	3394	3210	2784	1694
WUAT02006449.1	Potri.002G257900.2	384852	490008	250632	447468	259570	20942	45332	5990
WUAT02006450.1	Potri.010G070600.5	36434	49438	38698	47034	41730	35956	33424	36348
WUAT02006454.1	Potri.007G009100.1	61764	73794	69466	71888	94498	98556	77092	113624
WUAT02006458.1	Potri.012G039200.7	78360	80716	75944	81896	81412	75228	91312	84644
WUAT02006459.1	Potri.013G047100.11	5722	6840	6100	8016	8956	6660	7798	8094
WUAT02006460.1	Potri.004G125150.1	1064	1272	688	1032	2142	2322	1736	1776
WUAT02006463.1	Potri.001G313900.1	1868	2598	1876	1848	1792	2130	1516	2696
WUAT02006467.1	Potri.013G143400.2	18	22	10	26	6	24	30	22
WUAT02006468.1	Potri.006G254900.7	8182	12682	9928	12282	17372	17832	14530	11972
WUAT02006472.1	Potri.005G188400.2	16100	14454	16050	20884	19144	22880	18282	18444
WUAT02006473.1	Potri.018G049600.1	4266	4038	5646	4566	3638	2406	2278	1210
WUAT02006476.1	Potri.007G104000.4	9770	18398	14156	20098	9596	3778	4536	3776
WUAT02006481.1	Potri.014G143500.1	1872	3084	2508	4518	3688	3942	2616	6894
WUAT02006490.1	Potri.001G383600.7	53980	60490	48378	51738	68286	67600	65086	96088
WUAT02006491.1	Potri.005G180500.1	28240	27360	22056	33056	29364	31568	23888	21620
WUAT02006494.1	Potri.009G011800.3	37460	48978	31782	47500	37360	31224	30460	29534
WUAT02006499.1	Potri.003G060500.1	18346	23752	18664	23964	28746	23466	24414	28808
WUAT02006500.1	Potri.003G133500.1	0	4	22	6	8	4	2	2
WUAT02006502.1	Potri.005G076200.7	142	436	90	442	98	514	220	822
WUAT02006503.1	Potri.002G224100.1	21416	21356	10552	26598	12578	12304	8592	10400
WUAT02006504.1	Potri.001G312800.9	3032	3244	3308	5156	4814	3604	3092	3768
WUAT02006513.1	Potri.013G133550.2	23130	28788	18504	29404	23672	9998	14970	6370
WUAT02006515.1	Potri.013G143400.2	42	10	10	14	34	8	26	2
WUAT02006518.1	Potri.008G130100.1	344	270	316	296	158	224	172	120
WUAT02006527.1	Potri.015G112900.2	9498	10294	9992	9164	7818	9144	9162	11418
WUAT02006529.1	Potri.011G103301.1	15880	16548	18468	20334	14076	8132	6862	4766
WUAT02006535.1	Potri.002G027900.1	11306	24526	18080	21664	16354	15810	14558	16348
WUAT02006536.1	Potri.008G224701.2	8628	6364	5866	7828	8968	7458	6432	9740
WUAT02006541.1	Potri.013G010900.2	8680	17566	17022	15430	14548	13980	14592	19834
WUAT02006542.1	Potri.013G143400.2	390	246	490	832	690	556	602	914
WUAT02006544.1	Potri.004G134000.1	17994	26882	13238	27292	15940	13514	14060	12646
WUAT02006548.1	Potri.001G173700.1	8842	11386	12640	13532	14206	14672	14252	14480
WUAT02006550.1	Potri.006G088000.2	1398	1556	1430	956	1980	1792	1664	1950
WUAT02006551.1	Potri.011G075051.1	0	6	6	4	0	0	0	2
WUAT02006553.1	Potri.014G185804.1	4080	4548	4538	6214	4828	4478	4996	5740
WUAT02006557.1	Potri.017G086300.3	13192	26542	14874	30164	62952	48402	16912	16202
WUAT02006558.1	Potri.003G078900.1	7146	9578	6332	11648	8332	8182	7036	10296
WUAT02006559.1	Potri.007G126700.5	8150	10536	8006	15930	12586	17938	22582	37664
WUAT02006562.1	Potri.013G141912.1	1154	2550	2076	1926	2464	2714	2022	3864
WUAT02006563.1	Potri.001G383500.1	42346	65832	41748	59634	51652	46930	42958	34756
WUAT02006566.1	Potri.019G054000.1	12094	10262	7180	16772	13958	6854	10812	6494
WUAT02006567.1	Potri.006G117400.1	73396	61646	48084	62754	85368	58630	37912	28986
WUAT02006571.1	Potri.007G067600.1	57444	69202	60758	65396	75464	62190	64484	77848
WUAT02006575.1	Potri.009G093000.8	8164	11002	12026	11130	10592	10624	12394	15702
WUAT02006580.1	Potri.007G062242.2	54386	42822	24802	26718	47296	34894	36148	64112
WUAT02006581.1	Potri.016G002100.5	0	6	4	4	2	8	4	2
WUAT02006584.1	Potri.010G066000.2	42766	62210	60202	50860	41944	39602	41808	45654
WUAT02006588.1	Potri.013G142760.3	4	6	0	8	10	0	2	0
WUAT02006592.1	Potri.004G163800.1	6364	13254	9228	18868	5596	7152	8074	10362
WUAT02006593.1	Potri.008G192200.11	4462	5814	4454	6756	5014	5588	5724	5314
WUAT02006598.1	Potri.018G105401.1	22300	24998	22174	24952	32892	27644	33178	37680
WUAT02006599.1	Potri.010G120950.1	2368	4400	2914	4884	5562	2800	4752	6260
WUAT02006604.1	Potri.010G067500.2	54862	81124	99704	61862	62734	68914	62032	68476
WUAT02006607.1	Potri.015G003100.4	403956	592876	334882	511670	301240	84836	125484	72912
WUAT02006611.1	Potri.006G123600.2	12004	12608	15216	11172	14048	14314	14528	14294
WUAT02006612.1	Potri.001G050400.2	56766	65488	58454	73136	75700	71658	65920	68884
WUAT02006613.1	Potri.011G036600.2	876	1390	874	1578	1168	1124	1146	1632
WUAT02006614.1	Potri.016G000200.1	9526	11254	9920	13660	13190	11648	10310	11642
WUAT02006616.1	Potri.005G093000.5	7158	7002	7610	7638	8738	8582	6974	9790
WUAT02006620.1	Potri.011G075051.1	18096	19834	24150	22692	22148	23694	20982	19142
WUAT02006621.1	Potri.019G020000.1	3162	3678	3144	4332	3502	3752	2652	4272
WUAT02006625.1	Potri.014G145000.7	34470	32842	23848	27132	31810	26162	27014	36976
WUAT02006629.1	Potri.012G031250.1	578	400	708	548	538	622	626	776
